invoice_id,order_id,invoice_number,taxable_value,gst_amount,total_amount,status,source
INV-0151,ORD-151,INV/2025/1151,348.53,62.74,411.27,PAID,
INV-0152,ORD-152,INV/2025/1152,2471.82,444.93,2916.75,PAID,
INV-0153,ORD-153,INV/2025/1153,1112.1,200.18,1312.28,PAID,
INV-0154,ORD-154,INV/2025/1154,1090.26,196.25,1286.51,PAID,
INV-0155,ORD-155,INV/2025/1155,253.39,45.61,299.0,PAID,
INV-0156,ORD-156,INV/2025/1156,642.36,115.62,757.98,PAID,
INV-0157,ORD-157,INV/2025/1157,707.32,127.32,834.64,PAID,
INV-0158,ORD-158,INV/2025/1158,5909.7,1063.75,6973.45,PAID,
INV-0159,ORD-159,INV/2025/1159,1848.52,332.73,2181.25,PAID,
INV-0160,ORD-160,INV/2025/1160,889.14,160.05,1049.19,PAID,
INV-0161,ORD-161,INV/2025/1161,836.86,150.64,987.5,PAID,
INV-0162,ORD-162,INV/2025/1162,575.99,103.68,679.67,PAID,
INV-0163,ORD-163,INV/2025/1163,253.39,45.61,299.0,PAID,
INV-0164,ORD-164,INV/2025/1164,253.39,45.61,299.0,PAID,
INV-0165,ORD-165,INV/2025/1165,2970.61,534.71,3505.32,PAID,
INV-0166,ORD-166,INV/2025/1166,286.8,51.62,338.42,PAID,
INV-0167,ORD-167,INV/2025/1167,253.39,45.61,299.0,PAID,
INV-0168,ORD-168,INV/2025/1168,387.76,69.8,457.56,PAID,
INV-0169,ORD-169,INV/2025/1169,1375.53,247.6,1623.13,PAID,
INV-0170,ORD-170,INV/2025/1170,253.39,45.61,299.0,PAID,
INV-0171,ORD-171,INV/2025/1171,2057.55,370.36,2427.91,PAID,
INV-0172,ORD-172,INV/2025/1172,352.29,63.41,415.7,PAID,
INV-0173,ORD-173,INV/2025/1173,1334.85,240.27,1575.12,PAID,
INV-0174,ORD-174,INV/2025/1174,585.89,105.46,691.35,PAID,
INV-0175,ORD-175,INV/2025/1175,253.39,45.61,299.0,PAID,
INV-0176,ORD-176,INV/2025/1176,2973.22,535.18,3508.4,PAID,
INV-0177,ORD-177,INV/2025/1177,2156.66,388.2,2544.86,PAID,
INV-0178,ORD-178,INV/2025/1178,3102.16,558.39,3660.55,PAID,
INV-0179,ORD-179,INV/2025/1179,1857.2,334.3,2191.5,PAID,
INV-0180,ORD-180,INV/2025/1180,280.03,50.4,330.43,PAID,
INV-0181,ORD-181,INV/2025/1181,254.13,45.74,299.87,PAID,
INV-0182,ORD-182,INV/2025/1182,14502.31,2610.42,17112.73,PAID,
INV-0183,ORD-183,INV/2025/1183,703.36,126.6,829.96,PAID,
INV-0184,ORD-184,INV/2025/1184,1166.47,209.97,1376.44,PAID,
INV-0185,ORD-185,INV/2025/1185,3217.21,579.1,3796.31,PAID,
INV-0186,ORD-186,INV/2025/1186,977.59,175.97,1153.56,PAID,
INV-0187,ORD-187,INV/2025/1187,1035.08,186.32,1221.4,PAID,
INV-0188,ORD-188,INV/2025/1188,253.39,45.61,299.0,PAID,
INV-0189,ORD-189,INV/2025/1189,1810.66,325.92,2136.58,PAID,
INV-0190,ORD-190,INV/2025/1190,1172.42,211.03,1383.45,PAID,
INV-0191,ORD-191,INV/2025/1191,1497.94,269.63,1767.57,PAID,
INV-0192,ORD-192,INV/2025/1192,899.57,161.92,1061.49,PAID,
INV-0193,ORD-193,INV/2025/1193,586.58,105.59,692.17,PAID,
INV-0194,ORD-194,INV/2025/1194,506.16,91.11,597.27,PAID,
INV-0195,ORD-195,INV/2025/1195,504.69,90.84,595.53,PAID,
INV-0196,ORD-196,INV/2025/1196,479.6,86.33,565.93,PAID,
INV-0197,ORD-197,INV/2025/1197,4718.32,849.3,5567.62,PAID,
INV-0198,ORD-198,INV/2025/1198,300.74,54.13,354.87,PAID,
INV-0199,ORD-199,INV/2025/1199,831.47,149.66,981.13,PAID,
INV-0200,ORD-200,INV/2025/1200,5286.89,951.64,6238.53,PAID,
INV-0201,ORD-201,INV/2025/1201,272.18,48.99,321.17,PAID,
INV-0202,ORD-202,INV/2025/1202,1558.77,280.58,1839.35,PAID,
INV-0203,ORD-203,INV/2025/1203,367.15,66.09,433.24,PAID,
INV-0204,ORD-204,INV/2025/1204,308.97,55.61,364.58,PAID,
INV-0205,ORD-205,INV/2025/1205,526.41,94.75,621.16,PAID,
INV-0206,ORD-206,INV/2025/1206,544.07,97.93,642.0,PAID,
INV-0207,ORD-207,INV/2025/1207,957.59,172.37,1129.96,PAID,
INV-0208,ORD-208,INV/2025/1208,450.61,81.11,531.72,PAID,
INV-0209,ORD-209,INV/2025/1209,5684.29,1023.17,6707.46,PAID,
INV-0210,ORD-210,INV/2025/1210,9083.19,1634.97,10718.16,PAID,
INV-0211,ORD-211,INV/2025/1211,253.39,45.61,299.0,PAID,
INV-0212,ORD-212,INV/2025/1212,314.53,56.62,371.15,PAID,
INV-0213,ORD-213,INV/2025/1213,726.57,130.78,857.35,PAID,
INV-0214,ORD-214,INV/2025/1214,1466.42,263.96,1730.38,PAID,
INV-0215,ORD-215,INV/2025/1215,797.86,143.61,941.47,PAID,
INV-0216,ORD-216,INV/2025/1216,2844.75,512.05,3356.8,PAID,
INV-0217,ORD-217,INV/2025/1217,2922.36,526.02,3448.38,PAID,
INV-0218,ORD-218,INV/2025/1218,558.25,100.49,658.74,PAID,
INV-0219,ORD-219,INV/2025/1219,858.15,154.47,1012.62,PAID,
INV-0220,ORD-220,INV/2025/1220,1245.49,224.19,1469.68,PAID,
INV-0221,ORD-221,INV/2025/1221,548.77,98.78,647.55,PAID,
INV-0222,ORD-222,INV/2025/1222,2834.23,510.16,3344.39,PAID,
INV-0223,ORD-223,INV/2025/1223,253.39,45.61,299.0,PAID,
INV-0224,ORD-224,INV/2025/1224,489.52,88.11,577.63,PAID,
INV-0225,ORD-225,INV/2025/1225,3431.62,617.69,4049.31,PAID,
INV-0226,ORD-226,INV/2025/1226,2831.27,509.63,3340.9,PAID,
INV-0227,ORD-227,INV/2025/1227,1242.42,223.64,1466.06,PAID,
INV-0228,ORD-228,INV/2025/1228,374.92,67.49,442.41,PAID,
INV-0229,ORD-229,INV/2025/1229,645.39,116.17,761.56,PAID,
INV-0230,ORD-230,INV/2025/1230,628.64,113.15,741.79,PAID,
INV-0231,ORD-231,INV/2025/1231,1087.53,195.76,1283.29,PAID,
INV-0232,ORD-232,INV/2025/1232,253.39,45.61,299.0,PAID,
INV-0233,ORD-233,INV/2025/1233,544.72,98.05,642.77,PAID,
INV-0234,ORD-234,INV/2025/1234,1635.4,294.37,1929.77,PAID,
INV-0235,ORD-235,INV/2025/1235,960.73,172.93,1133.66,PAID,
INV-0237,ORD-237,INV/2025/1237,3008.42,541.52,3549.94,PAID,
INV-0238,ORD-238,INV/2025/1238,1349.9,242.98,1592.88,PAID,
INV-0239,ORD-239,INV/2025/1239,973.44,175.22,1148.66,PAID,
INV-0240,ORD-240,INV/2025/1240,686.31,123.53,809.84,PAID,
INV-0241,ORD-241,INV/2025/1241,3802.19,684.39,4486.58,PAID,
INV-0242,ORD-242,INV/2025/1242,1139.95,205.19,1345.14,PAID,
INV-0243,ORD-243,INV/2025/1243,2099.07,377.83,2476.9,PAID,
INV-0244,ORD-244,INV/2025/1244,253.39,45.61,299.0,PAID,
INV-0245,ORD-245,INV/2025/1245,292.85,52.71,345.56,PAID,
INV-0246,ORD-246,INV/2025/1246,390.57,70.3,460.87,PAID,
INV-0247,ORD-247,INV/2025/1247,840.14,151.22,991.36,PAID,
INV-0248,ORD-248,INV/2025/1248,253.39,45.61,299.0,PAID,
INV-0249,ORD-249,INV/2025/1249,8778.25,1580.08,10358.33,PAID,
INV-0250,ORD-250,INV/2025/1250,458.06,82.45,540.51,PAID,
INV-0251,ORD-251,INV/2025/1251,253.39,45.61,299.0,PAID,
INV-0252,ORD-252,INV/2025/1252,2029.86,365.38,2395.24,PAID,
INV-0253,ORD-253,INV/2025/1253,747.55,134.56,882.11,PAID,
INV-0254,ORD-254,INV/2025/1254,4640.63,835.31,5475.94,PAID,
INV-0255,ORD-255,INV/2025/1255,2021.53,363.88,2385.41,PAID,
INV-0256,ORD-256,INV/2025/1256,1972.23,355.0,2327.23,PAID,
INV-0257,ORD-257,INV/2025/1257,253.39,45.61,299.0,PAID,
INV-0258,ORD-258,INV/2025/1258,740.72,133.33,874.05,PAID,
INV-0259,ORD-259,INV/2025/1259,1289.52,232.11,1521.63,PAID,
INV-0260,ORD-260,INV/2025/1260,995.08,179.12,1174.2,PAID,
INV-0261,ORD-261,INV/2025/1261,1385.43,249.38,1634.81,PAID,
INV-0262,ORD-262,INV/2025/1262,3938.19,708.88,4647.07,PAID,
INV-0263,ORD-263,INV/2025/1263,376.69,67.8,444.49,PAID,
INV-0264,ORD-264,INV/2025/1264,282.74,50.89,333.63,PAID,
INV-0265,ORD-265,INV/2025/1265,1050.19,189.03,1239.22,PAID,
INV-0266,ORD-266,INV/2025/1266,435.03,78.3,513.33,PAID,
INV-0267,ORD-267,INV/2025/1267,253.39,45.61,299.0,PAID,
INV-0268,ORD-268,INV/2025/1268,2528.3,455.09,2983.39,PAID,
INV-0269,ORD-269,INV/2025/1269,288.73,51.97,340.7,PAID,
INV-0270,ORD-270,INV/2025/1270,2077.38,373.93,2451.31,PAID,
INV-0271,ORD-271,INV/2025/1271,976.01,175.68,1151.69,PAID,
INV-0272,ORD-272,INV/2025/1272,626.51,112.77,739.28,PAID,
INV-0273,ORD-273,INV/2025/1273,1600.66,288.12,1888.78,PAID,
INV-0274,ORD-274,INV/2025/1274,1101.27,198.23,1299.5,PAID,
INV-0275,ORD-275,INV/2025/1275,253.39,45.61,299.0,PAID,
INV-0276,ORD-276,INV/2025/1276,715.88,128.86,844.74,PAID,
INV-0277,ORD-277,INV/2025/1277,723.64,130.25,853.89,PAID,
INV-0278,ORD-278,INV/2025/1278,1218.73,219.37,1438.1,PAID,
INV-0279,ORD-279,INV/2025/1279,2096.19,377.32,2473.51,PAID,
INV-0280,ORD-280,INV/2025/1280,512.81,92.3,605.11,PAID,
INV-0282,ORD-282,INV/2025/1282,4697.84,845.61,5543.45,PAID,
INV-0283,ORD-283,INV/2025/1283,987.75,177.79,1165.54,PAID,
INV-0284,ORD-284,INV/2025/1284,465.27,83.75,549.02,PAID,
INV-0285,ORD-285,INV/2025/1285,253.39,45.61,299.0,PAID,
INV-0286,ORD-286,INV/2025/1286,6573.09,1183.16,7756.25,PAID,
INV-0288,ORD-288,INV/2025/1288,1377.3,247.91,1625.21,PAID,
INV-0289,ORD-289,INV/2025/1289,2484.43,447.2,2931.63,PAID,
INV-0290,ORD-290,INV/2025/1290,890.04,160.21,1050.25,PAID,
INV-0291,ORD-291,INV/2025/1291,1049.26,188.87,1238.13,PAID,
INV-0292,ORD-292,INV/2025/1292,1755.26,315.95,2071.21,PAID,
INV-0293,ORD-293,INV/2025/1293,406.81,73.23,480.04,PAID,
INV-0294,ORD-294,INV/2025/1294,269.69,48.55,318.24,PAID,
INV-0295,ORD-295,INV/2025/1295,985.53,177.39,1162.92,PAID,
INV-0296,ORD-296,INV/2025/1296,268.94,48.41,317.35,PAID,
INV-0297,ORD-297,INV/2025/1297,396.53,71.38,467.91,PAID,
INV-0298,ORD-298,INV/2025/1298,635.42,114.37,749.79,PAID,
INV-0299,ORD-299,INV/2025/1299,571.59,102.89,674.48,PAID,
INV-0300,ORD-300,INV/2025/1300,1706.52,307.17,2013.69,PAID,
INV-0301,ORD-301,INV/2025/1301,3922.7,706.09,4628.79,PAID,
INV-0302,ORD-302,INV/2025/1302,704.09,126.74,830.83,PAID,
INV-0303,ORD-303,INV/2025/1303,1187.8,213.8,1401.6,PAID,
INV-0304,ORD-304,INV/2025/1304,461.51,83.07,544.58,PAID,
INV-0305,ORD-305,INV/2025/1305,356.54,64.18,420.72,PAID,
INV-0306,ORD-306,INV/2025/1306,253.39,45.61,299.0,PAID,
INV-0307,ORD-307,INV/2025/1307,2052.35,369.42,2421.77,PAID,
INV-0308,ORD-308,INV/2025/1308,253.39,45.61,299.0,PAID,
INV-0309,ORD-309,INV/2025/1309,587.58,105.76,693.34,PAID,
INV-0310,ORD-310,INV/2025/1310,1188.69,213.96,1402.65,PAID,
INV-0311,ORD-311,INV/2025/1311,355.17,63.93,419.1,PAID,
INV-0312,ORD-312,INV/2025/1312,897.27,161.51,1058.78,PAID,
INV-0313,ORD-313,INV/2025/1313,253.39,45.61,299.0,PAID,
INV-0314,ORD-314,INV/2025/1314,1818.82,327.39,2146.21,PAID,
INV-0315,ORD-315,INV/2025/1315,1338.78,240.98,1579.76,PAID,
INV-0316,ORD-316,INV/2025/1316,5858.74,1054.57,6913.31,PAID,
INV-0317,ORD-317,INV/2025/1317,648.98,116.82,765.8,PAID,
INV-0318,ORD-318,INV/2025/1318,2111.58,380.09,2491.67,PAID,
INV-0319,ORD-319,INV/2025/1319,253.39,45.61,299.0,PAID,
INV-0320,ORD-320,INV/2025/1320,1587.65,285.78,1873.43,PAID,
INV-0321,ORD-321,INV/2025/1321,253.39,45.61,299.0,PAID,
INV-0322,ORD-322,INV/2025/1322,794.04,142.93,936.97,PAID,
INV-0323,ORD-323,INV/2025/1323,892.03,160.57,1052.6,PAID,
INV-0324,ORD-324,INV/2025/1324,364.87,65.68,430.55,PAID,
INV-0325,ORD-325,INV/2025/1325,688.65,123.96,812.61,PAID,
INV-0326,ORD-326,INV/2025/1326,253.39,45.61,299.0,PAID,
INV-0327,ORD-327,INV/2025/1327,533.14,95.96,629.1,PAID,
INV-0328,ORD-328,INV/2025/1328,413.93,74.51,488.44,PAID,
INV-0329,ORD-329,INV/2025/1329,455.47,81.98,537.45,PAID,
INV-0330,ORD-330,INV/2025/1330,473.14,85.16,558.3,PAID,
INV-0331,ORD-331,INV/2025/1331,3291.53,592.48,3884.01,PAID,
INV-0332,ORD-332,INV/2025/1332,503.57,90.64,594.21,PAID,
INV-0333,ORD-333,INV/2025/1333,1735.91,312.46,2048.37,PAID,
INV-0334,ORD-334,INV/2025/1334,4741.51,853.47,5594.98,PAID,
INV-0335,ORD-335,INV/2025/1335,5870.86,1056.76,6927.62,PAID,
INV-0336,ORD-336,INV/2025/1336,309.99,55.8,365.79,PAID,
INV-0337,ORD-337,INV/2025/1337,1177.44,211.94,1389.38,PAID,
INV-0338,ORD-338,INV/2025/1338,1131.58,203.68,1335.26,PAID,
INV-0339,ORD-339,INV/2025/1339,4614.81,830.66,5445.47,PAID,
INV-0340,ORD-340,INV/2025/1340,5048.86,908.8,5957.66,PAID,
INV-0341,ORD-341,INV/2025/1341,1841.21,331.42,2172.63,PAID,
INV-0342,ORD-342,INV/2025/1342,556.18,100.11,656.29,PAID,
INV-0343,ORD-343,INV/2025/1343,1567.86,282.22,1850.08,PAID,
INV-0344,ORD-344,INV/2025/1344,373.33,67.2,440.53,PAID,
INV-0345,ORD-345,INV/2025/1345,1776.19,319.72,2095.91,PAID,
INV-0346,ORD-346,INV/2025/1346,1786.87,321.64,2108.51,PAID,
INV-0347,ORD-347,INV/2025/1347,4945.62,890.21,5835.83,PAID,
INV-0348,ORD-348,INV/2025/1348,1221.0,219.78,1440.78,PAID,
INV-0349,ORD-349,INV/2025/1349,388.9,70.0,458.9,PAID,
INV-0350,ORD-350,INV/2025/1350,1332.1,239.78,1571.88,PAID,
INV-0351,ORD-351,INV/2025/1351,253.39,45.61,299.0,PAID,
INV-0352,ORD-352,INV/2025/1352,744.14,133.95,878.09,PAID,
INV-0353,ORD-353,INV/2025/1353,2097.8,377.6,2475.4,PAID,
INV-0354,ORD-354,INV/2025/1354,5914.03,1064.53,6978.56,PAID,
INV-0355,ORD-355,INV/2025/1355,9980.75,1796.53,11777.28,PAID,
INV-0356,ORD-356,INV/2025/1356,2967.9,534.22,3502.12,PAID,
INV-0358,ORD-358,INV/2025/1358,1378.69,248.16,1626.85,PAID,
INV-0359,ORD-359,INV/2025/1359,708.8,127.58,836.38,PAID,
INV-0360,ORD-360,INV/2025/1360,2128.67,383.16,2511.83,PAID,
INV-0361,ORD-361,INV/2025/1361,888.36,159.91,1048.27,PAID,
