fee_id,payment_id,fee_type,amount,tax_amount,rate_card_id,reversal_of_fee_id,source
FEE-0078,PAY-0078,MDR,8.79,1.58,RC-CARD-2025,,
FEE-0079,PAY-0079,MDR,5.98,1.08,RC-CARD-2025,,
FEE-0080,PAY-0080,MDR,41.84,7.53,RC-CARD-2025,,
FEE-0081,PAY-0081,MDR,2.59,0.47,RC-UPI-2025,,
FEE-0082,PAY-0082,MDR,18.34,3.3,RC-NB-2025,,
FEE-0083,PAY-0083,MDR,79.67,14.34,RC-CARD-2025,,
FEE-0084,PAY-0084,MDR,37.03,6.67,RC-EMI-2025,,
FEE-0085,PAY-0085,MDR,6.58,1.18,RC-CARD-2025,,
FEE-0086,PAY-0086,MDR,6.89,1.24,RC-CARD-2025,,
FEE-0087,PAY-0087,MDR,12.31,2.22,RC-UPI-2025,,
FEE-0088,PAY-0088,MDR,87.57,15.76,RC-CARD-2025,,
FEE-0089,PAY-0089,MDR,65.46,11.78,RC-CARD-2025,,
FEE-0090,PAY-0090,MDR,25.75,4.63,RC-WALLET-2025,,
FEE-0091,PAY-0091,MDR,10.79,1.94,RC-UPI-2025,,
FEE-0092,PAY-0092,MDR,5.43,0.98,RC-UPI-2025,,
FEE-0093,PAY-0093,MDR,20.05,3.61,RC-UPI-2025,,
FEE-0094,PAY-0094,MDR,2.1,0.38,RC-UPI-2025,,
FEE-0095,PAY-0095,MDR,2.69,0.48,RC-UPI-2025,,
FEE-0096,PAY-0096,MDR,216.21,38.92,RC-CARD-2025,,
FEE-0097,PAY-0097,MDR,36.2,6.52,RC-EMI-2025,,
FEE-0098,PAY-0098,MDR,5.82,1.05,RC-UPI-2025,,
FEE-0099,PAY-0099,MDR,12.6,2.27,RC-CARD-2025,,
FEE-0100,PAY-0100,MDR,43.97,7.91,RC-CARD-2025,,
FEE-0101,PAY-0101,MDR,17.12,3.08,RC-NB-2025,,
FEE-0102,PAY-0102,MDR,46.99,8.46,RC-WALLET-2025,,
FEE-0103,PAY-0103,MDR,12.0,2.16,RC-NB-2025,,
FEE-0104,PAY-0104,MDR,3.57,0.64,RC-UPI-2025,,
FEE-0105,PAY-0105,MDR,9.08,1.63,RC-CARD-2025,,
FEE-0106,PAY-0106,MDR,69.71,12.55,RC-CARD-2025,,
FEE-0107,PAY-0107,MDR,18.41,3.31,RC-CARD-2025,,
FEE-0108,PAY-0108,MDR,6.49,1.17,RC-CARD-2025,,
FEE-0109,PAY-0109,MDR,4.72,0.85,RC-UPI-2025,,
FEE-0110,PAY-0110,MDR,13.98,2.52,RC-CARD-2025,,
FEE-0111,PAY-0111,MDR,8.57,1.54,RC-CARD-2025,,
FEE-0112,PAY-0112,MDR,7.03,1.27,RC-UPI-2025,,
FEE-0113,PAY-0113,MDR,20.34,3.66,RC-CARD-2025,,
FEE-0114,PAY-0114,MDR,8.41,1.51,RC-UPI-2025,,
FEE-0115,PAY-0115,MDR,20.51,3.69,RC-EMI-2025,,
FEE-0116,PAY-0116,MDR,12.0,2.16,RC-NB-2025,,
FEE-0117,PAY-0117,MDR,36.91,6.64,RC-WALLET-2025,,
FEE-0118,PAY-0118,MDR,1.2,0.22,RC-UPI-2025,,
FEE-0118-D,PAY-0118,MDR,1.2,0.22,RC-UPI-2025,,
FEE-0119,PAY-0119,MDR,46.25,8.32,RC-CARD-2025,,
FEE-0120,PAY-0120,MDR,85.77,15.44,RC-CARD-2025,,
FEE-0121,PAY-0121,MDR,3.79,0.68,RC-UPI-2025,,
FEE-0122,PAY-0122,MDR,28.74,5.17,RC-WALLET-2025,,
FEE-0123,PAY-0123,MDR,14.31,2.58,RC-EMI-2025,,
FEE-0124,PAY-0124,MDR,28.36,5.1,RC-CARD-2025,,
FEE-0125,PAY-0125,MDR,23.2,4.18,RC-UPI-2025,,
FEE-0126,PAY-0126,MDR,5.16,0.93,RC-UPI-2025,,
FEE-0127,PAY-0127,MDR,13.73,2.47,RC-CARD-2025,,
FEE-0128,PAY-0128,MDR,10.04,1.81,RC-CARD-2025,,
FEE-0129,PAY-0129,MDR,6.0,1.08,RC-UPI-2025,,
FEE-0130,PAY-0130,MDR,30.91,5.56,RC-CARD-2025,,
FEE-0131,PAY-0131,MDR,26.08,4.69,RC-CARD-2025,,
FEE-0132,PAY-0132,MDR,2.14,0.39,RC-UPI-2025,,
FEE-0133,PAY-0133,MDR,39.61,7.13,RC-CARD-2025,,
FEE-0134,PAY-0134,MDR,7.57,1.36,RC-CARD-2025,,
FEE-0136,PAY-0136,MDR,6.5,1.17,RC-CARD-2025,,
FEE-0137,PAY-0137,MDR,6.25,1.12,RC-CARD-2025,,
FEE-0138,PAY-0138,MDR,42.87,7.72,RC-CARD-2025,,
FEE-0139,PAY-0139,MDR,9.4,1.69,RC-CARD-2025,,
FEE-0140,PAY-0140,MDR,12.0,2.16,RC-NB-2025,,
FEE-0141,PAY-0141,MDR,11.43,2.06,RC-UPI-2025,,
FEE-0142,PAY-0142,MDR,2.33,0.42,RC-UPI-2025,,
FEE-0143,PAY-0143,MDR,63.11,11.36,RC-CARD-2025,,
FEE-0144,PAY-0144,MDR,9.66,1.74,RC-UPI-2025,,
FEE-0145,PAY-0145,MDR,12.0,2.16,RC-NB-2025,,
FEE-0146,PAY-0146,MDR,12.0,2.16,RC-NB-2025,,
FEE-0147,PAY-0147,MDR,20.5,3.69,RC-EMI-2025,,
FEE-0148,PAY-0148,MDR,1.87,0.34,RC-UPI-2025,,
FEE-0148-2,PAY-0148-2,MDR,1.24,0.22,RC-UPI-2025,,
FEE-0149,PAY-0149,MDR,12.0,2.16,RC-NB-2025,,
FEE-0150,PAY-0150,MDR,2.41,0.43,RC-UPI-2025,,
FEE-0151,PAY-0151,MDR,1.65,0.3,RC-UPI-2025,,
FEE-0152,PAY-0152,MDR,58.34,10.5,RC-CARD-2025,,
FEE-0153,PAY-0153,MDR,5.25,0.94,RC-UPI-2025,,
FEE-0154,PAY-0154,MDR,25.73,4.63,RC-CARD-2025,,
FEE-0155,PAY-0155,MDR,7.03,1.27,RC-EMI-2025,,
FEE-0156,PAY-0156,MDR,3.03,0.55,RC-UPI-2025,,
FEE-0157,PAY-0157,MDR,16.69,3.0,RC-CARD-2025,,
FEE-0158,PAY-0158,MDR,27.89,5.02,RC-UPI-2025,,
FEE-0159,PAY-0159,MDR,43.62,7.85,RC-CARD-2025,,
FEE-0160,PAY-0160,MDR,24.66,4.44,RC-EMI-2025,,
FEE-0161,PAY-0161,MDR,15.38,2.77,RC-NB-2025,,
FEE-0161-2,PAY-0161-2,MDR,18.25,3.28,RC-NB-2025,,
FEE-0162,PAY-0162,MDR,12.91,2.32,RC-WALLET-2025,,
FEE-0163,PAY-0163,MDR,1.2,0.22,RC-UPI-2025,,
FEE-0164,PAY-0164,MDR,8.03,1.45,RC-WALLET-2025,,
FEE-0165,PAY-0165,MDR,14.02,2.52,RC-UPI-2025,,
FEE-0166,PAY-0166,MDR,1.35,0.24,RC-UPI-2025,,
FEE-0167,PAY-0167,MDR,1.2,0.22,RC-UPI-2025,,
FEE-0168,PAY-0168,MDR,9.15,1.65,RC-CARD-2025,,
FEE-0169,PAY-0169,MDR,32.46,5.84,RC-CARD-2025,,
FEE-0170,PAY-0170,MDR,5.98,1.08,RC-CARD-2025,,
FEE-0171,PAY-0171,MDR,48.56,8.74,RC-CARD-2025,,
FEE-0172,PAY-0172,MDR,8.31,1.5,RC-CARD-2025,,
FEE-0173,PAY-0173,MDR,31.5,5.67,RC-CARD-2025,,
FEE-0174,PAY-0174,MDR,13.83,2.49,RC-CARD-2025,,
FEE-0175,PAY-0175,MDR,1.2,0.22,RC-UPI-2025,,
FEE-0176,PAY-0176,MDR,70.17,12.63,RC-CARD-2025,,
FEE-0177,PAY-0177,MDR,59.8,10.76,RC-EMI-2025,,
FEE-0178,PAY-0178,MDR,89.74,16.15,RC-WALLET-2025,,
FEE-0179,PAY-0179,MDR,51.5,9.27,RC-EMI-2025,,
FEE-0180,PAY-0180,MDR,1.32,0.24,RC-UPI-2025,,
FEE-0181,PAY-0181,MDR,5.7,1.03,RC-WALLET-2025,,
FEE-0182,PAY-0182,MDR,68.45,12.32,RC-UPI-2025,,
FEE-0183,PAY-0183,MDR,16.6,2.99,RC-CARD-2025,,
FEE-0184,PAY-0184,MDR,12.0,2.16,RC-NB-2025,,
FEE-0185,PAY-0185,MDR,75.93,13.67,RC-CARD-2025,,
FEE-0186,PAY-0186,MDR,23.07,4.15,RC-CARD-2025,,
FEE-0187,PAY-0187,MDR,4.89,0.88,RC-UPI-2025,,
FEE-0188,PAY-0188,MDR,5.98,1.08,RC-CARD-2025,,
FEE-0189,PAY-0189,MDR,42.73,7.69,RC-CARD-2025,,
FEE-0190,PAY-0190,MDR,27.67,4.98,RC-CARD-2025,,
FEE-0191,PAY-0191,MDR,12.0,2.16,RC-NB-2025,,
FEE-0192,PAY-0192,MDR,21.23,3.82,RC-CARD-2025,,
FEE-0193,PAY-0193,MDR,13.15,2.37,RC-WALLET-2025,,
FEE-0194,PAY-0194,MDR,2.39,0.43,RC-UPI-2025,,
FEE-0195,PAY-0195,MDR,11.91,2.14,RC-CARD-2025,,
FEE-0196,PAY-0196,MDR,13.3,2.39,RC-EMI-2025,,
FEE-0197,PAY-0197,MDR,22.27,4.01,RC-UPI-2025,,
FEE-0198,PAY-0198,MDR,1.42,0.26,RC-UPI-2025,,
FEE-0199,PAY-0199,MDR,3.92,0.71,RC-UPI-2025,,
FEE-0200,PAY-0200,MDR,124.77,22.46,RC-CARD-2025,,
FEE-0201,PAY-0201,MDR,6.42,1.16,RC-CARD-2025,,
FEE-0201-D,PAY-0201,MDR,6.42,1.16,RC-CARD-2025,,
FEE-0202,PAY-0202,MDR,7.36,1.32,RC-UPI-2025,,
FEE-0203,PAY-0203,MDR,8.66,1.56,RC-CARD-2025,,
FEE-0204,PAY-0204,MDR,7.29,1.31,RC-CARD-2025,,
FEE-0205,PAY-0205,MDR,12.42,2.24,RC-CARD-2025,,
FEE-0206,PAY-0206,MDR,12.2,2.2,RC-WALLET-2025,,
FEE-0207,PAY-0207,MDR,22.6,4.07,RC-CARD-2025,,
FEE-0208,PAY-0208,MDR,10.63,1.91,RC-CARD-2025,,
FEE-0209,PAY-0209,MDR,134.15,24.15,RC-CARD-2025,,
FEE-0210,PAY-0210,MDR,251.88,45.34,RC-EMI-2025,,
FEE-0211,PAY-0211,MDR,5.98,1.08,RC-CARD-2025,,
FEE-0212,PAY-0212,MDR,7.42,1.34,RC-CARD-2025,,
FEE-0213,PAY-0213,MDR,17.15,3.09,RC-CARD-2025,,
FEE-0214,PAY-0214,MDR,12.0,2.16,RC-NB-2025,,
FEE-0215,PAY-0215,MDR,3.77,0.68,RC-UPI-2025,,
FEE-0216,PAY-0216,MDR,12.0,2.16,RC-NB-2025,,
FEE-0217,PAY-0217,MDR,13.79,2.48,RC-UPI-2025,,
FEE-0218,PAY-0218,MDR,15.48,2.79,RC-EMI-2025,,
FEE-0219,PAY-0219,MDR,5.89,1.06,RC-UPI-2025,,
FEE-0220,PAY-0220,MDR,29.39,5.29,RC-CARD-2025,,
FEE-0221,PAY-0221,MDR,12.0,2.16,RC-NB-2025,,
FEE-0222,PAY-0222,MDR,63.54,11.44,RC-WALLET-2025,,
FEE-0223,PAY-0223,MDR,1.2,0.22,RC-UPI-2025,,
FEE-0224,PAY-0224,MDR,11.55,2.08,RC-CARD-2025,,
FEE-0225,PAY-0225,MDR,16.2,2.92,RC-UPI-2025,,
FEE-0226,PAY-0226,MDR,13.36,2.4,RC-UPI-2025,,
FEE-0227,PAY-0227,MDR,5.86,1.05,RC-UPI-2025,,
FEE-0228,PAY-0228,MDR,8.85,1.59,RC-CARD-2025,,
FEE-0229,PAY-0229,MDR,17.9,3.22,RC-EMI-2025,,
FEE-0230,PAY-0230,MDR,14.09,2.54,RC-WALLET-2025,,
FEE-0231,PAY-0231,MDR,25.67,4.62,RC-CARD-2025,,
FEE-0232,PAY-0232,MDR,1.2,0.22,RC-UPI-2025,,
FEE-0233,PAY-0233,MDR,2.57,0.46,RC-UPI-2025,,
FEE-0234,PAY-0234,MDR,38.6,6.95,RC-CARD-2025,,
FEE-0235,PAY-0235,MDR,22.67,4.08,RC-CARD-2025,,
FEE-0237,PAY-0237,MDR,71.0,12.78,RC-CARD-2025,,
FEE-0238,PAY-0238,MDR,31.86,5.73,RC-CARD-2025,,
FEE-0239,PAY-0239,MDR,22.97,4.13,RC-CARD-2025,,
FEE-0240,PAY-0240,MDR,3.24,0.58,RC-UPI-2025,,
FEE-0241,PAY-0241,MDR,89.73,16.15,RC-CARD-2025,,
FEE-0242,PAY-0242,MDR,5.38,0.97,RC-UPI-2025,,
FEE-0243,PAY-0243,MDR,9.91,1.78,RC-UPI-2025,,
FEE-0244,PAY-0244,MDR,1.2,0.22,RC-UPI-2025,,
FEE-0245,PAY-0245,MDR,6.57,1.18,RC-WALLET-2025,,
FEE-0246,PAY-0246,MDR,1.84,0.33,RC-UPI-2025,,
FEE-0247,PAY-0247,MDR,18.84,3.39,RC-WALLET-2025,,
FEE-0248,PAY-0248,MDR,1.66,0.3,RC-UPI-2025,,
FEE-0249,PAY-0249,MDR,207.17,37.29,RC-CARD-2025,,
FEE-0250,PAY-0250,MDR,10.81,1.95,RC-CARD-2025,,
FEE-0251,PAY-0251,MDR,1.2,0.22,RC-UPI-2025,,
FEE-0252,PAY-0252,MDR,47.9,8.62,RC-CARD-2025,,
FEE-0253,PAY-0253,MDR,17.64,3.18,RC-CARD-2025,,
FEE-0254,PAY-0254,MDR,109.52,19.71,RC-CARD-2025,,
FEE-0255,PAY-0255,MDR,9.54,1.72,RC-UPI-2025,,
FEE-0256,PAY-0256,MDR,46.54,8.38,RC-CARD-2025,,
FEE-0257,PAY-0257,MDR,5.98,1.08,RC-CARD-2025,,
FEE-0258,PAY-0258,MDR,3.5,0.63,RC-UPI-2025,,
FEE-0259,PAY-0259,MDR,12.0,2.16,RC-NB-2025,,
FEE-0260,PAY-0260,MDR,23.48,4.23,RC-CARD-2025,,
FEE-0261,PAY-0261,MDR,31.06,5.59,RC-WALLET-2025,,
FEE-0262,PAY-0262,MDR,92.94,16.73,RC-CARD-2025,,
FEE-0263,PAY-0263,MDR,8.89,1.6,RC-CARD-2025,,
FEE-0264,PAY-0264,MDR,6.67,1.2,RC-CARD-2025,,
FEE-0265,PAY-0265,MDR,29.12,5.24,RC-EMI-2025,,
FEE-0266,PAY-0266,MDR,10.27,1.85,RC-CARD-2025,,
FEE-0267,PAY-0267,MDR,5.98,1.08,RC-CARD-2025,,
FEE-0268,PAY-0268,MDR,59.67,10.74,RC-CARD-2025,,
FEE-0269,PAY-0269,MDR,6.81,1.23,RC-CARD-2025,,
FEE-0270,PAY-0270,MDR,49.03,8.83,RC-CARD-2025,,
FEE-0271,PAY-0271,MDR,23.03,4.15,RC-CARD-2025,,
FEE-0272,PAY-0272,MDR,2.96,0.53,RC-UPI-2025,,
FEE-0273,PAY-0273,MDR,11.01,1.98,RC-UPI-2025,,
FEE-0274,PAY-0274,MDR,25.99,4.68,RC-CARD-2025,,
FEE-0275,PAY-0275,MDR,1.51,0.27,RC-UPI-2025,,
FEE-0276,PAY-0276,MDR,3.38,0.61,RC-UPI-2025,,
FEE-0277,PAY-0277,MDR,3.42,0.62,RC-UPI-2025,,
FEE-0278,PAY-0278,MDR,33.8,6.08,RC-EMI-2025,,
FEE-0279,PAY-0279,MDR,9.89,1.78,RC-UPI-2025,,
FEE-0280,PAY-0280,MDR,18.09,3.26,RC-CARD-2025,,
FEE-0282,PAY-0282,MDR,110.87,19.96,RC-CARD-2025,,
FEE-0283,PAY-0283,MDR,22.15,3.99,RC-WALLET-2025,,
FEE-0284,PAY-0284,MDR,12.0,2.16,RC-NB-2025,,
FEE-0285,PAY-0285,MDR,1.2,0.22,RC-UPI-2025,,
FEE-0286,PAY-0286,MDR,12.0,2.16,RC-NB-2025,,
FEE-0288,PAY-0288,MDR,50.51,9.09,RC-CARD-2025,,
FEE-0289,PAY-0289,MDR,58.63,10.55,RC-CARD-2025,,
FEE-0290,PAY-0290,MDR,19.95,3.59,RC-WALLET-2025,,
FEE-0291,PAY-0291,MDR,31.02,5.58,RC-CARD-2025,,
FEE-0292,PAY-0292,MDR,41.42,7.46,RC-CARD-2025,,
FEE-0293,PAY-0293,MDR,9.12,1.64,RC-WALLET-2025,,
FEE-0294,PAY-0294,MDR,6.36,1.14,RC-CARD-2025,,
FEE-0295,PAY-0295,MDR,4.65,0.84,RC-UPI-2025,,
FEE-0296,PAY-0296,MDR,6.35,1.14,RC-CARD-2025,,
FEE-0297,PAY-0297,MDR,11.0,1.98,RC-EMI-2025,,
FEE-0298,PAY-0298,MDR,3.0,0.54,RC-UPI-2025,,
FEE-0299,PAY-0299,MDR,12.0,2.16,RC-NB-2025,,
FEE-0300,PAY-0300,MDR,40.27,7.25,RC-CARD-2025,,
FEE-0301,PAY-0301,MDR,92.58,16.66,RC-CARD-2025,,
FEE-0302,PAY-0302,MDR,16.62,2.99,RC-CARD-2025,,
FEE-0303,PAY-0303,MDR,28.03,5.05,RC-CARD-2025,,
FEE-0304,PAY-0304,MDR,15.22,2.74,RC-CARD-2025,,
FEE-0305,PAY-0305,MDR,7.99,1.44,RC-WALLET-2025,,
FEE-0306,PAY-0306,MDR,5.98,1.08,RC-CARD-2025,,
FEE-0307,PAY-0307,MDR,12.0,2.16,RC-NB-2025,,
FEE-0308,PAY-0308,MDR,5.98,1.08,RC-CARD-2025,,
FEE-0309,PAY-0309,MDR,12.0,2.16,RC-NB-2025,,
FEE-0310,PAY-0310,MDR,5.61,1.01,RC-UPI-2025,,
FEE-0311,PAY-0311,MDR,8.38,1.51,RC-CARD-2025,,
FEE-0312,PAY-0312,MDR,4.24,0.76,RC-UPI-2025,,
FEE-0313,PAY-0313,MDR,3.59,0.65,RC-CARD-2025,,
FEE-0313-2,PAY-0313-2,MDR,2.39,0.43,RC-CARD-2025,,
FEE-0314,PAY-0314,MDR,8.58,1.54,RC-UPI-2025,,
FEE-0315,PAY-0315,MDR,31.6,5.69,RC-CARD-2025,,
FEE-0316,PAY-0316,MDR,27.65,4.98,RC-UPI-2025,,
FEE-0317,PAY-0317,MDR,3.06,0.55,RC-UPI-2025,,
FEE-0318,PAY-0318,MDR,49.83,8.97,RC-CARD-2025,,
FEE-0319,PAY-0319,MDR,1.2,0.22,RC-UPI-2025,,
FEE-0320,PAY-0320,MDR,37.47,6.74,RC-CARD-2025,,
FEE-0321,PAY-0321,MDR,12.0,2.16,RC-NB-2025,,
FEE-0322,PAY-0322,MDR,3.75,0.67,RC-UPI-2025,,
FEE-0323,PAY-0323,MDR,4.21,0.76,RC-UPI-2025,,
FEE-0324,PAY-0324,MDR,8.61,1.55,RC-CARD-2025,,
FEE-0325,PAY-0325,MDR,3.25,0.58,RC-UPI-2025,,
FEE-0326,PAY-0326,MDR,5.98,1.08,RC-CARD-2025,,
FEE-0327,PAY-0327,MDR,12.58,2.26,RC-CARD-2025,,
FEE-0328,PAY-0328,MDR,9.77,1.76,RC-CARD-2025,,
FEE-0329,PAY-0329,MDR,2.15,0.39,RC-UPI-2025,,
FEE-0330,PAY-0330,MDR,3.29,0.59,RC-UPI-2025,,
FEE-0331,PAY-0331,MDR,15.54,2.8,RC-UPI-2025,,
FEE-0332,PAY-0332,MDR,11.88,2.14,RC-CARD-2025,,
FEE-0333,PAY-0333,MDR,8.19,1.47,RC-UPI-2025,,
FEE-0334,PAY-0334,MDR,111.9,20.14,RC-CARD-2025,,
FEE-0335,PAY-0335,MDR,12.0,2.16,RC-NB-2025,,
FEE-0336,PAY-0336,MDR,7.32,1.32,RC-CARD-2025,,
FEE-0337,PAY-0337,MDR,27.79,5.0,RC-CARD-2025,,
FEE-0338,PAY-0338,MDR,5.34,0.96,RC-UPI-2025,,
FEE-0339,PAY-0339,MDR,12.0,2.16,RC-NB-2025,,
FEE-0340,PAY-0340,MDR,119.15,21.45,RC-CARD-2025,,
FEE-0341,PAY-0341,MDR,8.69,1.56,RC-UPI-2025,,
FEE-0342,PAY-0342,MDR,13.13,2.36,RC-CARD-2025,,
FEE-0343,PAY-0343,MDR,12.0,2.16,RC-NB-2025,,
FEE-0344,PAY-0344,MDR,8.81,1.59,RC-CARD-2025,,
FEE-0345,PAY-0345,MDR,12.0,2.16,RC-NB-2025,,
FEE-0346,PAY-0346,MDR,42.17,7.59,RC-CARD-2025,,
FEE-0347,PAY-0347,MDR,23.34,4.2,RC-UPI-2025,,
FEE-0348,PAY-0348,MDR,28.82,5.19,RC-CARD-2025,,
FEE-0349,PAY-0349,MDR,9.18,1.65,RC-CARD-2025,,
FEE-0350,PAY-0350,MDR,36.94,6.65,RC-EMI-2025,,
FEE-0351,PAY-0351,MDR,5.98,1.08,RC-CARD-2025,,
FEE-0352,PAY-0352,MDR,12.0,2.16,RC-NB-2025,,
FEE-0353,PAY-0353,MDR,49.51,8.91,RC-CARD-2025,,
FEE-0354,PAY-0354,MDR,132.59,23.87,RC-WALLET-2025,,
FEE-0355,PAY-0355,MDR,47.11,8.48,RC-UPI-2025,,
FEE-0356,PAY-0356,MDR,70.04,12.61,RC-CARD-2025,,
FEE-0358,PAY-0358,MDR,30.91,5.56,RC-WALLET-2025,,
FEE-0359,PAY-0359,MDR,15.89,2.86,RC-WALLET-2025,,
FEE-0360,PAY-0360,MDR,50.24,9.04,RC-CARD-2025,,
FEE-0361,PAY-0361,MDR,4.19,0.75,RC-UPI-2025,,
