settlement_id,payment_id,amount,fee_deducted,tax_deducted,utr,expected_credit_date,settled_at,status,source
SET-0146,PAY-0146,839.11,12.0,2.16,UTR00000146,2025-01-19,2025-01-20T08:27:57Z,PROCESSED,
SET-0147,PAY-0147,848.18,20.5,3.69,UTR00000147,2025-01-19,2025-01-19T11:20:16Z,PROCESSED,
SET-0148,PAY-0148,464.08,1.87,0.34,UTR00000148,2025-01-19,2025-01-19T17:46:18Z,PROCESSED,
SET-0148-2,PAY-0148-2,309.4,1.24,0.22,UTR00000148B,2025-01-19,2025-01-19T17:46:18Z,PROCESSED,
SET-0149,PAY-0149,1643.51,12.0,2.16,UTR00000149,2025-01-19,2025-01-20T17:59:54Z,PROCESSED,
SET-0150,PAY-0150,599.5,2.41,0.43,UTR00000150,2025-01-19,2025-01-20T19:41:33Z,PROCESSED,
SET-0151,PAY-0151,409.32,1.65,0.3,UTR00000151,2025-01-19,2025-01-19T19:04:33Z,PROCESSED,
SET-0152,PAY-0152,1735.17,58.34,10.5,UTR00000152,2025-01-20,2025-01-20T01:22:55Z,PROCESSED,
SET-0153,PAY-0153,1306.09,5.25,0.94,UTR00000153,2025-01-20,2025-01-21T01:48:04Z,PROCESSED,
SET-0154,PAY-0154,1256.15,25.73,4.63,UTR00000154,2025-01-20,2025-01-20T02:16:40Z,PROCESSED,
SET-0155,PAY-0155,290.7,7.03,1.27,UTR00000155,2025-01-20,2025-01-21T05:35:15Z,PROCESSED,
SET-0156,PAY-0156,754.4,3.03,0.55,UTR00000156,2025-01-20,2025-01-20T05:48:34Z,PROCESSED,
SET-0158,PAY-0158,6940.54,27.89,5.02,UTR00000158,2025-01-20,2025-01-21T07:57:57Z,PROCESSED,
SET-0159,PAY-0159,2129.78,43.62,7.85,UTR00000159,2025-01-20,2025-01-20T09:07:36Z,PROCESSED,
SET-0160,PAY-0160,1020.09,24.66,4.44,UTR00000160,2025-01-20,2025-01-20T14:24:12Z,PROCESSED,
SET-0161,PAY-0161,574.96,15.38,2.77,UTR00000161,2025-01-20,2025-01-20T16:09:20Z,PROCESSED,
SET-0161-2,PAY-0161-2,374.59,18.25,3.28,UTR00000161B,2025-01-20,2025-01-20T16:09:20Z,PROCESSED,
SET-0162,PAY-0162,664.44,12.91,2.32,UTR00000162,2025-01-20,2025-01-20T14:23:19Z,PROCESSED,
SET-0163,PAY-0163,297.58,1.2,0.22,UTR00000163,2025-01-20,2025-01-21T22:20:19Z,PROCESSED,
SET-0164,PAY-0164,281.74,8.03,1.45,UTR00000164,2025-01-20,2025-01-20T17:47:09Z,PROCESSED,
SET-0165,PAY-0165,3488.78,14.02,2.52,UTR00000165,2025-01-21,2025-01-21T03:05:34Z,PROCESSED,
SET-0166,PAY-0166,336.83,1.35,0.24,UTR00000166,2025-01-20,2025-01-21T22:09:03Z,PROCESSED,
SET-0167,PAY-0167,297.58,1.2,0.22,UTR00000167,2025-01-21,2025-01-21T00:26:31Z,PROCESSED,
SET-0168,PAY-0168,441.31,9.15,1.65,UTR00000168,2025-01-21,2025-01-22T06:39:36Z,PROCESSED,
SET-0169,PAY-0169,1584.83,32.46,5.84,UTR00000169,2025-01-21,2025-01-22T04:18:10Z,PROCESSED,
SET-0170,PAY-0170,291.94,5.98,1.08,UTR00000170,2025-01-21,2025-01-21T11:57:15Z,PROCESSED,
SET-0171,PAY-0171,2370.61,48.56,8.74,UTR00000171,2025-01-21,2025-01-21T12:50:11Z,PROCESSED,
SET-0172,PAY-0172,405.89,8.31,1.5,UTR00000172,2025-01-21,2025-01-21T12:22:58Z,PROCESSED,
SET-0173,PAY-0173,1218.43,31.5,5.67,UTR00000173,2025-01-21,2025-01-21T15:52:01Z,PROCESSED,
SET-0174,PAY-0174,675.03,13.83,2.49,UTR00000174,2025-01-21,2025-01-21T12:54:51Z,PROCESSED,
SET-0175,PAY-0175,297.58,1.2,0.22,UTR00000175,2025-01-21,2025-01-22T17:44:11Z,PROCESSED,
SET-0176,PAY-0176,1742.84,70.17,12.63,UTR00000176,2025-01-21,2025-01-22T19:36:19Z,PROCESSED,
SET-0177,PAY-0177,2474.3,59.8,10.76,UTR00000177,2025-01-21,2025-01-22T23:27:14Z,PROCESSED,
SET-0178,PAY-0178,3558.29,89.74,16.15,UTR00000178,2025-01-22,2025-01-23T00:11:17Z,PROCESSED,
SET-0179,PAY-0179,2011.23,51.5,9.27,UTR00000179,2025-01-22,2025-01-22T02:38:30Z,PROCESSED,
SET-0180,PAY-0180,328.87,1.32,0.24,UTR00000180,2025-01-22,2025-01-22T02:00:43Z,PROCESSED,
SET-0181,PAY-0181,293.14,5.7,1.03,UTR00000181,2025-01-22,2025-01-22T06:39:25Z,PROCESSED,
SET-0182,PAY-0182,11894.06,68.45,12.32,UTR00000182,2025-01-22,2025-01-23T11:21:16Z,PROCESSED,
SET-0183,PAY-0183,810.37,16.6,2.99,UTR00000183,2025-01-22,2025-01-23T05:31:18Z,PROCESSED,
SET-0184,PAY-0184,1362.28,12.0,2.16,UTR00000184,2025-01-22,2025-01-22T13:30:26Z,PROCESSED,
SET-0185,PAY-0185,3706.71,75.93,13.67,UTR00000185,2025-01-22,2025-01-23T15:46:23Z,PROCESSED,
SET-0186,PAY-0186,735.92,23.07,4.15,UTR00000186,2025-01-22,2025-01-22T12:09:13Z,PROCESSED,
SET-0187,PAY-0187,1215.63,4.89,0.88,UTR00000187,2025-01-22,2025-01-23T19:12:50Z,PROCESSED,
SET-0189,PAY-0189,2086.16,42.73,7.69,UTR00000189,2025-01-22,2025-01-22T23:38:21Z,PROCESSED,
SET-0190,PAY-0190,1350.8,27.67,4.98,UTR00000190,2025-01-22,2025-01-23T21:07:52Z,PROCESSED,
SET-0191,PAY-0191,1313.79,12.0,2.16,UTR00000191,2025-01-23,2025-01-23T03:35:47Z,PROCESSED,
SET-0192,PAY-0192,1036.44,21.23,3.82,UTR00000192,2025-01-23,2025-01-23T04:19:57Z,PROCESSED,
SET-0193,PAY-0193,676.65,13.15,2.37,UTR00000193,2025-01-23,2025-01-23T03:29:33Z,PROCESSED,
SET-0194,PAY-0194,594.45,2.39,0.43,UTR00000194,2025-01-23,2025-01-23T03:18:34Z,PROCESSED,
SET-0195,PAY-0195,581.48,11.91,2.14,UTR00000195,2025-01-23,2025-01-24T06:51:48Z,PROCESSED,
SET-0197,PAY-0197,5541.34,22.27,4.01,UTR00000197,2025-01-23,2025-01-23T09:25:38Z,PROCESSED,
SET-0198,PAY-0198,353.19,1.42,0.26,UTR00000198,2025-01-23,2025-01-23T14:00:56Z,PROCESSED,
SET-0199,PAY-0199,976.5,3.92,0.71,UTR00000199,2025-01-23,2025-01-23T11:48:47Z,PROCESSED,
SET-0200,PAY-0200,6091.3,124.77,22.46,UTR00000200,2025-01-23,2025-01-24T20:15:15Z,PROCESSED,
SET-0201,PAY-0201,232.14,6.42,1.16,UTR00000201,2025-01-23,2025-01-23T23:33:05Z,PROCESSED,
SET-0202,PAY-0202,1830.67,7.36,1.32,UTR00000202,2025-01-24,2025-01-24T00:01:40Z,PROCESSED,
SET-0203,PAY-0203,423.02,8.66,1.56,UTR00000203,2025-01-23,2025-01-24T21:46:21Z,PROCESSED,
SET-0204,PAY-0204,355.98,7.29,1.31,UTR00000204,2025-01-24,2025-01-24T01:49:46Z,PROCESSED,
SET-0205,PAY-0205,606.5,12.42,2.24,UTR00000205,2025-01-24,2025-01-24T06:06:23Z,PROCESSED,
SET-0206,PAY-0206,627.6,12.2,2.2,UTR00000206,2025-01-24,2025-01-25T02:41:42Z,PROCESSED,
SET-0207,PAY-0207,1103.29,22.6,4.07,UTR00000207,2025-01-24,2025-01-24T07:35:16Z,PROCESSED,
SET-0208,PAY-0208,519.18,10.63,1.91,UTR00000208,2025-01-24,2025-01-25T05:49:59Z,PROCESSED,
SET-0209,PAY-0209,6419.57,134.15,24.15,UTR00000209,2025-01-24,2025-01-24T14:41:10Z,PROCESSED,
SET-0210,PAY-0210,10420.94,251.88,45.34,UTR00000210,2025-01-24,2025-01-25T14:21:07Z,PROCESSED,
SET-0211,PAY-0211,291.94,5.98,1.08,UTR00000211,2025-01-24,2025-01-25T13:16:29Z,PROCESSED,
SET-0212,PAY-0212,362.39,7.42,1.34,UTR00000212,2025-01-24,2025-01-25T20:07:02Z,PROCESSED,
SET-0213,PAY-0213,837.11,17.15,3.09,UTR00000213,2025-01-24,2025-01-25T20:10:12Z,PROCESSED,
SET-0214,PAY-0214,1716.22,12.0,2.16,UTR00000214,2025-01-24,2025-01-25T20:52:23Z,PROCESSED,
SET-0215,PAY-0215,937.02,3.77,0.68,UTR00000215,2025-01-24,2025-01-25T23:41:34Z,PROCESSED,
SET-0216,PAY-0216,3342.64,12.0,2.16,UTR00000216,2025-01-24,2025-01-24T21:51:29Z,PROCESSED,
SET-0217,PAY-0217,3432.11,13.79,2.48,UTR00000217,2025-01-24,2025-01-25T23:20:13Z,PROCESSED,
SET-0218,PAY-0218,640.47,15.48,2.79,UTR00000218,2025-01-25,2025-01-25T03:14:49Z,PROCESSED,
SET-0219,PAY-0219,1006.0,5.89,1.06,UTR00000219,2025-01-25,2025-01-26T08:40:55Z,PROCESSED,
SET-0220,PAY-0220,1435.0,29.39,5.29,UTR00000220,2025-01-25,2025-01-26T05:06:35Z,PROCESSED,
SET-0221,PAY-0221,633.39,12.0,2.16,UTR00000221,2025-01-25,2025-01-26T10:26:49Z,PROCESSED,
SET-0222,PAY-0222,3269.41,63.54,11.44,UTR00000222,2025-01-25,2025-01-26T14:31:21Z,PROCESSED,
SET-0223,PAY-0223,297.58,1.2,0.22,UTR00000223,2025-01-25,2025-01-25T14:09:38Z,PROCESSED,
SET-0224,PAY-0224,373.09,11.55,2.08,UTR00000224,2025-01-25,2025-01-25T11:14:10Z,PROCESSED,
SET-0225,PAY-0225,4030.19,16.2,2.92,UTR00000225,2025-01-25,2025-01-25T18:34:50Z,PROCESSED,
SET-0226,PAY-0226,3325.14,13.36,2.4,UTR00000226,2025-01-25,2025-01-25T17:58:38Z,PROCESSED,
SET-0227,PAY-0227,1459.15,5.86,1.05,UTR00000227,2025-01-25,2025-01-25T21:22:19Z,PROCESSED,
