payment_id,order_id,gateway_payment_id,amount,method,status,currency,captured_at,settled,source
PAY-0022,ORD-22,pay_000022axkkkkk,646.09,CARD,CAPTURED,,2025-01-06T14:05:24Z,,
PAY-0023,ORD-23,pay_000023axkkkkkkkkk,2138.65,UPI,CAPTURED,,2025-01-06T18:33:12Z,,
PAY-0024,ORD-24,pay_000024axkkkkkkkkk,20063.33,CARD,CAPTURED,,2025-01-06T21:15:51Z,,
PAY-0025,ORD-25,pay_000025axkkkkkkkk,2913.59,CARD,CAPTURED,,2025-01-06T17:54:27Z,,
PAY-0026,ORD-26,pay_000026axkkkkkk,609.38,CARD,CAPTURED,,2025-01-07T00:41:20Z,,
PAY-0027,ORD-27,pay_000027axkkkkkk,918.18,UPI,CAPTURED,,2025-01-06T23:14:18Z,,
PAY-0028,ORD-28,pay_000028axkkkk,4571.73,CARD,CAPTURED,,2025-01-07T06:01:37Z,,
PAY-0029,ORD-29,pay_000029axkkkkkkk,2630.34,UPI,CAPTURED,,2025-01-07T07:20:23Z,,
PAY-0030,ORD-30,pay_000030axkkkkkkk,590.71,CARD,CAPTURED,,2025-01-07T09:31:21Z,,
PAY-0031,ORD-31,pay_000031axkkkkkkkk,767.46,CARD,CAPTURED,,2025-01-07T10:09:48Z,,
PAY-0032,ORD-32,pay_000032axkkkkkkkk,3860.33,UPI,CAPTURED,,2025-01-07T10:52:11Z,,
PAY-0033,ORD-33,pay_000033axkkkkk,4557.52,CARD,CAPTURED,,2025-01-07T10:59:20Z,,
PAY-0034,ORD-34,pay_000034axkkkkkk,1253.66,UPI,CAPTURED,,2025-01-07T14:57:09Z,,
PAY-0035,ORD-35,pay_000035axkkkkkkkkkk,1094.66,UPI,CAPTURED,,2025-01-07T18:05:31Z,,
PAY-0036,ORD-36,pay_000036axkkkkkk,4333.42,UPI,CAPTURED,,2025-01-07T17:12:30Z,,
PAY-0037,ORD-37,pay_000037axkkkk,1423.49,CARD,CAPTURED,,2025-01-07T23:56:30Z,,
PAY-0038,ORD-38,pay_000038axkkkkkkk,4377.35,CARD,CAPTURED,,2025-01-08T02:22:05Z,,
PAY-0039,ORD-39,pay_000039axkkkk,308.08,CARD,CAPTURED,,2025-01-07T20:16:44Z,,
PAY-0040,ORD-40,pay_000040axkkkkkkkkk,393.21,EMI,CAPTURED,,2025-01-08T04:58:28Z,,
PAY-0041,ORD-41,pay_000041axkkkkkk,1838.76,UPI,CAPTURED,,2025-01-08T07:32:02Z,,
PAY-0042,ORD-42,pay_000042axkkkk,299.0,NETBANKING,CAPTURED,,2025-01-08T03:20:00Z,,
PAY-0043,ORD-43,pay_000043axkkkkkkkk,456.96,CARD,CAPTURED,,2025-01-08T10:10:58Z,,
PAY-0044,ORD-44,pay_000044axkkkkkk,912.64,WALLET,CAPTURED,,2025-01-08T09:36:22Z,,
PAY-0045,ORD-45,pay_000045axkkkkkkkkkk,976.98,UPI,CAPTURED,,2025-01-08T10:45:16Z,,
PAY-0046,ORD-46,pay_000046axkkkkk,179.4,CARD,CAPTURED,,2025-01-08T12:14:04Z,,
PAY-0046-2,ORD-46,pay_000046bxkkkkkk,119.6,CARD,CAPTURED,,2025-01-08T11:57:04Z,,
PAY-0047,ORD-47,pay_000047axkkkkkkkkkk,3665.08,UPI,CAPTURED,,2025-01-08T12:56:05Z,,
PAY-0048,ORD-48,pay_000048axkkkkkkkkkk,3671.68,NETBANKING,CAPTURED,,2025-01-08T15:10:39Z,,
PAY-0048-2,ORD-48,pay_000048bxkkkkkkk,2447.79,NETBANKING,CAPTURED,,2025-01-08T15:26:39Z,,
PAY-0049,ORD-49,pay_000049axkkkkkkkkk,785.78,EMI,CAPTURED,,2025-01-08T22:09:54Z,,
PAY-0050,ORD-50,pay_000050axkkkkkkkk,831.75,UPI,CAPTURED,,2025-01-08T20:21:38Z,,
PAY-0051,ORD-51,pay_000051axkkkkkkk,357.66,EMI,CAPTURED,,2025-01-08T20:00:30Z,,
PAY-0052,ORD-52,pay_000052axkkkkk,801.73,WALLET,CAPTURED,,2025-01-08T21:52:13Z,,
PAY-0053,ORD-53,pay_000053axkkkkkkk,1334.35,UPI,CAPTURED,,2025-01-09T02:26:55Z,,
PAY-0054,ORD-54,pay_000054axkkkkkkkk,964.05,WALLET,CAPTURED,,2025-01-09T01:33:07Z,,
PAY-0055,ORD-55,pay_000055axkkkkkkkkkk,606.49,CARD,CAPTURED,,2025-01-09T05:57:14Z,,
PAY-0056,ORD-56,pay_000056axkkkkkkk,2075.36,CARD,CAPTURED,,2025-01-09T12:18:53Z,,
PAY-0057,ORD-57,pay_000057axkkkk,333.64,CARD,CAPTURED,,2025-01-09T09:43:46Z,,
PAY-0058,ORD-58,pay_000058axkkkkk,4216.65,UPI,CAPTURED,,2025-01-09T13:51:30Z,,
PAY-0059,ORD-59,pay_000059axkkkkk,2067.73,CARD,CAPTURED,,2025-01-09T12:42:08Z,,
PAY-0060,ORD-60,pay_000060axkkkkk,349.93,WALLET,CAPTURED,,2025-01-09T19:35:20Z,,
PAY-0061,ORD-61,pay_000061axkkkkkkk,1629.32,EMI,CAPTURED,,2025-01-09T14:26:08Z,,
PAY-0062,ORD-62,pay_000062axkkkkkkkkk,15444.46,NETBANKING,CAPTURED,,2025-01-09T22:42:49Z,,
PAY-0063,ORD-63,pay_000063axkkkkkkkkk,1481.53,NETBANKING,CAPTURED,,2025-01-09T22:11:04Z,,
PAY-0064,ORD-64,pay_000064axkkkkk,4977.65,CARD,CAPTURED,,2025-01-10T00:29:54Z,,
PAY-0065,ORD-65,pay_000065axkkkkk,1610.84,WALLET,CAPTURED,,2025-01-09T22:46:05Z,,
PAY-0066,ORD-66,pay_000066axkkkkkk,385.94,CARD,CAPTURED,,2025-01-10T03:05:31Z,,
PAY-0067,ORD-67,pay_000067axkkkkkkkkkk,3204.83,CARD,CAPTURED,,2025-01-10T02:12:42Z,,
PAY-0068,ORD-68,pay_000068axkkkk,299.0,NETBANKING,CAPTURED,,2025-01-10T08:16:01Z,,
PAY-0069,ORD-69,pay_000069axkkkk,3083.47,CARD,CAPTURED,,2025-01-10T07:56:31Z,,
PAY-0070,ORD-70,pay_000070axkkkkkk,11560.59,EMI,CAPTURED,,2025-01-10T14:44:14Z,,
PAY-0071,ORD-71,pay_000071axkkkkkkkk,1232.19,NETBANKING,CAPTURED,,2025-01-10T14:44:29Z,,
PAY-0072,ORD-72,pay_000072axkkkkkkkkk,857.59,UPI,CAPTURED,,2025-01-10T16:37:49Z,,
PAY-0073,ORD-73,pay_000073axkkkkk,5330.08,CARD,CAPTURED,,2025-01-10T20:44:31Z,,
PAY-0074,ORD-74,pay_000074axkkkkkkkk,1734.26,UPI,CAPTURED,,2025-01-10T17:58:17Z,,
PAY-0075,ORD-75,pay_000075axkkkkkkk,391.54,CARD,CAPTURED,,2025-01-10T21:56:58Z,,
PAY-0076,ORD-76,pay_000076axkkkkkkkkk,625.05,UPI,CAPTURED,,2025-01-10T20:08:32Z,,
PAY-0077,ORD-77,pay_000077axkkkkkkk,5255.18,UPI,CAPTURED,,2025-01-11T02:51:11Z,,
PAY-0078,ORD-78,pay_000078axkkkkkkkkkk,439.63,CARD,CAPTURED,,2025-01-10T22:52:16Z,,
PAY-0079,ORD-79,pay_000079axkkkkkkkk,299.0,CARD,CAPTURED,,2025-01-11T00:41:10Z,,
PAY-0080,ORD-80,pay_000080axkkkkkkkkk,2092.2,CARD,CAPTURED,,2025-01-11T08:03:10Z,,
PAY-0081,ORD-81,pay_000081axkkkk,648.47,UPI,CAPTURED,,2025-01-11T06:02:21Z,,
PAY-0082,ORD-82,pay_000082axkkkkkkkkk,1392.9,NETBANKING,CAPTURED,,2025-01-11T13:03:58Z,,
PAY-0083,ORD-83,pay_000083axkkkk,3983.74,CARD,CAPTURED,,2025-01-11T10:22:41Z,,
PAY-0084,ORD-84,pay_000084axkkkkkkkkkk,1575.92,EMI,CAPTURED,,2025-01-11T10:33:05Z,,
PAY-0085,ORD-85,pay_000085axkkkkkkkk,329.02,CARD,CAPTURED,,2025-01-11T19:23:31Z,,
PAY-0086,ORD-86,pay_000086axkkkkkk,344.46,CARD,CAPTURED,,2025-01-11T15:33:24Z,,
PAY-0087,ORD-87,pay_000087axkkkkkkkkk,3077.56,UPI,CAPTURED,,2025-01-11T23:21:21Z,,
PAY-0088,ORD-88,pay_000088axkkkk,4378.31,CARD,CAPTURED,,2025-01-11T18:11:10Z,,
PAY-0089,ORD-89,pay_000089axkkkkk,3273.01,CARD,CAPTURED,,2025-01-11T22:39:29Z,,
PAY-0090,ORD-90,pay_000090axkkkk,1355.41,WALLET,CAPTURED,,2025-01-11T23:44:34Z,,
PAY-0091,ORD-91,pay_000091axkkkkkkk,2039.25,UPI,CAPTURED,,2025-01-12T03:01:15Z,,
PAY-0092,ORD-92,pay_000092axkkkkkkkkkk,1358.15,UPI,CAPTURED,,2025-01-12T06:35:41Z,,
PAY-0093,ORD-93,pay_000093axkkkkkkkk,5011.47,UPI,CAPTURED,,2025-01-12T10:15:55Z,,
PAY-0094,ORD-94,pay_000094axkkkkkkkk,524.92,UPI,CAPTURED,,2025-01-12T08:02:30Z,,
PAY-0095,ORD-95,pay_000095axkkkkkkkkkk,673.11,UPI,CAPTURED,,2025-01-12T07:53:57Z,,
PAY-0096,ORD-96,pay_000096axkkkkkk,10810.38,CARD,CAPTURED,,2025-01-12T11:46:11Z,,
PAY-0097,ORD-97,pay_000097axkkkkkkkkk,1540.37,EMI,CAPTURED,,2025-01-12T13:43:54Z,,
PAY-0098,ORD-98,pay_000098axkkkk,1453.94,UPI,CAPTURED,,2025-01-12T14:17:10Z,,
PAY-0099,ORD-99,pay_000099axkkkkkk,630.22,CARD,CAPTURED,,2025-01-12T20:20:38Z,,
PAY-0100,ORD-100,pay_000100axkkkk,2198.32,CARD,CAPTURED,,2025-01-12T18:32:18Z,,
PAY-0101,ORD-101,pay_000101axkkkkkk,2159.58,NETBANKING,CAPTURED,,2025-01-13T00:18:40Z,,
PAY-0102,ORD-102,pay_000102axkkkkkkk,2473.01,WALLET,CAPTURED,,2025-01-13T01:55:33Z,,
PAY-0103,ORD-103,pay_000103axkkkkk,3544.27,NETBANKING,CAPTURED,,2025-01-13T03:32:02Z,,
PAY-0104,ORD-104,pay_000104axkkkk,893.19,UPI,CAPTURED,,2025-01-13T00:13:59Z,,
PAY-0105,ORD-105,pay_000105axkkkkkkkkkk,454.23,CARD,CAPTURED,,2025-01-13T07:06:32Z,,
PAY-0106,ORD-106,pay_000106axkkkkk,3485.26,CARD,CAPTURED,,2025-01-13T09:23:31Z,,
PAY-0107,ORD-107,pay_000107axkkkk,920.72,CARD,CAPTURED,,2025-01-13T06:52:04Z,,
PAY-0108,ORD-108,pay_000108axkkkkkk,324.68,CARD,CAPTURED,,2025-01-13T12:02:12Z,,
PAY-0109,ORD-109,pay_000109axkkkkkk,1179.94,UPI,CAPTURED,,2025-01-13T15:37:34Z,,
PAY-0110,ORD-110,pay_000110axkkkkk,698.94,CARD,CAPTURED,,2025-01-13T13:08:56Z,,
PAY-0111,ORD-111,pay_000111axkkkkkk,428.61,CARD,CAPTURED,,2025-01-13T14:17:21Z,,
PAY-0112,ORD-112,pay_000112axkkkkkkk,1757.72,UPI,CAPTURED,,2025-01-13T19:02:27Z,,
PAY-0113,ORD-113,pay_000113axkkkk,1016.83,CARD,CAPTURED,,2025-01-13T20:19:05Z,,
PAY-0114,ORD-114,pay_000114axkkkk,2103.02,UPI,CAPTURED,,2025-01-13T21:15:09Z,,
PAY-0115,ORD-115,pay_000115axkkkkkkkkk,872.61,EMI,CAPTURED,,2025-01-14T02:22:08Z,,
PAY-0116,ORD-116,pay_000116axkkkk,357.25,NETBANKING,CAPTURED,,2025-01-14T04:51:18Z,,
PAY-0117,ORD-117,pay_000117axkkkkkkkkk,1942.76,WALLET,CAPTURED,,2025-01-14T05:21:32Z,,
PAY-0118,ORD-118,pay_000118axkkkkkkkk,299.0,UPI,CAPTURED,,2025-01-14T04:07:10Z,,
PAY-0119,ORD-119,pay_000119axkkkk,2312.53,CARD,CAPTURED,,2025-01-14T10:16:00Z,,
PAY-0120,ORD-120,pay_000120axkkkkk,4288.54,CARD,CAPTURED,,2025-01-14T08:53:05Z,,
PAY-0121,ORD-121,pay_000121axkkkk,947.88,UPI,CAPTURED,,2025-01-14T15:33:09Z,,
PAY-0122,ORD-122,pay_000122axkkkkkk,1512.62,WALLET,CAPTURED,,2025-01-14T16:43:20Z,,
PAY-0123,ORD-123,pay_000123axkkkkkkkkkk,609.05,EMI,CAPTURED,,2025-01-14T18:38:23Z,,
PAY-0124,ORD-124,pay_000124axkkkkkk,1418.24,CARD,CAPTURED,,2025-01-14T13:58:01Z,,
PAY-0125,ORD-125,pay_000125axkkkkkkkk,5798.86,UPI,CAPTURED,,2025-01-14T17:27:26Z,,
PAY-0126,ORD-126,pay_000126axkkkkkkkkk,1289.58,UPI,CAPTURED,,2025-01-15T00:51:02Z,,
PAY-0127,ORD-127,pay_000127axkkkkk,686.49,CARD,CAPTURED,,2025-01-14T19:40:37Z,,
PAY-0128,ORD-128,pay_000128axkkkkkkk,502.2,CARD,CAPTURED,,2025-01-15T04:24:37Z,,
PAY-0129,ORD-129,pay_000129axkkkkk,1501.19,UPI,CAPTURED,,2025-01-15T01:55:07Z,,
PAY-0130,ORD-130,pay_000130axkkkkkkkk,1545.53,CARD,CAPTURED,,2025-01-15T04:46:48Z,,
PAY-0131,ORD-131,pay_000131axkkkk,1304.1,CARD,CAPTURED,,2025-01-15T05:23:49Z,,
PAY-0132,ORD-132,pay_000132axkkkkkkkkk,535.76,UPI,CAPTURED,,2025-01-15T05:20:36Z,,
PAY-0133,ORD-133,pay_000133axkkkkkkkk,1980.4,CARD,CAPTURED,,2025-01-15T08:34:34Z,,
PAY-0134,ORD-134,pay_000134axkkkkkkk,378.73,CARD,CAPTURED,,2025-01-15T13:41:58Z,,
PAY-0136,ORD-136,pay_000136axkkkkkkk,325.03,CARD,CAPTURED,,2025-01-15T18:48:02Z,,
PAY-0137,ORD-137,pay_000137axkkkkk,312.57,CARD,CAPTURED,,2025-01-15T17:14:41Z,,
PAY-0138,ORD-138,pay_000138axkkkkkkkkkk,2143.47,CARD,CAPTURED,,2025-01-15T18:12:50Z,,
PAY-0139,ORD-139,pay_000139axkkkkkkk,469.85,CARD,CAPTURED,,2025-01-16T00:06:32Z,,
PAY-0140,ORD-140,pay_000140axkkkkkk,585.99,NETBANKING,CAPTURED,,2025-01-16T00:41:06Z,,
PAY-0141,ORD-141,pay_000141axkkkkkkkk,2858.22,UPI,CAPTURED,,2025-01-16T01:24:24Z,,
PAY-0142,ORD-142,pay_000142axkkkkkk,582.38,UPI,CAPTURED,,2025-01-16T05:42:16Z,,
PAY-0143,ORD-143,pay_000143axkkkkkkkk,2065.01,CARD,CAPTURED,,2025-01-16T05:56:40Z,,
PAY-0144,ORD-144,pay_000144axkkkkkkkkk,2415.57,UPI,CAPTURED,,2025-01-16T04:57:58Z,,
PAY-0145,ORD-145,pay_000145axkkkkkkkk,355.6,NETBANKING,CAPTURED,,2025-01-16T07:54:29Z,,
PAY-0146,ORD-146,pay_000146axkkkkkkk,853.27,NETBANKING,CAPTURED,,2025-01-16T08:40:57Z,,
PAY-0147,ORD-147,pay_000147axkkkkkk,872.37,EMI,CAPTURED,,2025-01-16T11:39:16Z,,
PAY-0148,ORD-148,pay_000148axkkkk,466.29,UPI,CAPTURED,,2025-01-16T17:50:18Z,,
PAY-0148-2,ORD-148,pay_000148bxkkkkkkk,310.86,UPI,CAPTURED,,2025-01-16T18:05:18Z,,
PAY-0149,ORD-149,pay_000149axkkkkkk,1657.67,NETBANKING,CAPTURED,,2025-01-16T18:11:54Z,,
PAY-0150,ORD-150,pay_000150axkkkkkk,602.34,UPI,CAPTURED,,2025-01-16T19:43:33Z,,
PAY-0151,ORD-151,pay_000151axkkkkkkkkk,411.27,UPI,CAPTURED,,2025-01-16T19:12:33Z,,
PAY-0152,ORD-152,pay_000152axkkkkkkkkkk,2916.75,CARD,CAPTURED,,2025-01-17T01:34:55Z,,
PAY-0153,ORD-153,pay_000153axkkkkkkk,1312.28,UPI,CAPTURED,,2025-01-17T01:53:04Z,,
PAY-0154,ORD-154,pay_000154axkkkkkkkk,1286.51,CARD,CAPTURED,,2025-01-17T02:22:40Z,,
PAY-0155,ORD-155,pay_000155axkkkk,299.0,EMI,CAPTURED,,2025-01-17T05:48:15Z,,
PAY-0156,ORD-156,pay_000156axkkkk,757.98,UPI,CAPTURED,,2025-01-17T06:05:34Z,,
PAY-0157,ORD-157,pay_000157axkkkkk,834.64,CARD,CAPTURED,,2025-01-17T07:36:00Z,,
PAY-0158,ORD-158,pay_000158axkkkkkk,6973.45,UPI,CAPTURED,,2025-01-17T08:14:57Z,,
PAY-0159,ORD-159,pay_000159axkkkkkkkkk,2181.25,CARD,CAPTURED,,2025-01-17T09:21:36Z,,
PAY-0160,ORD-160,pay_000160axkkkkkkkk,1049.19,EMI,CAPTURED,,2025-01-17T14:36:12Z,,
PAY-0161,ORD-161,pay_000161axkkkkk,592.5,NETBANKING,CAPTURED,,2025-01-17T16:22:20Z,,
PAY-0161-2,ORD-161,pay_000161bxkkkkkkkkk,395.0,NETBANKING,CAPTURED,,2025-01-17T16:19:20Z,,
PAY-0162,ORD-162,pay_000162axkkkk,679.67,WALLET,CAPTURED,,2025-01-17T14:27:19Z,,
PAY-0163,ORD-163,pay_000163axkkkkkkk,299.0,UPI,CAPTURED,,2025-01-17T22:37:19Z,,
PAY-0164,ORD-164,pay_000164axkkkkkkkkk,299.0,WALLET,CAPTURED,,2025-01-17T18:01:09Z,,
PAY-0165,ORD-165,pay_000165axkkkkk,3505.32,UPI,CAPTURED,,2025-01-18T03:10:34Z,,
PAY-0166,ORD-166,pay_000166axkkkkkkkk,338.42,UPI,CAPTURED,,2025-01-17T22:13:03Z,,
PAY-0167,ORD-167,pay_000167axkkkkk,299.0,UPI,CAPTURED,,2025-01-18T00:32:31Z,,
PAY-0168,ORD-168,pay_000168axkkkkk,457.56,CARD,CAPTURED,,2025-01-18T06:46:36Z,,
PAY-0169,ORD-169,pay_000169axkkkkkkkkkk,1623.13,CARD,CAPTURED,,2025-01-18T04:32:10Z,,
PAY-0170,ORD-170,pay_000170axkkkkkkkk,299.0,CARD,CAPTURED,,2025-01-18T12:01:15Z,,
PAY-0171,ORD-171,pay_000171axkkkk,2427.91,CARD,CAPTURED,,2025-01-18T13:03:11Z,,
PAY-0172,ORD-172,pay_000172axkkkkkk,415.7,CARD,CAPTURED,,2025-01-18T12:23:58Z,,
PAY-0173,ORD-173,pay_000173axkkkkkkkkk,1575.12,CARD,CAPTURED,,2025-01-18T15:56:01Z,,
PAY-0174,ORD-174,pay_000174axkkkkkkkkkk,691.35,CARD,CAPTURED,,2025-01-18T12:56:51Z,,
PAY-0175,ORD-175,pay_000175axkkkkkkkkkk,299.0,UPI,CAPTURED,,2025-01-18T17:45:11Z,,
PAY-0176,ORD-176,pay_000176axkkkkkkkkkk,3508.4,CARD,CAPTURED,,2025-01-18T19:45:19Z,,
PAY-0177,ORD-177,pay_000177axkkkkkk,2544.86,EMI,CAPTURED,,2025-01-18T23:39:14Z,,
PAY-0178,ORD-178,pay_000178axkkkkkkkkkk,3660.55,WALLET,CAPTURED,,2025-01-19T00:19:17Z,,
PAY-0179,ORD-179,pay_000179axkkkkkkk,2191.5,EMI,CAPTURED,,2025-01-19T02:58:30Z,,
PAY-0180,ORD-180,pay_000180axkkkkkkkkkk,330.43,UPI,CAPTURED,,2025-01-19T02:11:43Z,,
PAY-0181,ORD-181,pay_000181axkkkkkkkkkk,299.87,WALLET,CAPTURED,,2025-01-19T06:52:25Z,,
PAY-0182,ORD-182,pay_000182axkkkk,17112.73,UPI,CAPTURED,,2025-01-19T11:38:16Z,,
PAY-0183,ORD-183,pay_000183axkkkkkkkkk,829.96,CARD,CAPTURED,,2025-01-19T05:47:18Z,,
PAY-0184,ORD-184,pay_000184axkkkk,1376.44,NETBANKING,CAPTURED,,2025-01-19T13:41:26Z,,
PAY-0185,ORD-185,pay_000185axkkkkkkkkkk,3796.31,CARD,CAPTURED,,2025-01-19T15:48:23Z,,
PAY-0186,ORD-186,pay_000186axkkkkk,1153.56,CARD,CAPTURED,,2025-01-19T12:29:13Z,,
PAY-0187,ORD-187,pay_000187axkkkkkkk,1221.4,UPI,CAPTURED,,2025-01-19T19:16:50Z,,
PAY-0188,ORD-188,pay_000188axkkkkk,299.0,CARD,CAPTURED,,2025-01-19T19:52:39Z,,
PAY-0189,ORD-189,pay_000189axkkkkkkkk,2136.58,CARD,CAPTURED,,2025-01-19T23:55:21Z,,
PAY-0190,ORD-190,pay_000190axkkkkkkkkkk,1383.45,CARD,CAPTURED,,2025-01-19T21:10:52Z,,
PAY-0191,ORD-191,pay_000191axkkkkkkkk,1767.57,NETBANKING,CAPTURED,,2025-01-20T03:50:47Z,,
PAY-0192,ORD-192,pay_000192axkkkkkkkk,1061.49,CARD,CAPTURED,,2025-01-20T04:27:57Z,,
PAY-0193,ORD-193,pay_000193axkkkkkkkkkk,692.17,WALLET,CAPTURED,,2025-01-20T03:32:33Z,,
PAY-0194,ORD-194,pay_000194axkkkkkkkkk,597.27,UPI,CAPTURED,,2025-01-20T03:19:34Z,,
PAY-0195,ORD-195,pay_000195axkkkkkk,595.53,CARD,CAPTURED,,2025-01-20T07:04:48Z,,
PAY-0196,ORD-196,pay_000196axkkkkkk,565.93,EMI,CAPTURED,,2025-01-20T10:18:50Z,,
PAY-0197,ORD-197,pay_000197axkkkkkkkkk,5567.62,UPI,CAPTURED,,2025-01-20T09:29:38Z,,
PAY-0198,ORD-198,pay_000198axkkkkkkkkk,354.87,UPI,CAPTURED,,2025-01-20T14:16:56Z,,
PAY-0199,ORD-199,pay_000199axkkkkkk,981.13,UPI,CAPTURED,,2025-01-20T11:56:47Z,,
PAY-0200,ORD-200,pay_000200axkkkkkkk,6238.53,CARD,CAPTURED,,2025-01-20T20:28:15Z,,
PAY-0201,ORD-201,pay_000201axkkkkk,321.17,CARD,CAPTURED,,2025-01-20T23:42:05Z,,
PAY-0202,ORD-202,pay_000202axkkkkkkkkk,1839.35,UPI,CAPTURED,,2025-01-21T00:20:40Z,,
PAY-0203,ORD-203,pay_000203axkkkk,433.24,CARD,CAPTURED,,2025-01-20T22:05:21Z,,
PAY-0204,ORD-204,pay_000204axkkkkkk,364.58,CARD,CAPTURED,,2025-01-21T02:02:46Z,,
PAY-0205,ORD-205,pay_000205axkkkkkkkk,621.16,CARD,CAPTURED,,2025-01-21T06:24:23Z,,
PAY-0206,ORD-206,pay_000206axkkkkkkk,642.0,WALLET,CAPTURED,,2025-01-21T02:52:42Z,,
PAY-0207,ORD-207,pay_000207axkkkkkkkkkk,1129.96,CARD,CAPTURED,,2025-01-21T07:40:16Z,,
PAY-0208,ORD-208,pay_000208axkkkk,531.72,CARD,CAPTURED,,2025-01-21T06:07:59Z,,
PAY-0209,ORD-209,pay_000209axkkkkkkkkkk,6707.46,CARD,CAPTURED,,2025-01-21T14:51:10Z,,
PAY-0210,ORD-210,pay_000210axkkkkkkk,10718.16,EMI,CAPTURED,,2025-01-21T14:26:07Z,,
PAY-0211,ORD-211,pay_000211axkkkkkkkkk,299.0,CARD,CAPTURED,,2025-01-21T13:18:29Z,,
PAY-0212,ORD-212,pay_000212axkkkkkkkkk,371.15,CARD,CAPTURED,,2025-01-21T20:11:02Z,,
PAY-0213,ORD-213,pay_000213axkkkkkkkkk,857.35,CARD,CAPTURED,,2025-01-21T20:29:12Z,,
PAY-0214,ORD-214,pay_000214axkkkkk,1730.38,NETBANKING,CAPTURED,,2025-01-21T21:08:23Z,,
PAY-0215,ORD-215,pay_000215axkkkkkkk,941.47,UPI,CAPTURED,,2025-01-21T23:43:34Z,,
PAY-0216,ORD-216,pay_000216axkkkkkkkkk,3356.8,NETBANKING,CAPTURED,,2025-01-21T21:58:29Z,,
PAY-0217,ORD-217,pay_000217axkkkk,3448.38,UPI,CAPTURED,,2025-01-21T23:26:13Z,,
PAY-0218,ORD-218,pay_000218axkkkkkk,658.74,EMI,CAPTURED,,2025-01-22T03:20:49Z,,
PAY-0219,ORD-219,pay_000219axkkkkkk,1012.62,UPI,CAPTURED,,2025-01-22T08:54:55Z,,
PAY-0220,ORD-220,pay_000220axkkkkkkkkkk,1469.68,CARD,CAPTURED,,2025-01-22T05:19:35Z,,
PAY-0221,ORD-221,pay_000221axkkkkkkkkk,647.55,NETBANKING,CAPTURED,,2025-01-22T10:36:49Z,,
PAY-0222,ORD-222,pay_000222axkkkkk,3344.39,WALLET,CAPTURED,,2025-01-22T14:49:21Z,,
PAY-0223,ORD-223,pay_000223axkkkkkk,299.0,UPI,CAPTURED,,2025-01-22T14:28:38Z,,
PAY-0224,ORD-224,pay_000224axkkkkkkkkk,577.63,CARD,CAPTURED,,2025-01-22T11:24:10Z,,
PAY-0225,ORD-225,pay_000225axkkkkkkk,4049.31,UPI,CAPTURED,,2025-01-22T18:44:50Z,,
