refund_id,payment_id,order_id,gateway_refund_id,status,amount,refund_reason,processed_at
REF-0124,PAY-0124,ORD-124,rfnd_000124,PROCESSED,381.09,customer request,2025-01-17T13:57:01Z
REF-0126,PAY-0126,ORD-126,rfnd_000126,PROCESSED,493.16,customer request,2025-01-19T00:43:02Z
REF-0137,PAY-0137,ORD-137,rfnd_000137,PROCESSED,103.9,customer request,2025-01-20T16:58:41Z
REF-0144,PAY-0144,ORD-144,rfnd_000144,PROCESSED,624.94,customer request,2025-01-18T04:41:58Z
REF-0152,PAY-0152,ORD-152,rfnd_000152,PROCESSED,1135.45,customer request,2025-01-18T01:22:55Z
REF-0173,PAY-0173,ORD-173,rfnd_000173,PROCESSED,319.52,customer request,2025-01-21T15:52:01Z
REF-0176,PAY-0176,ORD-176,rfnd_000176,PROCESSED,1682.76,customer request,2025-01-22T19:36:19Z
REF-0182,PAY-0182,ORD-182,rfnd_000182,PROCESSED,4857.28,customer request,2025-01-21T11:21:16Z
REF-0186,PAY-0186,ORD-186,rfnd_000186,PROCESSED,398.39,customer request,2025-01-24T12:09:13Z
REF-0191,PAY-0191,ORD-191,rfnd_000191,PROCESSED,442.63,customer request,2025-01-24T03:35:47Z
REF-0201,PAY-0201,ORD-201,rfnd_000201,PROCESSED,75.38,customer request,2025-01-21T23:33:05Z
REF-0224,PAY-0224,ORD-224,rfnd_000224,PROCESSED,194.81,customer request,2025-01-24T11:14:10Z
REF-0238,PAY-0238,ORD-238,rfnd_000238,PROCESSED,324.12,customer request,2025-01-24T21:47:36Z
REF-0244,PAY-0244,ORD-244,rfnd_000244,PROCESSED,76.38,customer request,2025-01-25T08:37:00Z
REF-0258,PAY-0258,ORD-258,rfnd_000258,PROCESSED,399.29,customer request,2025-01-27T09:16:51Z
REF-0264,PAY-0264,ORD-264,rfnd_000264,PROCESSED,166.35,customer request,2025-01-27T21:25:34Z
REF-0269,PAY-0269,ORD-269,rfnd_000269,PROCESSED,105.22,customer request,2025-01-29T06:45:00Z
REF-0271,PAY-0271,ORD-271,rfnd_000271,PROCESSED,361.16,customer request,2025-01-27T07:49:52Z
REF-0278,PAY-0278,ORD-278,rfnd_000278,PROCESSED,571.31,customer request,2025-01-28T18:18:01Z
REF-0290,PAY-0290,ORD-290,rfnd_000290,PROCESSED,423.37,customer request,2025-01-29T17:01:41Z
REF-0295,PAY-0295,ORD-295,rfnd_000295,PROCESSED,389.11,customer request,2025-01-30T04:59:22Z
REF-0299,PAY-0299,ORD-299,rfnd_000299,PROCESSED,193.59,customer request,2025-02-01T12:06:29Z
REF-0301,PAY-0301,ORD-301,rfnd_000301,PROCESSED,2072.39,customer request,2025-01-29T17:47:15Z
REF-0316,PAY-0316,ORD-316,rfnd_000316,PROCESSED,1629.04,customer request,2025-02-02T18:43:12Z
REF-0326,PAY-0326,ORD-326,rfnd_000326,PROCESSED,148.98,customer request,2025-02-01T18:56:44Z
REF-0363,PAY-0363,ORD-363,rfnd_000363,PROCESSED,223.12,customer request,2025-02-04T18:45:50Z
REF-0381,PAY-0381,ORD-381,rfnd_000381,PROCESSED,6440.22,customer request,2025-02-04T23:47:51Z
REF-0382,PAY-0382,ORD-382,rfnd_000382,PROCESSED,121.46,customer request,2025-02-06T02:56:57Z
REF-0385,PAY-0385,ORD-385,rfnd_000385,PROCESSED,896.0,customer request,2025-02-08T11:55:23Z
REF-0388,PAY-0388,ORD-388,rfnd_000388,PROCESSED,319.96,customer request,2025-02-05T17:01:31Z
REF-0392,PAY-0392,ORD-392,rfnd_000392,PROCESSED,121.88,customer request,2025-02-09T20:46:43Z
REF-0399,PAY-0399,ORD-399,rfnd_000399,PROCESSED,100.2,customer request,2025-02-08T14:10:17Z
REF-0405,PAY-0405,ORD-405,rfnd_000405,PROCESSED,420.75,customer request,2025-02-07T23:19:39Z
REF-0443,PAY-0443,ORD-443,rfnd_000443,PROCESSED,141.68,customer request,2025-02-11T20:03:43Z
REF-0450,PAY-0450,ORD-450,rfnd_000450,PROCESSED,827.53,customer request,2025-02-14T08:48:59Z
REF-0451,PAY-0451,ORD-451,rfnd_000451,PROCESSED,2769.64,customer request,2025-02-10T10:08:19Z
REF-0465,PAY-0465,ORD-465,rfnd_000465,PROCESSED,4200.97,customer request,2025-02-11T15:59:16Z
REF-0474,PAY-0474,ORD-474,rfnd_000474,PROCESSED,901.32,customer request,2025-02-14T13:03:07Z
REF-0483,PAY-0483,ORD-483,rfnd_000483,PROCESSED,679.22,customer request,2025-02-15T23:43:46Z
REF-0499,PAY-0499,ORD-499,rfnd_000499,PROCESSED,391.12,customer request,2025-02-16T11:24:38Z
REF-0502,PAY-0502,ORD-502,rfnd_000502,PROCESSED,823.12,customer request,2025-02-14T13:14:58Z
REF-0510,PAY-0510,ORD-510,rfnd_000510,PROCESSED,98.0,customer request,2025-02-17T05:53:07Z
REF-0518,PAY-0518,ORD-518,rfnd_000518,PROCESSED,121.17,customer request,2025-02-18T23:00:43Z
REF-0538,PAY-0538,ORD-538,rfnd_000538,PROCESSED,262.88,customer request,2025-02-21T08:31:08Z
REF-0550,PAY-0550,ORD-550,rfnd_000550,PROCESSED,1023.39,customer request,2025-02-19T08:13:01Z
REF-0568,PAY-0568,ORD-568,rfnd_000568,PROCESSED,407.47,customer request,2025-02-19T16:20:01Z
REF-0586,PAY-0586,ORD-586,rfnd_000586,PROCESSED,279.71,customer request,2025-02-24T10:12:31Z
REF-0591,PAY-0591,ORD-591,rfnd_000591,PROCESSED,104.1,customer request,2025-02-21T13:34:34Z
REF-0614,PAY-0614,ORD-614,rfnd_000614,PROCESSED,299.11,customer request,2025-02-25T11:02:57Z
REF-0629,PAY-0629,ORD-629,rfnd_000629,PROCESSED,918.14,customer request,2025-02-25T15:50:06Z
REF-0632,PAY-0632,ORD-632,rfnd_000632,PROCESSED,294.6,customer request,2025-02-27T00:43:53Z
REF-0639,PAY-0639,ORD-639,rfnd_000639,PROCESSED,469.76,customer request,2025-02-28T12:06:24Z
REF-0642,PAY-0642,ORD-642,rfnd_000642,PROCESSED,133.18,customer request,2025-02-26T12:57:23Z
REF-0656,PAY-0656,ORD-656,rfnd_000656,PROCESSED,135.47,customer request,2025-03-02T19:02:55Z
REF-0658,PAY-0658,ORD-658,rfnd_000658,PROCESSED,1347.78,customer request,2025-03-01T00:57:53Z
REF-0669,PAY-0669,ORD-669,rfnd_000669,PROCESSED,1440.19,customer request,2025-03-02T21:51:56Z
REF-0674,PAY-0674,ORD-674,rfnd_000674,PROCESSED,621.98,customer request,2025-03-04T03:58:35Z
REF-0680,PAY-0680,ORD-680,rfnd_000680,PROCESSED,1034.33,customer request,2025-03-04T16:07:24Z
REF-0686,PAY-0686,ORD-686,rfnd_000686,PROCESSED,696.81,customer request,2025-03-03T02:47:57Z
REF-0694,PAY-0694,ORD-694,rfnd_000694,PROCESSED,746.29,customer request,2025-03-05T19:09:21Z
REF-0700,PAY-0700,ORD-700,rfnd_000700,PROCESSED,75.12,customer request,2025-03-06T06:51:46Z
REF-0702,PAY-0702,ORD-702,rfnd_000702,PROCESSED,463.14,customer request,2025-03-05T10:27:03Z
REF-0703,PAY-0703,ORD-703,rfnd_000703,PROCESSED,862.05,customer request,2025-03-05T14:28:25Z
REF-0704,PAY-0704,ORD-704,rfnd_000704,PROCESSED,177.52,customer request,2025-03-02T12:10:02Z
REF-0707,PAY-0707,ORD-707,rfnd_000707,PROCESSED,1269.37,customer request,2025-03-03T23:08:26Z
REF-0712,PAY-0712,ORD-712,rfnd_000712,PROCESSED,1666.47,customer request,2025-03-05T02:10:37Z
REF-0717,PAY-0717,ORD-717,rfnd_000717,PROCESSED,104.49,customer request,2025-03-03T16:31:52Z
REF-0738,PAY-0738,ORD-738,rfnd_000738,PROCESSED,304.1,customer request,2025-03-09T06:31:22Z
REF-0740,PAY-0740,ORD-740,rfnd_000740,PROCESSED,566.25,customer request,2025-03-07T11:47:10Z
REF-0742,PAY-0742,ORD-742,rfnd_000742,PROCESSED,1197.64,customer request,2025-03-09T16:52:50Z
REF-0747,PAY-0747,ORD-747,rfnd_000747,PROCESSED,424.97,customer request,2025-03-05T22:03:08Z
REF-0755,PAY-0755,ORD-755,rfnd_000755,PROCESSED,428.23,customer request,2025-03-06T11:59:06Z
REF-0757,PAY-0757,ORD-757,rfnd_000757,PROCESSED,81.16,customer request,2025-03-06T18:40:49Z
REF-0759,PAY-0759,ORD-759,rfnd_000759,PROCESSED,455.81,customer request,2025-03-06T20:12:26Z
REF-0773,PAY-0773,ORD-773,rfnd_000773,PROCESSED,1677.26,customer request,2025-03-10T03:15:12Z
REF-0786,PAY-0786,ORD-786,rfnd_000786,PROCESSED,131.52,customer request,2025-03-11T02:50:11Z
REF-0789,PAY-0789,ORD-789,rfnd_000789,PROCESSED,3185.57,customer request,2025-03-13T10:18:44Z
REF-0793,PAY-0793,ORD-793,rfnd_000793,PROCESSED,79.34,customer request,2025-03-09T13:29:39Z
REF-0798,PAY-0798,ORD-798,rfnd_000798,PROCESSED,155.55,customer request,2025-03-09T23:08:54Z
REF-0802,PAY-0802,ORD-802,rfnd_000802,PROCESSED,3175.56,customer request,2025-03-10T08:37:37Z
REF-0816,PAY-0816,ORD-816,rfnd_000816,PROCESSED,268.39,customer request,2025-03-15T08:02:46Z
REF-0825,PAY-0825,ORD-825,rfnd_000825,PROCESSED,20175.58,customer request,2025-03-13T03:38:38Z
REF-0835,PAY-0835,ORD-835,rfnd_000835,PROCESSED,1932.21,customer request,2025-03-16T22:23:30Z
REF-0861,PAY-0861,ORD-861,rfnd_000861,PROCESSED,817.92,customer request,2025-03-14T22:11:21Z
REF-0869,PAY-0869,ORD-869,rfnd_000869,PROCESSED,428.81,customer request,2025-03-16T17:33:25Z
REF-0872,PAY-0872,ORD-872,rfnd_000872,PROCESSED,121.51,customer request,2025-03-19T23:39:37Z
REF-0877,PAY-0877,ORD-877,rfnd_000877,PROCESSED,223.42,customer request,2025-03-18T08:13:20Z
REF-0889,PAY-0889,ORD-889,rfnd_000889,PROCESSED,1074.2,customer request,2025-03-17T09:13:24Z
REF-0898,PAY-0898,ORD-898,rfnd_000898,PROCESSED,152.14,customer request,2025-03-19T21:23:21Z
REF-0906,PAY-0906,ORD-906,rfnd_000906,PROCESSED,563.13,customer request,2025-03-21T11:53:37Z
REF-0925,PAY-0925,ORD-925,rfnd_000925,PROCESSED,1023.69,customer request,2025-03-20T05:17:46Z
REF-0929,PAY-0929,ORD-929,rfnd_000929,PROCESSED,75.11,customer request,2025-03-24T07:25:13Z
REF-0939,PAY-0939,ORD-939,rfnd_000939,PROCESSED,102.0,customer request,2025-03-21T07:12:30Z
REF-0952,PAY-0952,ORD-952,rfnd_000952,PROCESSED,2009.24,customer request,2025-03-22T06:10:05Z
REF-0963,PAY-0963,ORD-963,rfnd_000963,PROCESSED,120.57,customer request,2025-03-26T04:03:50Z
REF-0964,PAY-0964,ORD-964,rfnd_000964,PROCESSED,564.39,customer request,2025-03-25T07:14:08Z
REF-0971,PAY-0971,ORD-971,rfnd_000971,PROCESSED,376.65,customer request,2025-03-23T20:42:01Z
REF-0996,PAY-0996,ORD-996,rfnd_000996,PROCESSED,469.19,customer request,2025-03-26T15:42:18Z
REF-0999,PAY-0999,ORD-999,rfnd_000999,PROCESSED,222.42,customer request,2025-03-26T22:17:11Z
REF-1000,PAY-1000,ORD-1000,rfnd_001000,PROCESSED,141.44,customer request,2025-03-28T02:26:17Z
