order_id,order_number,customer_id,net_amount,status,placed_at,gateway_order_id,source
ORD-94,#1094,CUS-0111,524.92,PAID,,order_000094,
ORD-95,#1095,CUS-0107,673.11,PAID,,order_000095,
ORD-96,#1096,CUS-0245,10810.38,PAID,,order_000096,
ORD-97,#1097,CUS-0151,1540.37,PAID,,order_000097,
ORD-98,#1098,CUS-0224,1453.94,PAID,,order_000098,
ORD-99,#1099,CUS-0055,630.22,PAID,,order_000099,
ORD-100,#1100,CUS-0095,2198.32,PAID,,order_000100,
ORD-101,#1101,CUS-0250,2159.58,PAID,,order_000101,
ORD-102,#1102,CUS-0156,2473.01,PAID,,order_000102,
ORD-103,#1103,CUS-0180,3544.27,PAID,,order_000103,
ORD-104,#1104,CUS-0037,893.19,PAID,,order_000104,
ORD-105,#1105,CUS-0008,454.23,PAID,,order_000105,
ORD-106,#1106,CUS-0095,3485.26,PAID,,order_000106,
ORD-107,#1107,CUS-0014,920.72,PAID,,order_000107,
ORD-108,#1108,CUS-0107,324.68,PAID,,order_000108,
ORD-109,#1109,CUS-0174,1179.94,PAID,,order_000109,
ORD-110,#1110,CUS-0154,698.94,PAID,,order_000110,
ORD-111,#1111,CUS-0066,428.61,PAID,,order_000111,
ORD-112,#1112,CUS-0129,1757.72,PAID,,order_000112,
ORD-113,#1113,CUS-0190,1016.83,PAID,,order_000113,
ORD-114,#1114,CUS-0110,2103.02,PAID,,order_000114,
ORD-115,#1115,CUS-0006,872.61,PAID,,order_000115,
ORD-116,#1116,CUS-0112,357.25,PAID,,order_000116,
ORD-117,#1117,CUS-0102,1942.76,PAID,,order_000117,
ORD-118,#1118,CUS-0020,299.0,PAID,,order_000118,
ORD-119,#1119,CUS-0090,2312.53,PAID,,order_000119,
ORD-120,#1120,CUS-0051,4288.54,PAID,,order_000120,
ORD-121,#1121,CUS-0198,947.88,PAID,,order_000121,
ORD-122,#1122,CUS-0175,1512.62,PAID,,order_000122,
ORD-123,#1123,CUS-0222,609.05,PAID,,order_000123,
ORD-124,#1124,CUS-0162,1418.24,PAID,,order_000124,
ORD-125,#1125,CUS-0119,5798.86,PAID,,order_000125,
ORD-126,#1126,CUS-0119,1289.58,PAID,,order_000126,
ORD-127,#1127,CUS-0129,686.49,PAID,,order_000127,
ORD-128,#1128,CUS-0183,502.2,PAID,,order_000128,
ORD-129,#1129,CUS-0113,1501.19,PAID,,order_000129,
ORD-130,#1130,CUS-0100,1545.53,PAID,,order_000130,
ORD-131,#1131,CUS-0086,1304.1,PAID,,order_000131,
ORD-132,#1132,CUS-0219,535.76,PAID,,order_000132,
ORD-133,#1133,CUS-0090,1980.4,PAID,,order_000133,
ORD-134,#1134,CUS-0241,378.73,PAID,,order_000134,
ORD-135,#1135,CUS-0172,2054.44,ABANDONED,,order_000135,
ORD-136,#1136,CUS-0080,325.03,PAID,,order_000136,
ORD-137,#1137,CUS-0036,312.57,PAID,,order_000137,
ORD-138,#1138,CUS-0097,2143.47,PAID,,order_000138,
ORD-139,#1139,CUS-0106,469.85,PAID,,order_000139,
ORD-140,#1140,CUS-0192,585.99,PAID,,order_000140,
ORD-141,#1141,CUS-0201,2858.22,PAID,,order_000141,
ORD-142,#1142,CUS-0113,582.38,PAID,,order_000142,
ORD-143,#1143,CUS-0248,2065.01,PAID,,order_000143,
ORD-144,#1144,CUS-0165,2415.57,PAID,,order_000144,
ORD-145,#1145,CUS-0022,355.6,PAID,,order_000145,
ORD-146,#1146,CUS-0057,853.27,PAID,,order_000146,
ORD-147,#1147,CUS-0099,872.37,PAID,,order_000147,
ORD-148,#1148,CUS-0215,777.15,PAID,,order_000148,
ORD-149,#1149,CUS-0235,1657.67,PAID,,order_000149,
ORD-150,#1150,CUS-0115,602.34,PAID,,order_000150,
ORD-151,#1151,CUS-0156,411.27,PAID,,order_000151,
ORD-152,#1152,CUS-0013,2916.75,PAID,,order_000152,
ORD-153,#1153,CUS-0232,1312.28,PAID,,order_000153,
ORD-154,#1154,CUS-0184,1286.51,PAID,,order_000154,
ORD-155,#1155,CUS-0135,299.0,PAID,,order_000155,
ORD-156,#1156,CUS-0130,757.98,PAID,,order_000156,
ORD-157,#1157,CUS-0096,834.64,PAID,,order_000157,
ORD-158,#1158,CUS-0169,6973.45,PAID,,order_000158,
ORD-159,#1159,CUS-0012,2181.25,PAID,,order_000159,
ORD-160,#1160,CUS-0119,1049.19,PAID,,order_000160,
ORD-161,#1161,CUS-0184,987.5,PAID,,order_000161,
ORD-162,#1162,CUS-0052,679.67,PAID,,order_000162,
ORD-163,#1163,CUS-0209,299.0,PAID,,order_000163,
ORD-164,#1164,CUS-0092,299.0,PAID,,order_000164,
ORD-165,#1165,CUS-0103,3505.32,PAID,,order_000165,
ORD-166,#1166,CUS-0128,338.42,PAID,,order_000166,
ORD-167,#1167,CUS-0022,299.0,PAID,,order_000167,
ORD-168,#1168,CUS-0140,457.56,PAID,,order_000168,
ORD-169,#1169,CUS-0177,1623.13,PAID,,order_000169,
ORD-170,#1170,CUS-0174,299.0,PAID,,order_000170,
ORD-171,#1171,CUS-0009,2427.91,PAID,,order_000171,
ORD-172,#1172,CUS-0146,415.7,PAID,,order_000172,
ORD-173,#1173,CUS-0136,1575.12,PAID,,order_000173,
ORD-174,#1174,CUS-0189,691.35,PAID,,order_000174,
ORD-175,#1175,CUS-0067,299.0,PAID,,order_000175,
ORD-176,#1176,CUS-0126,3508.4,PAID,,order_000176,
ORD-177,#1177,CUS-0114,2544.86,PAID,,order_000177,
ORD-178,#1178,CUS-0077,3660.55,PAID,,order_000178,
ORD-179,#1179,CUS-0032,2191.5,PAID,,order_000179,
ORD-180,#1180,CUS-0093,330.43,PAID,,order_000180,
ORD-181,#1181,CUS-0157,299.87,PAID,,order_000181,
ORD-182,#1182,CUS-0123,17112.73,PAID,,order_000182,
ORD-183,#1183,CUS-0249,829.96,PAID,,order_000183,
ORD-184,#1184,CUS-0225,1376.44,PAID,,order_000184,
ORD-185,#1185,CUS-0034,3796.31,PAID,,order_000185,
ORD-186,#1186,CUS-0042,1153.56,PAID,,order_000186,
ORD-187,#1187,CUS-0051,1221.4,PAID,,order_000187,
ORD-188,#1188,CUS-0137,299.0,PAID,,order_000188,
ORD-189,#1189,CUS-0155,2136.58,PAID,,order_000189,
ORD-190,#1190,CUS-0147,1383.45,PAID,,order_000190,
ORD-191,#1191,CUS-0063,1767.57,PAID,,order_000191,
ORD-192,#1192,CUS-0016,1061.49,PAID,,order_000192,
ORD-193,#1193,CUS-0081,692.17,PAID,,order_000193,
ORD-194,#1194,CUS-0132,597.27,PAID,,order_000194,
ORD-195,#1195,CUS-0064,595.53,PAID,,order_000195,
ORD-196,#1196,CUS-0064,565.93,PAID,,order_000196,
ORD-197,#1197,CUS-0120,5567.62,PAID,,order_000197,
ORD-198,#1198,CUS-0056,354.87,PAID,,order_000198,
ORD-199,#1199,CUS-0216,981.13,PAID,,order_000199,
ORD-200,#1200,CUS-0111,6238.53,PAID,,order_000200,
ORD-201,#1201,CUS-0103,321.17,PAID,,order_000201,
ORD-202,#1202,CUS-0130,1839.35,PAID,,order_000202,
ORD-203,#1203,CUS-0157,433.24,PAID,,order_000203,
ORD-204,#1204,CUS-0241,364.58,PAID,,order_000204,
ORD-205,#1205,CUS-0012,621.16,PAID,,order_000205,
ORD-206,#1206,CUS-0156,642.0,PAID,,order_000206,
ORD-207,#1207,CUS-0216,1129.96,PAID,,order_000207,
ORD-208,#1208,CUS-0145,531.72,PAID,,order_000208,
ORD-209,#1209,CUS-0150,6707.46,PAID,,order_000209,
ORD-210,#1210,CUS-0068,10718.16,PAID,,order_000210,
ORD-211,#1211,CUS-0185,299.0,PAID,,order_000211,
ORD-212,#1212,CUS-0216,371.15,PAID,,order_000212,
ORD-213,#1213,CUS-0049,857.35,PAID,,order_000213,
ORD-214,#1214,CUS-0129,1730.38,PAID,,order_000214,
ORD-215,#1215,CUS-0054,941.47,PAID,,order_000215,
ORD-216,#1216,CUS-0174,3356.8,PAID,,order_000216,
ORD-217,#1217,CUS-0157,3448.38,PAID,,order_000217,
ORD-218,#1218,CUS-0242,658.74,PAID,,order_000218,
ORD-219,#1219,CUS-0181,1012.62,PAID,,order_000219,
ORD-220,#1220,CUS-0185,1469.68,PAID,,order_000220,
ORD-221,#1221,CUS-0102,647.55,PAID,,order_000221,
ORD-222,#1222,CUS-0089,3344.39,PAID,,order_000222,
ORD-223,#1223,CUS-0212,299.0,PAID,,order_000223,
ORD-224,#1224,CUS-0063,577.63,PAID,,order_000224,
ORD-225,#1225,CUS-0085,4049.31,PAID,,order_000225,
ORD-226,#1226,CUS-0225,3340.9,PAID,,order_000226,
ORD-227,#1227,CUS-0074,1466.06,PAID,,order_000227,
ORD-228,#1228,CUS-0240,442.41,PAID,,order_000228,
ORD-229,#1229,CUS-0010,761.56,PAID,,order_000229,
ORD-230,#1230,CUS-0247,741.79,PAID,,order_000230,
ORD-231,#1231,CUS-0155,1283.29,PAID,,order_000231,
ORD-232,#1232,CUS-0218,299.0,PAID,,order_000232,
ORD-233,#1233,CUS-0188,642.77,PAID,,order_000233,
ORD-234,#1234,CUS-0203,1929.77,PAID,,order_000234,
ORD-235,#1235,CUS-0230,1133.66,PAID,,order_000235,
ORD-236,#1236,CUS-0048,584.19,ABANDONED,,order_000236,
ORD-237,#1237,CUS-0099,3549.94,PAID,,order_000237,
ORD-238,#1238,CUS-0003,1592.88,PAID,,order_000238,
ORD-239,#1239,CUS-0079,1148.66,PAID,,order_000239,
ORD-240,#1240,CUS-0080,809.84,PAID,,order_000240,
ORD-241,#1241,CUS-0123,4486.58,PAID,,order_000241,
ORD-242,#1242,CUS-0234,1345.14,PAID,,order_000242,
ORD-243,#1243,CUS-0064,2476.9,PAID,,order_000243,
ORD-244,#1244,CUS-0136,299.0,PAID,,order_000244,
ORD-245,#1245,CUS-0141,345.56,PAID,,order_000245,
ORD-246,#1246,CUS-0219,460.87,PAID,,order_000246,
ORD-247,#1247,CUS-0024,991.36,PAID,,order_000247,
ORD-248,#1248,CUS-0107,299.0,PAID,,order_000248,
ORD-249,#1249,CUS-0186,10358.33,PAID,,order_000249,
ORD-250,#1250,CUS-0012,540.51,PAID,,order_000250,
ORD-251,#1251,CUS-0187,299.0,PAID,,order_000251,
ORD-252,#1252,CUS-0097,2395.24,PAID,,order_000252,
ORD-253,#1253,CUS-0031,882.11,PAID,,order_000253,
ORD-254,#1254,CUS-0214,5475.94,PAID,,order_000254,
ORD-255,#1255,CUS-0109,2385.41,PAID,,order_000255,
ORD-256,#1256,CUS-0071,2327.23,PAID,,order_000256,
ORD-257,#1257,CUS-0228,299.0,PAID,,order_000257,
ORD-258,#1258,CUS-0173,874.05,PAID,,order_000258,
ORD-259,#1259,CUS-0222,1521.63,PAID,,order_000259,
ORD-260,#1260,CUS-0210,1174.2,PAID,,order_000260,
ORD-261,#1261,CUS-0143,1634.81,PAID,,order_000261,
ORD-262,#1262,CUS-0249,4647.07,PAID,,order_000262,
ORD-263,#1263,CUS-0107,444.49,PAID,,order_000263,
ORD-264,#1264,CUS-0218,333.63,PAID,,order_000264,
ORD-265,#1265,CUS-0106,1239.22,PAID,,order_000265,
ORD-266,#1266,CUS-0053,513.33,PAID,,order_000266,
ORD-267,#1267,CUS-0155,299.0,PAID,,order_000267,
ORD-268,#1268,CUS-0144,2983.39,PAID,,order_000268,
ORD-269,#1269,CUS-0004,340.7,PAID,,order_000269,
ORD-270,#1270,CUS-0235,2451.31,PAID,,order_000270,
ORD-271,#1271,CUS-0092,1151.69,PAID,,order_000271,
ORD-272,#1272,CUS-0185,739.28,PAID,,order_000272,
ORD-273,#1273,CUS-0057,1888.78,PAID,,order_000273,
ORD-274,#1274,CUS-0051,1299.5,PAID,,order_000274,
ORD-275,#1275,CUS-0242,299.0,PAID,,order_000275,
ORD-276,#1276,CUS-0165,844.74,PAID,,order_000276,
ORD-277,#1277,CUS-0036,853.89,PAID,,order_000277,
ORD-278,#1278,CUS-0165,1438.1,PAID,,order_000278,
ORD-279,#1279,CUS-0210,2473.51,PAID,,order_000279,
ORD-280,#1280,CUS-0060,605.11,PAID,,order_000280,
ORD-281,#1281,CUS-0158,1213.95,ABANDONED,,order_000281,
ORD-282,#1282,CUS-0185,5543.45,PAID,,order_000282,
ORD-283,#1283,CUS-0028,1165.54,PAID,,order_000283,
ORD-284,#1284,CUS-0065,549.02,PAID,,order_000284,
ORD-285,#1285,CUS-0104,299.0,PAID,,order_000285,
ORD-286,#1286,CUS-0212,7756.25,PAID,,order_000286,
ORD-287,#1287,CUS-0024,1216.39,ABANDONED,,order_000287,
ORD-288,#1288,CUS-0044,1625.21,PAID,,order_000288,
ORD-289,#1289,CUS-0250,2931.63,PAID,,order_000289,
ORD-290,#1290,CUS-0178,1050.25,PAID,,order_000290,
ORD-291,#1291,CUS-0237,1238.13,PAID,,order_000291,
ORD-292,#1292,CUS-0081,2071.21,PAID,,order_000292,
ORD-293,#1293,CUS-0102,480.04,PAID,,order_000293,
ORD-294,#1294,CUS-0218,318.24,PAID,,order_000294,
ORD-295,#1295,CUS-0177,1162.92,PAID,,order_000295,
ORD-296,#1296,CUS-0112,317.35,PAID,,order_000296,
ORD-297,#1297,CUS-0102,467.91,PAID,,order_000297,
ORD-298,#1298,CUS-0116,749.79,PAID,,order_000298,
ORD-299,#1299,CUS-0022,674.48,PAID,,order_000299,
ORD-300,#1300,CUS-0069,2013.69,PAID,,order_000300,
ORD-301,#1301,CUS-0093,4628.79,PAID,,order_000301,
ORD-302,#1302,CUS-0027,830.83,PAID,,order_000302,
ORD-303,#1303,CUS-0027,1401.6,PAID,,order_000303,
ORD-304,#1304,CUS-0222,544.58,PAID,,order_000304,
ORD-305,#1305,CUS-0144,420.72,PAID,,order_000305,
ORD-306,#1306,CUS-0078,299.0,PAID,,order_000306,
ORD-307,#1307,CUS-0124,2421.77,PAID,,order_000307,
ORD-308,#1308,CUS-0118,299.0,PAID,,order_000308,
ORD-309,#1309,CUS-0098,693.34,PAID,,order_000309,
ORD-310,#1310,CUS-0221,1402.65,PAID,,order_000310,
ORD-311,#1311,CUS-0178,419.1,PAID,,order_000311,
ORD-312,#1312,CUS-0189,1058.78,PAID,,order_000312,
ORD-313,#1313,CUS-0097,299.0,PAID,,order_000313,
ORD-314,#1314,CUS-0187,2146.21,PAID,,order_000314,
ORD-315,#1315,CUS-0178,1579.76,PAID,,order_000315,
ORD-316,#1316,CUS-0065,6913.31,PAID,,order_000316,
ORD-317,#1317,CUS-0154,765.8,PAID,,order_000317,
ORD-318,#1318,CUS-0178,2491.67,PAID,,order_000318,
ORD-319,#1319,CUS-0138,299.0,PAID,,order_000319,
ORD-320,#1320,CUS-0157,1873.43,PAID,,order_000320,
ORD-321,#1321,CUS-0248,299.0,PAID,,order_000321,
ORD-322,#1322,CUS-0177,936.97,PAID,,order_000322,
ORD-323,#1323,CUS-0151,1052.6,PAID,,order_000323,
ORD-324,#1324,CUS-0022,430.55,PAID,,order_000324,
ORD-325,#1325,CUS-0053,812.61,PAID,,order_000325,
ORD-326,#1326,CUS-0116,299.0,PAID,,order_000326,
ORD-327,#1327,CUS-0205,629.1,PAID,,order_000327,
ORD-328,#1328,CUS-0144,488.44,PAID,,order_000328,
ORD-329,#1329,CUS-0164,537.45,PAID,,order_000329,
ORD-330,#1330,CUS-0116,558.3,PAID,,order_000330,
ORD-331,#1331,CUS-0193,3884.01,PAID,,order_000331,
ORD-332,#1332,CUS-0138,594.21,PAID,,order_000332,
ORD-333,#1333,CUS-0126,2048.37,PAID,,order_000333,
ORD-334,#1334,CUS-0151,5594.98,PAID,,order_000334,
ORD-335,#1335,CUS-0181,6927.62,PAID,,order_000335,
ORD-336,#1336,CUS-0081,365.79,PAID,,order_000336,
ORD-337,#1337,CUS-0100,1389.38,PAID,,order_000337,
ORD-338,#1338,CUS-0138,1335.26,PAID,,order_000338,
ORD-339,#1339,CUS-0081,5445.47,PAID,,order_000339,
ORD-340,#1340,CUS-0125,5957.66,PAID,,order_000340,
ORD-341,#1341,CUS-0176,2172.63,PAID,,order_000341,
ORD-342,#1342,CUS-0145,656.29,PAID,,order_000342,
ORD-343,#1343,CUS-0044,1850.08,PAID,,order_000343,
ORD-344,#1344,CUS-0131,440.53,PAID,,order_000344,
ORD-345,#1345,CUS-0139,2095.91,PAID,,order_000345,
ORD-346,#1346,CUS-0116,2108.51,PAID,,order_000346,
ORD-347,#1347,CUS-0151,5835.83,PAID,,order_000347,
ORD-348,#1348,CUS-0158,1440.78,PAID,,order_000348,
ORD-349,#1349,CUS-0044,458.9,PAID,,order_000349,
ORD-350,#1350,CUS-0132,1571.88,PAID,,order_000350,
ORD-351,#1351,CUS-0202,299.0,PAID,,order_000351,
ORD-352,#1352,CUS-0195,878.09,PAID,,order_000352,
ORD-353,#1353,CUS-0161,2475.4,PAID,,order_000353,
ORD-354,#1354,CUS-0178,6978.56,PAID,,order_000354,
ORD-355,#1355,CUS-0118,11777.28,PAID,,order_000355,
ORD-356,#1356,CUS-0102,3502.12,PAID,,order_000356,
ORD-357,#1357,CUS-0073,4424.56,ABANDONED,,order_000357,
ORD-358,#1358,CUS-0238,1626.85,PAID,,order_000358,
ORD-359,#1359,CUS-0041,836.38,PAID,,order_000359,
ORD-360,#1360,CUS-0167,2511.83,PAID,,order_000360,
ORD-361,#1361,CUS-0110,1048.27,PAID,,order_000361,
ORD-362,#1362,CUS-0175,7551.59,PAID,,order_000362,
ORD-363,#1363,CUS-0109,1044.16,PAID,,order_000363,
ORD-364,#1364,CUS-0207,782.6,PAID,,order_000364,
ORD-365,#1365,CUS-0209,299.0,ABANDONED,,order_000365,
ORD-366,#1366,CUS-0167,3230.4,PAID,,order_000366,
ORD-367,#1367,CUS-0106,963.41,PAID,,order_000367,
ORD-368,#1368,CUS-0036,1429.4,PAID,,order_000368,
ORD-369,#1369,CUS-0081,306.33,PAID,,order_000369,
ORD-370,#1370,CUS-0154,2643.62,PAID,,order_000370,
ORD-371,#1371,CUS-0218,2578.83,PAID,,order_000371,
ORD-372,#1372,CUS-0049,745.1,PAID,,order_000372,
ORD-373,#1373,CUS-0245,299.0,PAID,,order_000373,
ORD-374,#1374,CUS-0136,299.0,PAID,,order_000374,
ORD-375,#1375,CUS-0100,1335.64,PAID,,order_000375,
ORD-376,#1376,CUS-0196,1290.31,PAID,,order_000376,
ORD-377,#1377,CUS-0237,1135.84,PAID,,order_000377,
ORD-378,#1378,CUS-0107,299.0,PAID,,order_000378,
ORD-379,#1379,CUS-0072,1128.47,PAID,,order_000379,
ORD-380,#1380,CUS-0138,4745.54,PAID,,order_000380,
ORD-381,#1381,CUS-0017,16334.57,PAID,,order_000381,
ORD-382,#1382,CUS-0023,299.0,PAID,,order_000382,
ORD-383,#1383,CUS-0171,1799.68,PAID,,order_000383,
ORD-384,#1384,CUS-0180,6086.44,PAID,,order_000384,
ORD-385,#1385,CUS-0185,2351.78,PAID,,order_000385,
ORD-386,#1386,CUS-0183,1735.42,PAID,,order_000386,
ORD-387,#1387,CUS-0015,1330.9,PAID,,order_000387,
ORD-388,#1388,CUS-0027,1568.07,PAID,,order_000388,
ORD-389,#1389,CUS-0001,460.34,PAID,,order_000389,
ORD-390,#1390,CUS-0039,3326.47,PAID,,order_000390,
ORD-391,#1391,CUS-0108,641.48,PAID,,order_000391,
ORD-392,#1392,CUS-0020,299.0,PAID,,order_000392,
ORD-393,#1393,CUS-0058,299.0,PAID,,order_000393,
ORD-394,#1394,CUS-0217,1211.32,PAID,,order_000394,
ORD-395,#1395,CUS-0145,1944.64,PAID,,order_000395,
ORD-396,#1396,CUS-0249,2025.15,PAID,,order_000396,
ORD-397,#1397,CUS-0195,2445.23,ABANDONED,,order_000397,
ORD-398,#1398,CUS-0086,469.73,PAID,,order_000398,
ORD-399,#1399,CUS-0053,434.67,PAID,,order_000399,
ORD-400,#1400,CUS-0037,4881.59,PAID,,order_000400,
ORD-401,#1401,CUS-0096,3191.4,PAID,,order_000401,
ORD-402,#1402,CUS-0164,299.0,PAID,,order_000402,
ORD-403,#1403,CUS-0247,586.72,PAID,,order_000403,
ORD-404,#1404,CUS-0180,620.89,PAID,,order_000404,
ORD-405,#1405,CUS-0242,963.56,PAID,,order_000405,
ORD-406,#1406,CUS-0092,513.73,PAID,,order_000406,
ORD-407,#1407,CUS-0031,333.21,PAID,,order_000407,
ORD-408,#1408,CUS-0056,781.91,PAID,,order_000408,
ORD-409,#1409,CUS-0092,1693.35,PAID,,order_000409,
ORD-410,#1410,CUS-0008,4635.64,PAID,,order_000410,
ORD-411,#1411,CUS-0025,2078.57,ABANDONED,,order_000411,
ORD-412,#1412,CUS-0213,589.47,PAID,,order_000412,
ORD-413,#1413,CUS-0176,2052.98,PAID,,order_000413,
ORD-414,#1414,CUS-0209,299.0,PAID,,order_000414,
ORD-415,#1415,CUS-0024,2672.04,PAID,,order_000415,
ORD-416,#1416,CUS-0119,710.62,PAID,,order_000416,
ORD-417,#1417,CUS-0098,519.33,PAID,,order_000417,
ORD-418,#1418,CUS-0072,574.46,PAID,,order_000418,
ORD-419,#1419,CUS-0141,330.1,PAID,,order_000419,
ORD-420,#1420,CUS-0165,1247.62,PAID,,order_000420,
ORD-421,#1421,CUS-0204,2429.47,PAID,,order_000421,
ORD-422,#1422,CUS-0125,1107.78,PAID,,order_000422,
ORD-423,#1423,CUS-0082,299.0,PAID,,order_000423,
ORD-424,#1424,CUS-0092,299.0,PAID,,order_000424,
ORD-425,#1425,CUS-0209,6719.99,PAID,,order_000425,
ORD-426,#1426,CUS-0148,2523.35,PAID,,order_000426,
ORD-427,#1427,CUS-0217,2599.43,PAID,,order_000427,
