bank_txn_id,utr,amount,value_date,direction,counterparty,description,source
BNK-0148-2,UTR00000148B,309.4,2025-01-20,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0149,UTR00000149,1643.51,2025-01-21,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0150,UTR00000150,599.5,2025-01-21,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0151,UTR00000151,409.32,2025-01-20,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0152,UTR00000152,1735.17,2025-01-21,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0153,UTR00000153,1306.09,2025-01-22,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0154,UTR00000154,1256.15,2025-01-21,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0155,UTR00000155,290.7,2025-01-22,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0156,UTR00000156,754.4,2025-01-21,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0158,UTR00000158,6940.54,2025-01-22,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0159,UTR00000159,2129.78,2025-01-21,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0160,UTR00000160,1020.09,2025-01-24,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0161,UTR00000161,574.96,2025-01-21,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0161-2,UTR00000161B,374.59,2025-01-21,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0162,UTR00000162,664.44,2025-01-21,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0163,UTR00000163,297.58,2025-01-25,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0164,UTR00000164,281.74,2025-01-21,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0165,UTR00000165,3488.78,2025-01-22,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0166,UTR00000166,336.83,2025-01-22,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0167,UTR00000167,297.58,2025-01-22,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0168,UTR00000168,441.31,2025-01-23,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0169,UTR00000169,1584.83,2025-01-23,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0170,UTR00000170,291.94,2025-01-22,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0171,UTR00000171,2370.61,2025-01-22,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0172,UTR00000172,405.89,2025-01-22,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0173,UTR00000173,1218.43,2025-01-22,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0174,UTR00000174,675.03,2025-01-22,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0175,UTR00000175,297.58,2025-01-23,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0176,UTR00000176,1742.84,2025-01-23,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0177,UTR00000177,2474.3,2025-01-23,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0178,UTR00000178,3558.29,2025-01-24,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0179,UTR00000179,2011.23,2025-01-23,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0180,UTR00000180,328.87,2025-01-23,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0181,UTR00000181,293.14,2025-01-23,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0182,UTR00000182,11894.06,2025-01-24,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0183,UTR00000183,810.37,2025-01-24,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0184,UTR00000184,1362.28,2025-01-23,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0185,UTR00000185,3706.71,2025-01-24,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0186,UTR00000186,735.92,2025-01-23,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0187,UTR00000187,1215.63,2025-01-24,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0189,UTR00000189,2086.16,2025-01-26,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0190,UTR00000190,1350.8,2025-01-24,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0191,UTR00000191,1313.79,2025-01-24,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0192,UTR00000192,1036.44,2025-01-24,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0193,UTR00000193,676.65,2025-01-24,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0194,UTR00000194,594.45,2025-01-24,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0195,UTR00000195,581.48,2025-01-25,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0197,UTR00000197,5541.34,2025-01-24,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0198,UTR00000198,353.19,2025-01-24,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0199,UTR00000199,976.5,2025-01-24,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0200,UTR00000200,6091.3,2025-01-25,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0201,UTR00000201,232.14,2025-01-24,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0202,UTR00000202,1830.67,2025-01-25,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0203,UTR00000203,423.02,2025-01-25,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0204,UTR00000204,355.98,2025-01-25,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0205,UTR00000205,606.5,2025-01-25,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0206,UTR00000206,627.6,2025-01-26,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0207,UTR00000207,1103.29,2025-01-25,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0208,UTR00000208,519.18,2025-01-26,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0209,UTR00000209,6419.57,2025-01-25,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0210,UTR00000210,10420.94,2025-01-26,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0211,UTR00000211,291.94,2025-01-26,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0212,UTR00000212,362.39,2025-01-26,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0213,UTR00000213,837.11,2025-01-29,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0214,UTR00000214,1716.22,2025-01-29,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0215,UTR00000215,937.02,2025-01-26,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0216,UTR00000216,3342.64,2025-01-25,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0217,UTR00000217,3432.11,2025-01-26,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0218,UTR00000218,640.47,2025-01-29,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0219,UTR00000219,1006.0,2025-01-27,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0220,UTR00000220,1435.0,2025-01-27,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0221,UTR00000221,633.39,2025-01-27,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0222,UTR00000222,3269.41,2025-01-30,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0223,UTR00000223,297.58,2025-01-26,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0224,UTR00000224,373.09,2025-01-26,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0225,UTR00000225,4030.19,2025-01-26,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0226,UTR00000226,3325.14,2025-01-26,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0227,UTR00000227,1459.15,2025-01-26,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0228,UTR00000228,431.97,2025-01-27,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0229,UTR00000229,740.44,2025-01-26,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0230,UTR00000230,725.16,2025-01-27,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0232,UTR00000232,297.58,2025-01-27,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0233,UTR00000233,639.74,2025-01-28,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0234,UTR00000234,1884.22,2025-01-28,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0235,UTR00000235,1106.91,2025-01-28,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0237,UTR00000237,3466.16,2025-01-28,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0239,UTR00000239,1121.56,2025-01-27,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0240,UTR00000240,806.02,2025-01-28,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0241,UTR00000241,4380.7,2025-01-27,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0242,UTR00000242,1338.79,2025-02-01,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0243,UTR00000243,2465.21,2025-01-28,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0244,UTR00000244,221.51,2025-01-29,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0245,UTR00000245,337.81,2025-02-01,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0246,UTR00000246,458.7,2025-01-28,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0247,UTR00000247,969.13,2025-01-31,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0248,UTR00000248,297.12,2025-01-28,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0249,UTR00000249,10113.87,2025-01-28,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0250,UTR00000250,527.75,2025-01-28,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0251,UTR00000251,297.58,2025-01-28,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0252,UTR00000252,2338.72,2025-01-29,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0253,UTR00000253,861.29,2025-01-28,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0254,UTR00000254,5346.71,2025-01-29,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0255,UTR00000255,2374.15,2025-01-30,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0256,UTR00000256,2272.31,2025-01-29,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0257,UTR00000257,291.94,2025-01-29,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0258,UTR00000258,470.63,2025-02-01,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0259,UTR00000259,1507.47,2025-01-30,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0260,UTR00000260,1146.49,2025-01-30,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0261,UTR00000261,1598.16,2025-01-30,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0262,UTR00000262,4537.4,2025-01-30,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0263,UTR00000263,434.0,2025-01-29,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0264,UTR00000264,162.74,2025-01-30,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0265,UTR00000265,1204.86,2025-02-01,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0266,UTR00000266,501.21,2025-01-31,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0267,UTR00000267,291.94,2025-01-29,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0268,UTR00000268,2806.79,2025-01-31,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0269,UTR00000269,227.44,2025-02-03,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0270,UTR00000270,2393.45,2025-01-31,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0271,UTR00000271,770.57,2025-01-30,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0272,UTR00000272,735.79,2025-01-31,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0273,UTR00000273,1876.41,2025-01-31,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0274,UTR00000274,1268.83,2025-01-30,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0275,UTR00000275,297.27,2025-01-30,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0276,UTR00000276,840.75,2025-01-31,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0277,UTR00000277,849.85,2025-01-30,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0278,UTR00000278,840.34,2025-01-31,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0279,UTR00000279,2461.84,2025-01-31,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0280,UTR00000280,584.84,2025-01-31,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0282,UTR00000282,5120.0,2025-02-01,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0283,UTR00000283,1139.4,2025-02-01,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0284,UTR00000284,534.86,2025-02-01,IN,RAZORPAY SOFTWARE PVT LTD,,
