ledger_id,case_id,order_id,source,amount,status,bank_reference,verification_id,approval_id,recorded_at
RLG-0033,CASE-0060,ORD-345,dispute,35.42,RECOVERED,RCV-CASE-0060,,,2026-09-05T07:13:34Z
RLG-0034,CASE-0069,ORD-428,dispute,22.2,RECOVERED,RCV-CASE-0069,,,2026-09-05T07:13:38Z
RLG-0035,CASE-0015,ORD-56,dispute,17.8,RECOVERED,RCV-CASE-0015,,,2026-09-05T07:13:44Z
RLG-0036,CASE-0076,ORD-465,dispute,16.81,RECOVERED,RCV-CASE-0076,,,2026-09-05T07:13:45Z
RLG-0037,CASE-0124,ORD-816,dispute,14.34,RECOVERED,RCV-CASE-0124,,,2026-09-05T07:13:46Z
RLG-0038,CASE-0105,ORD-686,dispute,13.94,RECOVERED,RCV-CASE-0105,,,2026-09-05T07:13:47Z
RLG-0039,CASE-0066,ORD-403,dispute,13.19,RECOVERED,RCV-CASE-0066,,,2026-09-05T07:13:49Z
RLG-0040,CASE-0034,ORD-164,dispute,10.56,RECOVERED,RCV-CASE-0034,,,2026-09-05T07:13:52Z
RLG-0041,CASE-0011,ORD-48,dispute,9.94,RECOVERED,RCV-CASE-0011,,,2026-09-05T07:13:53Z
RLG-0042,CASE-0110,ORD-718,dispute,8.86,RECOVERED,RCV-CASE-0110,,,2026-09-05T07:13:54Z
RLG-0043,CASE-0005,ORD-16,dispute,8.83,RECOVERED,RCV-CASE-0005,,,2026-09-05T07:13:54Z
RLG-0044,CASE-0142,ORD-939,dispute,6.49,RECOVERED,RCV-CASE-0142,,,2026-09-05T07:14:03Z
RLG-0045,CASE-0035,ORD-168,dispute,5.45,RECOVERED,RCV-CASE-0035,,,2026-09-05T07:14:08Z
RLG-0046,CASE-0135,ORD-877,dispute,4.47,RECOVERED,RCV-CASE-0135,,,2026-09-05T07:14:13Z
RLG-0047,CASE-0049,ORD-269,dispute,2.1,RECOVERED,RCV-CASE-0049,,,2026-09-05T07:14:24Z
