verification_id,action_id,case_id,status,check_type,expected_ref,observed_value,checked_at,notes
VER-0011,ACT-0023,CASE-0047,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0047,"{""recovered_amount"": 1237.65, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0047""}",2026-09-05T07:13:00Z,dispute status RESOLVED
VER-0012,ACT-0025,CASE-0081,FINANCIAL_EFFECT_DETECTED,AMOUNT_RECOVERED,DIS-CASE-0081,"{""recovered_amount"": 710.23, ""mode"": ""PARTIAL"", ""bank_ref"": ""RCV-CASE-0081""}",2026-09-05T07:13:00Z,dispute status RESOLVED
VER-0013,ACT-0027,CASE-0101,FAILED,AMOUNT_RECOVERED,DIS-CASE-0101,"{""recovered_amount"": 0.0, ""mode"": """", ""bank_ref"": """"}",2026-09-05T07:13:00Z,dispute status REJECTED
VER-0014,ACT-0029,CASE-0145,FINANCIAL_EFFECT_DETECTED,AMOUNT_RECOVERED,DIS-CASE-0145,"{""recovered_amount"": 571.8, ""mode"": ""PARTIAL"", ""bank_ref"": ""RCV-CASE-0145""}",2026-09-05T07:13:01Z,dispute status RESOLVED
VER-0015,ACT-0031,CASE-0093,IN_PROGRESS,AMOUNT_RECOVERED,DIS-CASE-0093,"{""recovered_amount"": 0.0, ""mode"": """", ""bank_ref"": """"}",2026-09-05T07:13:01Z,dispute status PENDING
VER-0016,ACT-0033,CASE-0092,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0092,"{""recovered_amount"": 822.81, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0092""}",2026-09-05T07:13:02Z,dispute status RESOLVED
VER-0017,ACT-0035,CASE-0032,IN_PROGRESS,AMOUNT_RECOVERED,DIS-CASE-0032,"{""recovered_amount"": 0.0, ""mode"": """", ""bank_ref"": """"}",2026-09-05T07:13:02Z,dispute status PENDING
VER-0018,ACT-0037,CASE-0026,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0026,"{""recovered_amount"": 792.3, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0026""}",2026-09-05T07:13:03Z,dispute status RESOLVED
VER-0019,ACT-0039,CASE-0086,IN_PROGRESS,AMOUNT_RECOVERED,DIS-CASE-0086,"{""recovered_amount"": 0.0, ""mode"": """", ""bank_ref"": """"}",2026-09-05T07:13:03Z,dispute status PENDING
VER-0020,ACT-0041,CASE-0083,FAILED,AMOUNT_RECOVERED,DIS-CASE-0083,"{""recovered_amount"": 0.0, ""mode"": """", ""bank_ref"": """"}",2026-09-05T07:13:04Z,dispute status REJECTED
VER-0021,ACT-0043,CASE-0107,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0107,"{""recovered_amount"": 675.77, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0107""}",2026-09-05T07:13:04Z,dispute status RESOLVED
VER-0022,ACT-0045,CASE-0088,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0088,"{""recovered_amount"": 607.89, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0088""}",2026-09-05T07:13:05Z,dispute status RESOLVED
VER-0023,ACT-0047,CASE-0030,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0030,"{""recovered_amount"": 571.83, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0030""}",2026-09-05T07:13:05Z,dispute status RESOLVED
VER-0024,ACT-0049,CASE-0042,FINANCIAL_EFFECT_DETECTED,AMOUNT_RECOVERED,DIS-CASE-0042,"{""recovered_amount"": 330.14, ""mode"": ""PARTIAL"", ""bank_ref"": ""RCV-CASE-0042""}",2026-09-05T07:13:06Z,dispute status RESOLVED
VER-0025,ACT-0051,CASE-0122,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0122,"{""recovered_amount"": 531.04, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0122""}",2026-09-05T07:13:06Z,dispute status RESOLVED
VER-0026,ACT-0053,CASE-0147,FINANCIAL_EFFECT_DETECTED,AMOUNT_RECOVERED,DIS-CASE-0147,"{""recovered_amount"": 287.63, ""mode"": ""PARTIAL"", ""bank_ref"": ""RCV-CASE-0147""}",2026-09-05T07:13:07Z,dispute status RESOLVED
VER-0027,ACT-0055,CASE-0125,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0125,"{""recovered_amount"": 474.13, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0125""}",2026-09-05T07:13:07Z,dispute status RESOLVED
VER-0028,ACT-0057,CASE-0140,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0140,"{""recovered_amount"": 433.87, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0140""}",2026-09-05T07:13:08Z,dispute status RESOLVED
VER-0029,ACT-0059,CASE-0062,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0062,"{""recovered_amount"": 429.35, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0062""}",2026-09-05T07:13:08Z,dispute status RESOLVED
VER-0030,ACT-0063,CASE-0055,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0055,"{""recovered_amount"": 310.74, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0055""}",2026-09-05T07:13:09Z,dispute status RESOLVED
VER-0031,ACT-0065,CASE-0040,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0040,"{""recovered_amount"": 300.05, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0040""}",2026-09-05T07:13:10Z,dispute status RESOLVED
VER-0032,ACT-0067,CASE-0009,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0009,"{""recovered_amount"": 294.24, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0009""}",2026-09-05T07:13:10Z,dispute status RESOLVED
VER-0033,ACT-0069,CASE-0052,FINANCIAL_EFFECT_DETECTED,AMOUNT_RECOVERED,DIS-CASE-0052,"{""recovered_amount"": 175.57, ""mode"": ""PARTIAL"", ""bank_ref"": ""RCV-CASE-0052""}",2026-09-05T07:13:11Z,dispute status RESOLVED
VER-0034,ACT-0071,CASE-0041,FAILED,AMOUNT_RECOVERED,DIS-CASE-0041,"{""recovered_amount"": 0.0, ""mode"": """", ""bank_ref"": """"}",2026-09-05T07:13:11Z,dispute status REJECTED
VER-0035,ACT-0073,CASE-0075,IN_PROGRESS,AMOUNT_RECOVERED,DIS-CASE-0075,"{""recovered_amount"": 0.0, ""mode"": """", ""bank_ref"": """"}",2026-09-05T07:13:12Z,dispute status TIMEOUT
VER-0036,ACT-0075,CASE-0087,FINANCIAL_EFFECT_DETECTED,AMOUNT_RECOVERED,DIS-CASE-0087,"{""recovered_amount"": 175.16, ""mode"": ""PARTIAL"", ""bank_ref"": ""RCV-CASE-0087""}",2026-09-05T07:13:12Z,dispute status RESOLVED
VER-0037,ACT-0077,CASE-0106,IN_PROGRESS,AMOUNT_RECOVERED,DIS-CASE-0106,"{""recovered_amount"": 0.0, ""mode"": """", ""bank_ref"": """"}",2026-09-05T07:13:13Z,dispute status PENDING
VER-0038,ACT-0079,CASE-0099,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0099,"{""recovered_amount"": 257.29, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0099""}",2026-09-05T07:13:13Z,dispute status RESOLVED
VER-0039,ACT-0081,CASE-9001,FAILED,AMOUNT_RECOVERED,DIS-CASE-9001,"{""recovered_amount"": 0.0, ""mode"": """", ""bank_ref"": """"}",2026-09-05T07:13:14Z,dispute status REJECTED
VER-0040,ACT-0083,CASE-0104,FAILED,AMOUNT_RECOVERED,DIS-CASE-0104,"{""recovered_amount"": 0.0, ""mode"": """", ""bank_ref"": """"}",2026-09-05T07:13:15Z,dispute status REJECTED
VER-0041,ACT-0085,CASE-0095,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0095,"{""recovered_amount"": 181.72, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0095""}",2026-09-05T07:13:15Z,dispute status RESOLVED
VER-0042,ACT-0087,CASE-0058,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0058,"{""recovered_amount"": 175.78, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0058""}",2026-09-05T07:13:16Z,dispute status RESOLVED
VER-0043,ACT-0091,CASE-0021,FINANCIAL_EFFECT_DETECTED,AMOUNT_RECOVERED,DIS-CASE-0021,"{""recovered_amount"": 81.83, ""mode"": ""PARTIAL"", ""bank_ref"": ""RCV-CASE-0021""}",2026-09-05T07:13:17Z,dispute status RESOLVED
VER-0044,ACT-0093,CASE-0024,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0024,"{""recovered_amount"": 131.65, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0024""}",2026-09-05T07:13:18Z,dispute status RESOLVED
VER-0045,ACT-0097,CASE-0039,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0039,"{""recovered_amount"": 119.5, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0039""}",2026-09-05T07:13:19Z,dispute status RESOLVED
VER-0046,ACT-0099,CASE-0020,FINANCIAL_EFFECT_DETECTED,AMOUNT_RECOVERED,DIS-CASE-0020,"{""recovered_amount"": 68.61, ""mode"": ""PARTIAL"", ""bank_ref"": ""RCV-CASE-0020""}",2026-09-05T07:13:19Z,dispute status RESOLVED
VER-0047,ACT-0101,CASE-0048,IN_PROGRESS,AMOUNT_RECOVERED,DIS-CASE-0048,"{""recovered_amount"": 0.0, ""mode"": """", ""bank_ref"": """"}",2026-09-05T07:13:20Z,dispute status PENDING
VER-0048,ACT-0103,CASE-0112,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0112,"{""recovered_amount"": 105.67, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0112""}",2026-09-05T07:13:21Z,dispute status RESOLVED
VER-0049,ACT-0105,CASE-0027,IN_PROGRESS,AMOUNT_RECOVERED,DIS-CASE-0027,"{""recovered_amount"": 0.0, ""mode"": """", ""bank_ref"": """"}",2026-09-05T07:13:21Z,dispute status PENDING
VER-0050,ACT-0108,CASE-0141,FINANCIAL_EFFECT_DETECTED,AMOUNT_RECOVERED,DIS-CASE-0141,"{""recovered_amount"": 53.36, ""mode"": ""PARTIAL"", ""bank_ref"": ""RCV-CASE-0141""}",2026-09-05T07:13:22Z,dispute status RESOLVED
VER-0051,ACT-0110,CASE-0139,FAILED,AMOUNT_RECOVERED,DIS-CASE-0139,"{""recovered_amount"": 0.0, ""mode"": """", ""bank_ref"": """"}",2026-09-05T07:13:23Z,dispute status REJECTED
VER-0052,ACT-0112,CASE-0149,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0149,"{""recovered_amount"": 71.33, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0149""}",2026-09-05T07:13:24Z,dispute status RESOLVED
VER-0053,ACT-0114,CASE-0123,FINANCIAL_EFFECT_DETECTED,AMOUNT_RECOVERED,DIS-CASE-0123,"{""recovered_amount"": 40.46, ""mode"": ""PARTIAL"", ""bank_ref"": ""RCV-CASE-0123""}",2026-09-05T07:13:24Z,dispute status RESOLVED
VER-0054,ACT-0116,CASE-0132,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0132,"{""recovered_amount"": 66.74, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0132""}",2026-09-05T07:13:25Z,dispute status RESOLVED
VER-0055,ACT-0118,CASE-0129,FINANCIAL_EFFECT_DETECTED,AMOUNT_RECOVERED,DIS-CASE-0129,"{""recovered_amount"": 39.89, ""mode"": ""PARTIAL"", ""bank_ref"": ""RCV-CASE-0129""}",2026-09-05T07:13:25Z,dispute status RESOLVED
VER-0056,ACT-0120,CASE-0128,FINANCIAL_EFFECT_DETECTED,AMOUNT_RECOVERED,DIS-CASE-0128,"{""recovered_amount"": 39.35, ""mode"": ""PARTIAL"", ""bank_ref"": ""RCV-CASE-0128""}",2026-09-05T07:13:26Z,dispute status RESOLVED
VER-0057,ACT-0122,CASE-0119,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0119,"{""recovered_amount"": 63.71, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0119""}",2026-09-05T07:13:27Z,dispute status RESOLVED
VER-0058,ACT-0124,CASE-0017,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0017,"{""recovered_amount"": 58.05, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0017""}",2026-09-05T07:13:27Z,dispute status RESOLVED
VER-0059,ACT-0127,CASE-0073,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0073,"{""recovered_amount"": 46.0, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0073""}",2026-09-05T07:13:28Z,dispute status RESOLVED
VER-0060,ACT-0129,CASE-0090,FINANCIAL_EFFECT_DETECTED,AMOUNT_RECOVERED,DIS-CASE-0090,"{""recovered_amount"": 25.68, ""mode"": ""PARTIAL"", ""bank_ref"": ""RCV-CASE-0090""}",2026-09-05T07:13:29Z,dispute status RESOLVED
VER-0061,ACT-0132,CASE-0056,FINANCIAL_EFFECT_DETECTED,AMOUNT_RECOVERED,DIS-CASE-0056,"{""recovered_amount"": 24.87, ""mode"": ""PARTIAL"", ""bank_ref"": ""RCV-CASE-0056""}",2026-09-05T07:13:30Z,dispute status RESOLVED
VER-0062,ACT-0136,CASE-0127,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0127,"{""recovered_amount"": 38.64, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0127""}",2026-09-05T07:13:32Z,dispute status RESOLVED
VER-0063,ACT-0139,CASE-0019,FINANCIAL_EFFECT_DETECTED,AMOUNT_RECOVERED,DIS-CASE-0019,"{""recovered_amount"": 22.08, ""mode"": ""PARTIAL"", ""bank_ref"": ""RCV-CASE-0019""}",2026-09-05T07:13:33Z,dispute status RESOLVED
VER-0064,ACT-0141,CASE-0060,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0060,"{""recovered_amount"": 35.42, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0060""}",2026-09-05T07:13:34Z,dispute status RESOLVED
VER-0065,ACT-0145,CASE-0102,IN_PROGRESS,AMOUNT_RECOVERED,DIS-CASE-0102,"{""recovered_amount"": 0.0, ""mode"": """", ""bank_ref"": """"}",2026-09-05T07:13:35Z,dispute status PENDING
VER-0066,ACT-0152,CASE-0069,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0069,"{""recovered_amount"": 22.2, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0069""}",2026-09-05T07:13:38Z,dispute status RESOLVED
VER-0067,ACT-0156,CASE-0103,IN_PROGRESS,AMOUNT_RECOVERED,DIS-CASE-0103,"{""recovered_amount"": 0.0, ""mode"": """", ""bank_ref"": """"}",2026-09-05T07:13:40Z,dispute status PENDING
VER-0068,ACT-0158,CASE-0084,IN_PROGRESS,AMOUNT_RECOVERED,DIS-CASE-0084,"{""recovered_amount"": 0.0, ""mode"": """", ""bank_ref"": """"}",2026-09-05T07:13:41Z,dispute status PENDING
VER-0069,ACT-0161,CASE-0082,FINANCIAL_EFFECT_DETECTED,AMOUNT_RECOVERED,DIS-CASE-0082,"{""recovered_amount"": 11.61, ""mode"": ""PARTIAL"", ""bank_ref"": ""RCV-CASE-0082""}",2026-09-05T07:13:42Z,dispute status RESOLVED
VER-0070,ACT-0163,CASE-0078,IN_PROGRESS,AMOUNT_RECOVERED,DIS-CASE-0078,"{""recovered_amount"": 0.0, ""mode"": """", ""bank_ref"": """"}",2026-09-05T07:13:43Z,dispute status PENDING
VER-0071,ACT-0165,CASE-0015,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0015,"{""recovered_amount"": 17.8, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0015""}",2026-09-05T07:13:44Z,dispute status RESOLVED
VER-0072,ACT-0167,CASE-0076,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0076,"{""recovered_amount"": 16.81, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0076""}",2026-09-05T07:13:44Z,dispute status RESOLVED
VER-0073,ACT-0170,CASE-0124,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0124,"{""recovered_amount"": 14.34, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0124""}",2026-09-05T07:13:46Z,dispute status RESOLVED
VER-0074,ACT-0173,CASE-0105,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0105,"{""recovered_amount"": 13.94, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0105""}",2026-09-05T07:13:47Z,dispute status RESOLVED
VER-0075,ACT-0177,CASE-0066,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0066,"{""recovered_amount"": 13.19, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0066""}",2026-09-05T07:13:49Z,dispute status RESOLVED
VER-0076,ACT-0181,CASE-0144,FINANCIAL_EFFECT_DETECTED,AMOUNT_RECOVERED,DIS-CASE-0144,"{""recovered_amount"": 6.77, ""mode"": ""PARTIAL"", ""bank_ref"": ""RCV-CASE-0144""}",2026-09-05T07:13:51Z,dispute status RESOLVED
VER-0077,ACT-0183,CASE-0034,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0034,"{""recovered_amount"": 10.56, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0034""}",2026-09-05T07:13:52Z,dispute status RESOLVED
VER-0078,ACT-0185,CASE-0011,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0011,"{""recovered_amount"": 9.94, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0011""}",2026-09-05T07:13:53Z,dispute status RESOLVED
VER-0079,ACT-0187,CASE-0110,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0110,"{""recovered_amount"": 8.86, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0110""}",2026-09-05T07:13:54Z,dispute status RESOLVED
VER-0080,ACT-0189,CASE-0005,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0005,"{""recovered_amount"": 8.83, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0005""}",2026-09-05T07:13:54Z,dispute status RESOLVED
VER-0081,ACT-0191,CASE-0068,FINANCIAL_EFFECT_DETECTED,AMOUNT_RECOVERED,DIS-CASE-0068,"{""recovered_amount"": 5.05, ""mode"": ""PARTIAL"", ""bank_ref"": ""RCV-CASE-0068""}",2026-09-05T07:13:57Z,dispute status RESOLVED
VER-0082,ACT-0195,CASE-0113,FINANCIAL_EFFECT_DETECTED,AMOUNT_RECOVERED,DIS-CASE-0113,"{""recovered_amount"": 4.85, ""mode"": ""PARTIAL"", ""bank_ref"": ""RCV-CASE-0113""}",2026-09-05T07:13:59Z,dispute status RESOLVED
VER-0083,ACT-0201,CASE-0142,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0142,"{""recovered_amount"": 6.49, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0142""}",2026-09-05T07:14:03Z,dispute status RESOLVED
VER-0084,ACT-0203,CASE-0036,IN_PROGRESS,AMOUNT_RECOVERED,DIS-CASE-0036,"{""recovered_amount"": 0.0, ""mode"": """", ""bank_ref"": """"}",2026-09-05T07:14:04Z,dispute status PENDING
VER-0085,ACT-0211,CASE-0035,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0035,"{""recovered_amount"": 5.45, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0035""}",2026-09-05T07:14:08Z,dispute status RESOLVED
VER-0086,ACT-0215,CASE-0014,FINANCIAL_EFFECT_DETECTED,AMOUNT_RECOVERED,DIS-CASE-0014,"{""recovered_amount"": 3.2, ""mode"": ""PARTIAL"", ""bank_ref"": ""RCV-CASE-0014""}",2026-09-05T07:14:10Z,dispute status RESOLVED
VER-0087,ACT-0221,CASE-0135,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0135,"{""recovered_amount"": 4.47, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0135""}",2026-09-05T07:14:13Z,dispute status RESOLVED
VER-0088,ACT-0233,CASE-0133,FAILED,AMOUNT_RECOVERED,DIS-CASE-0133,"{""recovered_amount"": 0.0, ""mode"": """", ""bank_ref"": """"}",2026-09-05T07:14:21Z,dispute status REJECTED
VER-0089,ACT-0238,CASE-0049,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0049,"{""recovered_amount"": 2.1, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0049""}",2026-09-05T07:14:24Z,dispute status RESOLVED
VER-0090,ACT-0240,CASE-0028,FINANCIAL_EFFECT_DETECTED,AMOUNT_RECOVERED,DIS-CASE-0028,"{""recovered_amount"": 1.25, ""mode"": ""PARTIAL"", ""bank_ref"": ""RCV-CASE-0028""}",2026-09-05T07:14:25Z,dispute status RESOLVED
