approval_id,case_id,action_id,risk_level,amount,requested_by,status,requested_at,decided_by,decided_at,decision_note
APR-0047,CASE-0039,,L3,119.5,AGENT,APPROVED,2026-09-05T07:13:19Z,finance-lead@example.com,2026-09-05T07:13:19Z,dev auto-decision
APR-0048,CASE-0020,,L3,114.35,AGENT,APPROVED,2026-09-05T07:13:19Z,finance-lead@example.com,2026-09-05T07:13:19Z,dev auto-decision
APR-0049,CASE-0048,,L3,106.19,AGENT,APPROVED,2026-09-05T07:13:20Z,finance-lead@example.com,2026-09-05T07:13:20Z,dev auto-decision
APR-0050,CASE-0112,,L3,105.67,AGENT,APPROVED,2026-09-05T07:13:21Z,finance-lead@example.com,2026-09-05T07:13:21Z,dev auto-decision
APR-0051,CASE-0027,,L3,101.73,AGENT,APPROVED,2026-09-05T07:13:21Z,finance-lead@example.com,2026-09-05T07:13:21Z,dev auto-decision
APR-0052,CASE-0141,,L3,88.94,AGENT,APPROVED,2026-09-05T07:13:22Z,finance-lead@example.com,2026-09-05T07:13:22Z,dev auto-decision
APR-0053,CASE-0139,,L3,72.48,AGENT,APPROVED,2026-09-05T07:13:23Z,finance-lead@example.com,2026-09-05T07:13:23Z,dev auto-decision
APR-0054,CASE-0149,,L3,71.33,AGENT,APPROVED,2026-09-05T07:13:23Z,finance-lead@example.com,2026-09-05T07:13:23Z,dev auto-decision
APR-0055,CASE-0123,,L3,67.44,AGENT,APPROVED,2026-09-05T07:13:24Z,finance-lead@example.com,2026-09-05T07:13:24Z,dev auto-decision
APR-0056,CASE-0132,,L3,66.74,AGENT,APPROVED,2026-09-05T07:13:25Z,finance-lead@example.com,2026-09-05T07:13:25Z,dev auto-decision
APR-0057,CASE-0129,,L3,66.48,AGENT,APPROVED,2026-09-05T07:13:25Z,finance-lead@example.com,2026-09-05T07:13:25Z,dev auto-decision
APR-0058,CASE-0128,,L3,65.58,AGENT,APPROVED,2026-09-05T07:13:26Z,finance-lead@example.com,2026-09-05T07:13:26Z,dev auto-decision
APR-0059,CASE-0119,,L3,63.71,AGENT,APPROVED,2026-09-05T07:13:27Z,finance-lead@example.com,2026-09-05T07:13:27Z,dev auto-decision
APR-0060,CASE-0017,,L3,58.05,AGENT,APPROVED,2026-09-05T07:13:27Z,finance-lead@example.com,2026-09-05T07:13:27Z,dev auto-decision
APR-0061,CASE-0073,,L3,46.0,AGENT,APPROVED,2026-09-05T07:13:28Z,finance-lead@example.com,2026-09-05T07:13:28Z,dev auto-decision
APR-0062,CASE-0090,,L3,42.8,AGENT,APPROVED,2026-09-05T07:13:29Z,finance-lead@example.com,2026-09-05T07:13:29Z,dev auto-decision
APR-0063,CASE-0056,,L3,41.45,AGENT,APPROVED,2026-09-05T07:13:30Z,finance-lead@example.com,2026-09-05T07:13:30Z,dev auto-decision
APR-0064,CASE-0127,,L3,38.64,AGENT,APPROVED,2026-09-05T07:13:32Z,finance-lead@example.com,2026-09-05T07:13:32Z,dev auto-decision
APR-0065,CASE-0019,,L3,36.8,AGENT,APPROVED,2026-09-05T07:13:33Z,finance-lead@example.com,2026-09-05T07:13:33Z,dev auto-decision
APR-0066,CASE-0060,,L3,35.42,AGENT,APPROVED,2026-09-05T07:13:34Z,finance-lead@example.com,2026-09-05T07:13:34Z,dev auto-decision
APR-0067,CASE-0037,,L3,33.66,AGENT,APPROVED,2026-09-05T07:13:34Z,finance-lead@example.com,2026-09-05T07:13:34Z,dev auto-decision
APR-0068,CASE-0102,,L3,28.8,AGENT,APPROVED,2026-09-05T07:13:35Z,finance-lead@example.com,2026-09-05T07:13:35Z,dev auto-decision
APR-0069,CASE-0137,,L3,27.51,AGENT,APPROVED,2026-09-05T07:13:36Z,finance-lead@example.com,2026-09-05T07:13:36Z,dev auto-decision
APR-0070,CASE-0069,,L3,22.2,AGENT,APPROVED,2026-09-05T07:13:38Z,finance-lead@example.com,2026-09-05T07:13:38Z,dev auto-decision
APR-0071,CASE-0103,,L3,20.69,AGENT,APPROVED,2026-09-05T07:13:40Z,finance-lead@example.com,2026-09-05T07:13:40Z,dev auto-decision
APR-0072,CASE-0084,,L3,20.47,AGENT,APPROVED,2026-09-05T07:13:41Z,finance-lead@example.com,2026-09-05T07:13:41Z,dev auto-decision
APR-0073,CASE-0082,,L3,19.35,AGENT,APPROVED,2026-09-05T07:13:42Z,finance-lead@example.com,2026-09-05T07:13:42Z,dev auto-decision
APR-0074,CASE-0078,,L3,18.18,AGENT,APPROVED,2026-09-05T07:13:43Z,finance-lead@example.com,2026-09-05T07:13:43Z,dev auto-decision
APR-0075,CASE-0015,,L3,17.8,AGENT,APPROVED,2026-09-05T07:13:44Z,finance-lead@example.com,2026-09-05T07:13:44Z,dev auto-decision
APR-0076,CASE-0076,,L3,16.81,AGENT,APPROVED,2026-09-05T07:13:44Z,finance-lead@example.com,2026-09-05T07:13:44Z,dev auto-decision
APR-0077,CASE-0124,,L3,14.34,AGENT,APPROVED,2026-09-05T07:13:46Z,finance-lead@example.com,2026-09-05T07:13:46Z,dev auto-decision
APR-0078,CASE-0105,,L3,13.94,AGENT,APPROVED,2026-09-05T07:13:47Z,finance-lead@example.com,2026-09-05T07:13:47Z,dev auto-decision
APR-0079,CASE-0066,,L3,13.19,AGENT,APPROVED,2026-09-05T07:13:49Z,finance-lead@example.com,2026-09-05T07:13:49Z,dev auto-decision
APR-0080,CASE-0144,,L3,11.29,AGENT,APPROVED,2026-09-05T07:13:51Z,finance-lead@example.com,2026-09-05T07:13:51Z,dev auto-decision
APR-0081,CASE-0034,,L3,10.56,AGENT,APPROVED,2026-09-05T07:13:52Z,finance-lead@example.com,2026-09-05T07:13:52Z,dev auto-decision
APR-0082,CASE-0011,,L3,9.94,AGENT,APPROVED,2026-09-05T07:13:53Z,finance-lead@example.com,2026-09-05T07:13:53Z,dev auto-decision
APR-0083,CASE-0110,,L3,8.86,AGENT,APPROVED,2026-09-05T07:13:53Z,finance-lead@example.com,2026-09-05T07:13:53Z,dev auto-decision
APR-0084,CASE-0005,,L3,8.83,AGENT,APPROVED,2026-09-05T07:13:54Z,finance-lead@example.com,2026-09-05T07:13:54Z,dev auto-decision
APR-0085,CASE-0068,,L3,8.41,AGENT,APPROVED,2026-09-05T07:13:57Z,finance-lead@example.com,2026-09-05T07:13:57Z,dev auto-decision
APR-0086,CASE-0113,,L3,8.08,AGENT,APPROVED,2026-09-05T07:13:59Z,finance-lead@example.com,2026-09-05T07:13:59Z,dev auto-decision
APR-0087,CASE-0142,,L3,6.49,AGENT,APPROVED,2026-09-05T07:14:03Z,finance-lead@example.com,2026-09-05T07:14:03Z,dev auto-decision
APR-0088,CASE-0036,,L3,6.39,AGENT,APPROVED,2026-09-05T07:14:03Z,finance-lead@example.com,2026-09-05T07:14:03Z,dev auto-decision
APR-0089,CASE-0064,,L3,6.08,AGENT,APPROVED,2026-09-05T07:14:05Z,finance-lead@example.com,2026-09-05T07:14:05Z,dev auto-decision
APR-0090,CASE-0035,,L3,5.45,AGENT,APPROVED,2026-09-05T07:14:08Z,finance-lead@example.com,2026-09-05T07:14:08Z,dev auto-decision
APR-0091,CASE-0014,,L3,5.34,AGENT,APPROVED,2026-09-05T07:14:10Z,finance-lead@example.com,2026-09-05T07:14:10Z,dev auto-decision
APR-0092,CASE-0135,,L3,4.47,AGENT,APPROVED,2026-09-05T07:14:13Z,finance-lead@example.com,2026-09-05T07:14:13Z,dev auto-decision
APR-0093,CASE-0006,,L3,3.57,AGENT,APPROVED,2026-09-05T07:14:16Z,finance-lead@example.com,2026-09-05T07:14:16Z,dev auto-decision
APR-0094,CASE-0133,,L3,2.43,AGENT,APPROVED,2026-09-05T07:14:21Z,finance-lead@example.com,2026-09-05T07:14:21Z,dev auto-decision
APR-0095,CASE-0049,,L3,2.1,AGENT,APPROVED,2026-09-05T07:14:24Z,finance-lead@example.com,2026-09-05T07:14:24Z,dev auto-decision
APR-0096,CASE-0028,,L3,2.08,AGENT,APPROVED,2026-09-05T07:14:24Z,finance-lead@example.com,2026-09-05T07:14:24Z,dev auto-decision
