case_id,anomaly_id,order_id,payment_id,customer_id,category,priority,status,expected_fee,expected_tax,expected_settlement,actual_fee,actual_tax,actual_settlement,known_adjustments,refund_status,recon_status,potential_leakage,confidence,recoverability_status,potential_recovery,deadline_at,allowed_actions,approval_required,opened_at,closed_at
CASE-0011,anm-00011,ORD-48,PAY-0048,CUS-0203,REFUND_ECONOMICS,LOW,NEW,24.0,4.32,6091.15,12.0,2.16,3051.11,0,REFUNDED,MISMATCH,9.94,0.90,ACTION_READY,9.94,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0012,anm-00012,ORD-50,PAY-0050,CUS-0026,FEE_DISCREPANCY,LOW,NEW,3.33,0.6,827.82,6.66,1.2,823.89,0,NONE,MISMATCH,3.93,0.90,ACTION_READY,3.93,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0013,anm-00013,ORD-51,PAY-0051,CUS-0168,FEE_DISCREPANCY,LOW,NEW,8.41,1.51,347.74,12.97,2.33,343.18,0,NONE,MISMATCH,5.38,0.90,ACTION_READY,5.38,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0014,anm-00014,ORD-54,PAY-0054,CUS-0176,REFUND_ECONOMICS,LOW,NEW,18.32,3.3,942.43,18.32,3.3,661.24,0,REFUNDED,MISMATCH,5.34,0.90,ACTION_READY,5.34,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0015,anm-00015,ORD-56,PAY-0056,CUS-0136,REFUND_ECONOMICS,LOW,NEW,41.51,7.47,2026.38,41.51,7.47,1136.36,0,REFUNDED,MISMATCH,17.8,0.90,ACTION_READY,17.8,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0016,anm-00016,ORD-65,PAY-0065,CUS-0025,FEE_DISCREPANCY,LOW,NEW,30.61,5.51,1574.72,42.39,7.63,1562.94,0,NONE,MISMATCH,13.9,0.90,ACTION_READY,13.9,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0017,anm-00017,ORD-71,PAY-0071,CUS-0248,SETTLEMENT_MISMATCH,LOW,NEW,12.0,2.16,1218.03,12.0,2.16,1159.98,0,NONE,MISMATCH,58.05,0.90,ACTION_READY,58.05,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0018,anm-00018,ORD-74,PAY-0074,CUS-0057,FEE_DISCREPANCY,LOW,NEW,6.94,1.25,1726.07,9.19,1.65,1723.82,0,NONE,MISMATCH,2.65,0.90,ACTION_READY,2.65,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0019,anm-00019,ORD-76,PAY-0076,CUS-0095,SETTLEMENT_MISMATCH,LOW,NEW,2.5,0.45,622.1,2.5,0.45,585.3,0,NONE,MISMATCH,36.8,0.90,ACTION_READY,36.8,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0020,anm-00020,ORD-77,PAY-0077,CUS-0107,SETTLEMENT_MISMATCH,MEDIUM,NEW,21.02,3.78,5230.38,21.02,3.78,2969.53,0,REFUNDED,MISMATCH,114.35,0.90,ACTION_READY,114.35,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0021,anm-00021,ORD-80,PAY-0080,CUS-0016,SETTLEMENT_MISMATCH,MEDIUM,NEW,41.84,7.53,2042.83,41.84,7.53,1906.44,0,NONE,MISMATCH,136.39,0.90,ACTION_READY,136.39,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0022,anm-00022,ORD-82,PAY-0082,CUS-0018,FEE_DISCREPANCY,LOW,NEW,12.0,2.16,1378.74,18.34,3.3,1372.4,0,NONE,MISMATCH,7.48,0.90,ACTION_READY,7.48,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0023,anm-00023,ORD-91,PAY-0091,CUS-0163,FEE_DISCREPANCY,LOW,NEW,8.16,1.47,2029.62,10.79,1.94,2026.99,0,NONE,MISMATCH,3.1,0.90,ACTION_READY,3.1,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0024,anm-00025,ORD-101,PAY-0101,CUS-0250,SETTLEMENT_MISMATCH,MEDIUM,NEW,12.0,2.16,2145.42,17.12,3.08,2013.77,0,NONE,MISMATCH,131.65,0.90,ACTION_READY,131.65,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0025,anm-00026,ORD-118,PAY-0118,CUS-0020,FEE_DISCREPANCY,LOW,NEW,1.2,0.22,297.58,2.4,0.44,208.66,0,REFUNDED,MISMATCH,1.42,0.90,ACTION_READY,1.42,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0026,anm-00027,ORD-126,PAY-0126,CUS-0119,SETTLEMENT_MISMATCH,HIGH,NEW,5.16,0.93,1283.49,5.16,0.93,0,0,REFUNDED,MISMATCH,792.3,0.90,ACTION_READY,792.3,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,TRUE,2025-04-05T00:00:00Z,
CASE-0027,anm-00028,ORD-129,PAY-0129,CUS-0113,SETTLEMENT_MISMATCH,MEDIUM,NEW,6.0,1.08,1494.11,6.0,1.08,1392.38,0,NONE,MISMATCH,101.73,0.90,ACTION_READY,101.73,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0028,anm-00029,ORD-137,PAY-0137,CUS-0036,REFUND_ECONOMICS,LOW,NEW,6.25,1.12,305.2,6.25,1.12,201.3,0,REFUNDED,MISMATCH,2.08,0.90,ACTION_READY,2.08,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0029,anm-00030,ORD-138,PAY-0138,CUS-0097,SETTLEMENT_MISMATCH,HIGH,NEW,42.87,7.72,2092.88,42.87,7.72,0,0,NONE,MISMATCH,2092.88,0.90,ACTION_READY,2092.88,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,TRUE,2025-04-05T00:00:00Z,
CASE-0030,anm-00031,ORD-140,PAY-0140,CUS-0192,SETTLEMENT_MISMATCH,HIGH,NEW,12.0,2.16,571.83,12.0,2.16,0,0,NONE,MISMATCH,571.83,0.90,ACTION_READY,571.83,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,TRUE,2025-04-05T00:00:00Z,
CASE-0031,anm-00032,ORD-143,PAY-0143,CUS-0248,FEE_DISCREPANCY,LOW,NEW,41.3,7.43,2016.28,63.11,11.36,1994.47,0,NONE,MISMATCH,25.74,0.90,ACTION_READY,25.74,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0032,anm-00033,ORD-157,PAY-0157,CUS-0096,SETTLEMENT_MISMATCH,HIGH,NEW,16.69,3.0,814.95,16.69,3.0,0,0,NONE,MISMATCH,814.95,0.90,ACTION_READY,814.95,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,TRUE,2025-04-05T00:00:00Z,
CASE-0033,anm-00034,ORD-161,PAY-0161,CUS-0184,FEE_DISCREPANCY,LOW,NEW,24.0,4.32,959.18,15.38,2.77,949.55,0,NONE,MISMATCH,11.36,0.90,ACTION_READY,11.36,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0034,anm-00036,ORD-164,PAY-0164,CUS-0092,SETTLEMENT_MISMATCH,LOW,NEW,5.68,1.02,292.3,8.03,1.45,281.74,0,NONE,MISMATCH,10.56,0.90,ACTION_READY,10.56,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0035,anm-00037,ORD-168,PAY-0168,CUS-0140,SETTLEMENT_MISMATCH,LOW,NEW,9.15,1.65,446.76,9.15,1.65,441.31,0,NONE,MISMATCH,5.45,0.90,ACTION_READY,5.45,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0036,anm-00038,ORD-173,PAY-0173,CUS-0136,REFUND_ECONOMICS,LOW,NEW,31.5,5.67,1537.95,31.5,5.67,1218.43,0,REFUNDED,MISMATCH,6.39,0.90,ACTION_READY,6.39,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0037,anm-00039,ORD-176,PAY-0176,CUS-0126,REFUND_ECONOMICS,LOW,NEW,70.17,12.63,3425.6,70.17,12.63,1742.84,0,REFUNDED,MISMATCH,33.66,0.90,ACTION_READY,33.66,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0038,anm-00040,ORD-178,PAY-0178,CUS-0077,FEE_DISCREPANCY,LOW,NEW,69.55,12.52,3578.48,89.74,16.15,3558.29,0,NONE,MISMATCH,23.82,0.90,ACTION_READY,23.82,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0039,anm-00041,ORD-179,PAY-0179,CUS-0032,SETTLEMENT_MISMATCH,MEDIUM,NEW,51.5,9.27,2130.73,51.5,9.27,2011.23,0,NONE,MISMATCH,119.5,0.90,ACTION_READY,119.5,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0040,anm-00042,ORD-182,PAY-0182,CUS-0123,SETTLEMENT_MISMATCH,MEDIUM,NEW,68.45,12.32,17031.96,68.45,12.32,11894.06,0,REFUNDED,MISMATCH,300.05,0.90,ACTION_READY,300.05,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0041,anm-00043,ORD-188,PAY-0188,CUS-0137,SETTLEMENT_MISMATCH,MEDIUM,NEW,5.98,1.08,291.94,5.98,1.08,0,0,NONE,MISMATCH,291.94,0.90,ACTION_READY,291.94,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0042,anm-00044,ORD-196,PAY-0196,CUS-0064,SETTLEMENT_MISMATCH,HIGH,NEW,13.3,2.39,550.24,13.3,2.39,0,0,NONE,MISMATCH,550.24,0.90,ACTION_READY,550.24,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,TRUE,2025-04-05T00:00:00Z,
CASE-0043,anm-00045,ORD-201,PAY-0201,CUS-0103,FEE_DISCREPANCY,LOW,NEW,6.42,1.16,313.59,12.84,2.32,232.14,0,REFUNDED,MISMATCH,7.58,0.90,ACTION_READY,7.58,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0044,anm-00046,ORD-209,PAY-0209,CUS-0150,SETTLEMENT_MISMATCH,MEDIUM,NEW,134.15,24.15,6549.16,134.15,24.15,6419.57,0,NONE,MISMATCH,129.59,0.90,ACTION_READY,129.59,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0045,anm-00047,ORD-219,PAY-0219,CUS-0181,FEE_DISCREPANCY,LOW,NEW,4.05,0.73,1007.84,5.89,1.06,1006.0,0,NONE,MISMATCH,2.17,0.90,ACTION_READY,2.17,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0046,anm-00048,ORD-231,PAY-0231,CUS-0155,SETTLEMENT_MISMATCH,HIGH,NEW,25.67,4.62,1253.0,25.67,4.62,0,0,NONE,MISMATCH,1253.0,0.90,ACTION_READY,1253.0,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,TRUE,2025-04-05T00:00:00Z,
CASE-0047,anm-00049,ORD-238,PAY-0238,CUS-0003,SETTLEMENT_MISMATCH,HIGH,NEW,31.86,5.73,1555.29,31.86,5.73,0,0,REFUNDED,MISMATCH,1237.65,0.90,ACTION_READY,1237.65,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,TRUE,2025-04-05T00:00:00Z,
CASE-0048,anm-00050,ORD-268,PAY-0268,CUS-0144,SETTLEMENT_MISMATCH,MEDIUM,NEW,59.67,10.74,2912.98,59.67,10.74,2806.79,0,NONE,MISMATCH,106.19,0.90,ACTION_READY,106.19,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0049,anm-00051,ORD-269,PAY-0269,CUS-0004,REFUND_ECONOMICS,LOW,NEW,6.81,1.23,332.66,6.81,1.23,227.44,0,REFUNDED,MISMATCH,2.1,0.90,ACTION_READY,2.1,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0050,anm-00052,ORD-273,PAY-0273,CUS-0057,FEE_DISCREPANCY,LOW,NEW,7.56,1.36,1879.86,11.01,1.98,1876.41,0,NONE,MISMATCH,4.07,0.90,ACTION_READY,4.07,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0051,anm-00053,ORD-280,PAY-0280,CUS-0060,FEE_DISCREPANCY,LOW,NEW,12.1,2.18,590.83,18.09,3.26,584.84,0,NONE,MISMATCH,7.07,0.90,ACTION_READY,7.07,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0052,anm-00054,ORD-282,PAY-0282,CUS-0185,SETTLEMENT_MISMATCH,MEDIUM,NEW,110.87,19.96,5412.62,110.87,19.96,5120.0,0,NONE,MISMATCH,292.62,0.90,ACTION_READY,292.62,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0053,anm-00055,ORD-288,PAY-0288,CUS-0044,FEE_DISCREPANCY,LOW,NEW,32.5,5.85,1586.86,50.51,9.09,1568.85,0,NONE,MISMATCH,21.25,0.90,ACTION_READY,21.25,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0054,anm-00056,ORD-291,PAY-0291,CUS-0237,FEE_DISCREPANCY,LOW,NEW,24.76,4.46,1208.91,31.02,5.58,1202.65,0,NONE,MISMATCH,7.38,0.90,ACTION_READY,7.38,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0055,anm-00057,ORD-294,PAY-0294,CUS-0218,SETTLEMENT_MISMATCH,MEDIUM,NEW,6.36,1.14,310.74,6.36,1.14,0,0,NONE,MISMATCH,310.74,0.90,ACTION_READY,310.74,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0056,anm-00058,ORD-301,PAY-0301,CUS-0093,REFUND_ECONOMICS,LOW,NEW,92.58,16.66,4519.55,92.58,16.66,2447.16,0,REFUNDED,MISMATCH,41.45,0.90,ACTION_READY,41.45,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0057,anm-00059,ORD-304,PAY-0304,CUS-0222,FEE_DISCREPANCY,LOW,NEW,10.89,1.96,531.73,15.22,2.74,527.4,0,NONE,MISMATCH,5.11,0.90,ACTION_READY,5.11,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0058,anm-00060,ORD-316,PAY-0316,CUS-0065,SETTLEMENT_MISMATCH,MEDIUM,NEW,27.65,4.98,6880.68,27.65,4.98,5082.38,0,REFUNDED,MISMATCH,175.78,0.90,ACTION_READY,175.78,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0059,anm-00061,ORD-330,PAY-0330,CUS-0116,FEE_DISCREPANCY,LOW,NEW,2.23,0.4,555.67,3.29,0.59,554.61,0,NONE,MISMATCH,1.25,0.90,ACTION_READY,1.25,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0060,anm-00062,ORD-345,PAY-0345,CUS-0139,SETTLEMENT_MISMATCH,LOW,NEW,12.0,2.16,2081.75,12.0,2.16,2046.33,0,NONE,MISMATCH,35.42,0.90,ACTION_READY,35.42,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0061,anm-00063,ORD-346,PAY-0346,CUS-0116,SETTLEMENT_MISMATCH,HIGH,NEW,42.17,7.59,2058.75,42.17,7.59,0,0,NONE,MISMATCH,2058.75,0.90,ACTION_READY,2058.75,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,TRUE,2025-04-05T00:00:00Z,
CASE-0062,anm-00064,ORD-347,PAY-0347,CUS-0151,SETTLEMENT_MISMATCH,MEDIUM,NEW,23.34,4.2,5808.29,23.34,4.2,5378.94,0,NONE,MISMATCH,429.35,0.90,ACTION_READY,429.35,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0063,anm-00065,ORD-381,PAY-0381,CUS-0017,FEE_DISCREPANCY,MEDIUM,NEW,326.69,58.8,15949.08,443.38,79.81,9520.97,0,REFUNDED,MISMATCH,137.7,0.90,ACTION_READY,137.7,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0064,anm-00066,ORD-388,PAY-0388,CUS-0027,REFUND_ECONOMICS,LOW,NEW,29.79,5.36,1532.92,29.79,5.36,1212.96,0,REFUNDED,MISMATCH,6.08,0.90,ACTION_READY,6.08,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0065,anm-00067,ORD-391,PAY-0391,CUS-0108,FEE_DISCREPANCY,LOW,NEW,12.83,2.31,626.34,18.13,3.26,621.04,0,NONE,MISMATCH,6.25,0.90,ACTION_READY,6.25,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
