recon_result_id,reconcile_run_id,direction,left_entity,left_record_id,right_entity,right_record_id,status,expected_amount,actual_amount,variance,explained_variance,unexplained_variance,variance_class,tolerance_id,matched_at,notes
rcn-00011,RUN-2025-04-05-01,FEE_VS_RATE_CARD,core.payments,PAY-0003,core.gateway_fees,FEE-0003,MATCHED,54.61,54.61,0.0,0,0,LEGITIMATE,TOL-FEE,2025-04-05T00:00:00Z,
rcn-00012,RUN-2025-04-05-01,BANK_VS_SETTLEMENT,core.settlements,SET-0003,core.bank_transactions,BNK-0003,MATCHED,2665.97,2665.97,0.0,0,0,LEGITIMATE,TOL-BANK,2025-04-05T00:00:00Z,
rcn-00013,RUN-2025-04-05-01,PAYMENT_VS_ORDER,core.orders,ORD-4,core.payments,PAY-0004,MATCHED,614.19,614.19,0.0,0,0,LEGITIMATE,TOL-PAYMENT,2025-04-05T00:00:00Z,
rcn-00014,RUN-2025-04-05-01,SETTLEMENT_VS_PAYMENT,core.payments,PAY-0004,core.settlements,SET-0004,MATCHED,611.29,610.29,1.0,0,0,LEGITIMATE,TOL-SETTLEMENT,2025-04-05T00:00:00Z,
rcn-00015,RUN-2025-04-05-01,FEE_VS_RATE_CARD,core.payments,PAY-0004,core.gateway_fees,FEE-0004,MATCHED,2.46,3.46,-1.0,0,0,LEGITIMATE,TOL-FEE,2025-04-05T00:00:00Z,
rcn-00016,RUN-2025-04-05-01,BANK_VS_SETTLEMENT,core.settlements,SET-0004,core.bank_transactions,BNK-0004,MATCHED,610.29,610.29,0.0,0,0,LEGITIMATE,TOL-BANK,2025-04-05T00:00:00Z,
rcn-00017,RUN-2025-04-05-01,PAYMENT_VS_ORDER,core.orders,ORD-5,core.payments,PAY-0005,MATCHED,299.0,299.0,0.0,0,0,LEGITIMATE,TOL-PAYMENT,2025-04-05T00:00:00Z,
rcn-00018,RUN-2025-04-05-01,SETTLEMENT_VS_PAYMENT,core.payments,PAY-0005,core.settlements,SET-0005,MATCHED,291.94,291.94,0.0,0,0,LEGITIMATE,TOL-SETTLEMENT,2025-04-05T00:00:00Z,
rcn-00019,RUN-2025-04-05-01,FEE_VS_RATE_CARD,core.payments,PAY-0005,core.gateway_fees,FEE-0005,MATCHED,5.98,5.98,0.0,0,0,LEGITIMATE,TOL-FEE,2025-04-05T00:00:00Z,
rcn-00020,RUN-2025-04-05-01,BANK_VS_SETTLEMENT,core.settlements,SET-0005,core.bank_transactions,BNK-0005,MATCHED,291.94,291.94,0.0,0,0,LEGITIMATE,TOL-BANK,2025-04-05T00:00:00Z,
rcn-00021,RUN-2025-04-05-01,PAYMENT_VS_ORDER,core.orders,ORD-6,core.payments,PAY-0006,MATCHED,1141.49,1141.49,0.0,0,0,LEGITIMATE,TOL-PAYMENT,2025-04-05T00:00:00Z,
rcn-00022,RUN-2025-04-05-01,SETTLEMENT_VS_PAYMENT,core.payments,PAY-0006,core.settlements,SET-0006,MATCHED,1136.1,1136.1,0.0,0,0,LEGITIMATE,TOL-SETTLEMENT,2025-04-05T00:00:00Z,
rcn-00023,RUN-2025-04-05-01,FEE_VS_RATE_CARD,core.payments,PAY-0006,core.gateway_fees,FEE-0006,MATCHED,4.57,4.57,0.0,0,0,LEGITIMATE,TOL-FEE,2025-04-05T00:00:00Z,
rcn-00024,RUN-2025-04-05-01,BANK_VS_SETTLEMENT,core.settlements,SET-0006,core.bank_transactions,BNK-0006,MATCHED,1136.1,1136.1,0.0,0,0,LEGITIMATE,TOL-BANK,2025-04-05T00:00:00Z,
rcn-00025,RUN-2025-04-05-01,PAYMENT_VS_ORDER,core.orders,ORD-7,core.payments,PAY-0007,MATCHED,4944.97,4944.97,0.0,0,0,LEGITIMATE,TOL-PAYMENT,2025-04-05T00:00:00Z,
rcn-00026,RUN-2025-04-05-01,SETTLEMENT_VS_PAYMENT,core.payments,PAY-0007,core.settlements,SET-0007,MATCHED,4921.63,4921.63,0.0,0,0,LEGITIMATE,TOL-SETTLEMENT,2025-04-05T00:00:00Z,
rcn-00027,RUN-2025-04-05-01,FEE_VS_RATE_CARD,core.payments,PAY-0007,core.gateway_fees,FEE-0007,MATCHED,19.78,19.78,0.0,0,0,LEGITIMATE,TOL-FEE,2025-04-05T00:00:00Z,
rcn-00028,RUN-2025-04-05-01,BANK_VS_SETTLEMENT,core.settlements,SET-0007,core.bank_transactions,BNK-0007,MATCHED,4921.63,4921.63,0.0,0,0,LEGITIMATE,TOL-BANK,2025-04-05T00:00:00Z,
rcn-00029,RUN-2025-04-05-01,PAYMENT_VS_ORDER,core.orders,ORD-8,core.payments,PAY-0008,MATCHED,428.95,428.95,0.0,0,0,LEGITIMATE,TOL-PAYMENT,2025-04-05T00:00:00Z,
rcn-00030,RUN-2025-04-05-01,SETTLEMENT_VS_PAYMENT,core.payments,PAY-0008,core.settlements,SET-0008,MATCHED,418.83,418.83,0.0,0,0,LEGITIMATE,TOL-SETTLEMENT,2025-04-05T00:00:00Z,
rcn-00031,RUN-2025-04-05-01,FEE_VS_RATE_CARD,core.payments,PAY-0008,core.gateway_fees,FEE-0008,MATCHED,8.58,8.58,0.0,0,0,LEGITIMATE,TOL-FEE,2025-04-05T00:00:00Z,
rcn-00032,RUN-2025-04-05-01,BANK_VS_SETTLEMENT,core.settlements,SET-0008,core.bank_transactions,BNK-0008,MATCHED,418.83,418.83,0.0,0,0,LEGITIMATE,TOL-BANK,2025-04-05T00:00:00Z,
rcn-00033,RUN-2025-04-05-01,PAYMENT_VS_ORDER,core.orders,ORD-9,core.payments,PAY-0009,MATCHED,648.52,648.52,0.0,0,0,LEGITIMATE,TOL-PAYMENT,2025-04-05T00:00:00Z,
rcn-00034,RUN-2025-04-05-01,SETTLEMENT_VS_PAYMENT,core.payments,PAY-0009,core.settlements,SET-0009,MATCHED,645.46,644.24,1.22,0,0,LEGITIMATE,TOL-SETTLEMENT,2025-04-05T00:00:00Z,
rcn-00035,RUN-2025-04-05-01,FEE_VS_RATE_CARD,core.payments,PAY-0009,core.gateway_fees,FEE-0009,MISMATCH,2.59,3.81,-1.22,0,1.22,LEAKAGE,TOL-FEE,2025-04-05T00:00:00Z,LEAKAGE on FEE_VS_RATE_CARD
rcn-00036,RUN-2025-04-05-01,BANK_VS_SETTLEMENT,core.settlements,SET-0009,core.bank_transactions,BNK-0009,MATCHED,644.24,644.24,0.0,0,0,LEGITIMATE,TOL-BANK,2025-04-05T00:00:00Z,
rcn-00037,RUN-2025-04-05-01,PAYMENT_VS_ORDER,core.orders,ORD-10,core.payments,PAY-0010,MATCHED,674.79,674.79,0.0,0,0,LEGITIMATE,TOL-PAYMENT,2025-04-05T00:00:00Z,
rcn-00038,RUN-2025-04-05-01,SETTLEMENT_VS_PAYMENT,core.payments,PAY-0010,core.settlements,SET-0010,MATCHED,671.6,671.6,0.0,0,0,LEGITIMATE,TOL-SETTLEMENT,2025-04-05T00:00:00Z,
rcn-00039,RUN-2025-04-05-01,FEE_VS_RATE_CARD,core.payments,PAY-0010,core.gateway_fees,FEE-0010,MATCHED,2.7,2.7,0.0,0,0,LEGITIMATE,TOL-FEE,2025-04-05T00:00:00Z,
rcn-00040,RUN-2025-04-05-01,BANK_VS_SETTLEMENT,core.settlements,SET-0010,core.bank_transactions,BNK-0010,MATCHED,671.6,671.6,0.0,0,0,LEGITIMATE,TOL-BANK,2025-04-05T00:00:00Z,
rcn-00041,RUN-2025-04-05-01,PAYMENT_VS_ORDER,core.orders,ORD-11,core.payments,PAY-0011,MATCHED,302.13,302.13,0.0,0,0,LEGITIMATE,TOL-PAYMENT,2025-04-05T00:00:00Z,
rcn-00042,RUN-2025-04-05-01,SETTLEMENT_VS_PAYMENT,core.payments,PAY-0011,core.settlements,SET-0011,MATCHED,295.0,295.0,0.0,0,0,LEGITIMATE,TOL-SETTLEMENT,2025-04-05T00:00:00Z,
rcn-00043,RUN-2025-04-05-01,FEE_VS_RATE_CARD,core.payments,PAY-0011,core.gateway_fees,FEE-0011,MATCHED,6.04,6.04,0.0,0,0,LEGITIMATE,TOL-FEE,2025-04-05T00:00:00Z,
rcn-00044,RUN-2025-04-05-01,BANK_VS_SETTLEMENT,core.settlements,SET-0011,core.bank_transactions,BNK-0011,MATCHED,295.0,295.0,0.0,0,0,LEGITIMATE,TOL-BANK,2025-04-05T00:00:00Z,
rcn-00045,RUN-2025-04-05-01,PAYMENT_VS_ORDER,core.orders,ORD-12,core.payments,PAY-0012,MATCHED,1992.45,1992.45,0.0,0,0,LEGITIMATE,TOL-PAYMENT,2025-04-05T00:00:00Z,
rcn-00046,RUN-2025-04-05-01,SETTLEMENT_VS_PAYMENT,core.payments,PAY-0012,core.settlements,,UNMATCHED,1945.43,,,0,1945.43,LEAKAGE,TOL-SETTLEMENT,2025-04-05T00:00:00Z,LEAKAGE on SETTLEMENT_VS_PAYMENT
rcn-00047,RUN-2025-04-05-01,FEE_VS_RATE_CARD,core.payments,PAY-0012,core.gateway_fees,FEE-0012,MATCHED,39.85,39.85,0.0,0,0,LEGITIMATE,TOL-FEE,2025-04-05T00:00:00Z,
rcn-00048,RUN-2025-04-05-01,PAYMENT_VS_ORDER,core.orders,ORD-13,core.payments,PAY-0013,MATCHED,712.3,712.3,0.0,0,0,LEGITIMATE,TOL-PAYMENT,2025-04-05T00:00:00Z,
rcn-00049,RUN-2025-04-05-01,SETTLEMENT_VS_PAYMENT,core.payments,PAY-0013,core.settlements,SET-0013,MATCHED,708.94,708.94,0.0,0,0,LEGITIMATE,TOL-SETTLEMENT,2025-04-05T00:00:00Z,
rcn-00050,RUN-2025-04-05-01,FEE_VS_RATE_CARD,core.payments,PAY-0013,core.gateway_fees,FEE-0013,MATCHED,2.85,2.85,0.0,0,0,LEGITIMATE,TOL-FEE,2025-04-05T00:00:00Z,
rcn-00051,RUN-2025-04-05-01,BANK_VS_SETTLEMENT,core.settlements,SET-0013,core.bank_transactions,BNK-0013,MATCHED,708.94,708.94,0.0,0,0,LEGITIMATE,TOL-BANK,2025-04-05T00:00:00Z,
rcn-00052,RUN-2025-04-05-01,PAYMENT_VS_ORDER,core.orders,ORD-14,core.payments,PAY-0014,MATCHED,1511.29,1511.29,0.0,0,0,LEGITIMATE,TOL-PAYMENT,2025-04-05T00:00:00Z,
rcn-00053,RUN-2025-04-05-01,SETTLEMENT_VS_PAYMENT,core.payments,PAY-0014,core.settlements,SET-0014,MATCHED,983.73,983.73,0.0,0,0,LEGITIMATE,TOL-SETTLEMENT,2025-04-05T00:00:00Z,
rcn-00054,RUN-2025-04-05-01,FEE_VS_RATE_CARD,core.payments,PAY-0014,core.gateway_fees,FEE-0014,MATCHED,30.23,30.23,0.0,0,0,LEGITIMATE,TOL-FEE,2025-04-05T00:00:00Z,
rcn-00055,RUN-2025-04-05-01,BANK_VS_SETTLEMENT,core.settlements,SET-0014,core.bank_transactions,BNK-0014,MATCHED,983.73,983.73,0.0,0,0,LEGITIMATE,TOL-BANK,2025-04-05T00:00:00Z,
rcn-00056,RUN-2025-04-05-01,REFUND_VS_PAYMENT,core.payments,PAY-0014,core.refunds,REF-0014,MATCHED,501.93,501.93,0.0,0,0,LEGITIMATE,TOL-REFUND,2025-04-05T00:00:00Z,
rcn-00057,RUN-2025-04-05-01,PAYMENT_VS_ORDER,core.orders,ORD-15,core.payments,PAY-0015,MATCHED,522.09,522.09,0.0,0,0,LEGITIMATE,TOL-PAYMENT,2025-04-05T00:00:00Z,
rcn-00058,RUN-2025-04-05-01,SETTLEMENT_VS_PAYMENT,core.payments,PAY-0015,core.settlements,SET-0015,MATCHED,507.93,507.93,0.0,0,0,LEGITIMATE,TOL-SETTLEMENT,2025-04-05T00:00:00Z,
rcn-00059,RUN-2025-04-05-01,FEE_VS_RATE_CARD,core.payments,PAY-0015,core.gateway_fees,FEE-0015,MATCHED,12.0,12.0,0.0,0,0,LEGITIMATE,TOL-FEE,2025-04-05T00:00:00Z,
rcn-00060,RUN-2025-04-05-01,BANK_VS_SETTLEMENT,core.settlements,SET-0015,core.bank_transactions,BNK-0015,MATCHED,507.93,507.93,0.0,0,0,LEGITIMATE,TOL-BANK,2025-04-05T00:00:00Z,
rcn-00061,RUN-2025-04-05-01,PAYMENT_VS_ORDER,core.orders,ORD-16,core.payments,PAY-0016,MATCHED,1062.01,1062.01,0.0,0,0,LEGITIMATE,TOL-PAYMENT,2025-04-05T00:00:00Z,
rcn-00062,RUN-2025-04-05-01,SETTLEMENT_VS_PAYMENT,core.payments,PAY-0016,core.settlements,SET-0016,MISMATCH,604.35,595.52,8.83,0,8.83,LEAKAGE,TOL-SETTLEMENT,2025-04-05T00:00:00Z,LEAKAGE on SETTLEMENT_VS_PAYMENT
rcn-00063,RUN-2025-04-05-01,FEE_VS_RATE_CARD,core.payments,PAY-0016,core.gateway_fees,FEE-0016,MATCHED,21.24,21.24,0.0,0,0,LEGITIMATE,TOL-FEE,2025-04-05T00:00:00Z,
rcn-00064,RUN-2025-04-05-01,BANK_VS_SETTLEMENT,core.settlements,SET-0016,core.bank_transactions,BNK-0016,MATCHED,595.52,595.52,0.0,0,0,LEGITIMATE,TOL-BANK,2025-04-05T00:00:00Z,
rcn-00065,RUN-2025-04-05-01,REFUND_VS_PAYMENT,core.payments,PAY-0016,core.refunds,REF-0016,MATCHED,441.43,441.43,0.0,0,0,LEGITIMATE,TOL-REFUND,2025-04-05T00:00:00Z,
rcn-00066,RUN-2025-04-05-01,PAYMENT_VS_ORDER,core.orders,ORD-17,core.payments,PAY-0017,MATCHED,394.13,394.13,0.0,0,0,LEGITIMATE,TOL-PAYMENT,2025-04-05T00:00:00Z,
rcn-00067,RUN-2025-04-05-01,SETTLEMENT_VS_PAYMENT,core.payments,PAY-0017,core.settlements,SET-0017,MISMATCH,209.91,206.34,3.57,0,3.57,LEAKAGE,TOL-SETTLEMENT,2025-04-05T00:00:00Z,LEAKAGE on SETTLEMENT_VS_PAYMENT
rcn-00068,RUN-2025-04-05-01,FEE_VS_RATE_CARD,core.payments,PAY-0017,core.gateway_fees,FEE-0017,MATCHED,7.88,7.88,0.0,0,0,LEGITIMATE,TOL-FEE,2025-04-05T00:00:00Z,
rcn-00069,RUN-2025-04-05-01,BANK_VS_SETTLEMENT,core.settlements,SET-0017,core.bank_transactions,BNK-0017,MATCHED,206.34,206.34,0.0,0,0,LEGITIMATE,TOL-BANK,2025-04-05T00:00:00Z,
rcn-00070,RUN-2025-04-05-01,REFUND_VS_PAYMENT,core.payments,PAY-0017,core.refunds,REF-0017,MATCHED,178.49,178.49,0.0,0,0,LEGITIMATE,TOL-REFUND,2025-04-05T00:00:00Z,
rcn-00071,RUN-2025-04-05-01,PAYMENT_VS_ORDER,core.orders,ORD-18,core.payments,PAY-0018,MATCHED,390.76,390.76,0.0,0,0,LEGITIMATE,TOL-PAYMENT,2025-04-05T00:00:00Z,
rcn-00072,RUN-2025-04-05-01,SETTLEMENT_VS_PAYMENT,core.payments,PAY-0018,core.settlements,SET-0018,MATCHED,376.6,376.6,0.0,0,0,LEGITIMATE,TOL-SETTLEMENT,2025-04-05T00:00:00Z,
rcn-00073,RUN-2025-04-05-01,FEE_VS_RATE_CARD,core.payments,PAY-0018,core.gateway_fees,FEE-0018,MATCHED,12.0,12.0,0.0,0,0,LEGITIMATE,TOL-FEE,2025-04-05T00:00:00Z,
rcn-00074,RUN-2025-04-05-01,BANK_VS_SETTLEMENT,core.settlements,SET-0018,core.bank_transactions,BNK-0018,MATCHED,376.6,376.6,0.0,0,0,LEGITIMATE,TOL-BANK,2025-04-05T00:00:00Z,
rcn-00075,RUN-2025-04-05-01,PAYMENT_VS_ORDER,core.orders,ORD-19,core.payments,PAY-0019,MATCHED,1922.78,1922.78,0.0,0,0,LEGITIMATE,TOL-PAYMENT,2025-04-05T00:00:00Z,
rcn-00076,RUN-2025-04-05-01,SETTLEMENT_VS_PAYMENT,core.payments,PAY-0019,core.settlements,SET-0019,MATCHED,1877.4,1877.4,0.0,0,0,LEGITIMATE,TOL-SETTLEMENT,2025-04-05T00:00:00Z,
rcn-00077,RUN-2025-04-05-01,FEE_VS_RATE_CARD,core.payments,PAY-0019,core.gateway_fees,FEE-0019,MATCHED,38.46,38.46,0.0,0,0,LEGITIMATE,TOL-FEE,2025-04-05T00:00:00Z,
rcn-00078,RUN-2025-04-05-01,BANK_VS_SETTLEMENT,core.settlements,SET-0019,core.bank_transactions,BNK-0019,MATCHED,1877.4,1877.4,0.0,0,0,LEGITIMATE,TOL-BANK,2025-04-05T00:00:00Z,
rcn-00079,RUN-2025-04-05-01,PAYMENT_VS_ORDER,core.orders,ORD-20,core.payments,PAY-0020,MATCHED,1495.96,1495.96,0.0,0,0,LEGITIMATE,TOL-PAYMENT,2025-04-05T00:00:00Z,
rcn-00080,RUN-2025-04-05-01,SETTLEMENT_VS_PAYMENT,core.payments,PAY-0020,core.settlements,SET-0020,MATCHED,890.78,890.78,0.0,0,0,LEGITIMATE,TOL-SETTLEMENT,2025-04-05T00:00:00Z,
rcn-00081,RUN-2025-04-05-01,FEE_VS_RATE_CARD,core.payments,PAY-0020,core.gateway_fees,FEE-0020,MATCHED,12.0,12.0,0.0,0,0,LEGITIMATE,TOL-FEE,2025-04-05T00:00:00Z,
rcn-00082,RUN-2025-04-05-01,BANK_VS_SETTLEMENT,core.settlements,SET-0020,core.bank_transactions,BNK-0020,MATCHED,890.78,890.78,0.0,0,0,LEGITIMATE,TOL-BANK,2025-04-05T00:00:00Z,
rcn-00083,RUN-2025-04-05-01,REFUND_VS_PAYMENT,core.payments,PAY-0020,core.refunds,REF-0020,MATCHED,595.8,595.8,0.0,0,0,LEGITIMATE,TOL-REFUND,2025-04-05T00:00:00Z,
rcn-00084,RUN-2025-04-05-01,PAYMENT_VS_ORDER,core.orders,ORD-21,core.payments,PAY-0021,MATCHED,386.48,386.48,0.0,0,0,LEGITIMATE,TOL-PAYMENT,2025-04-05T00:00:00Z,
rcn-00085,RUN-2025-04-05-01,SETTLEMENT_VS_PAYMENT,core.payments,PAY-0021,core.settlements,SET-0021,MATCHED,377.36,377.36,0.0,0,0,LEGITIMATE,TOL-SETTLEMENT,2025-04-05T00:00:00Z,
rcn-00086,RUN-2025-04-05-01,FEE_VS_RATE_CARD,core.payments,PAY-0021,core.gateway_fees,FEE-0021,MATCHED,7.73,7.73,0.0,0,0,LEGITIMATE,TOL-FEE,2025-04-05T00:00:00Z,
rcn-00087,RUN-2025-04-05-01,BANK_VS_SETTLEMENT,core.settlements,SET-0021,core.bank_transactions,BNK-0021,MATCHED,377.36,377.36,0.0,0,0,LEGITIMATE,TOL-BANK,2025-04-05T00:00:00Z,
rcn-00088,RUN-2025-04-05-01,PAYMENT_VS_ORDER,core.orders,ORD-22,core.payments,PAY-0022,MATCHED,646.09,646.09,0.0,0,0,LEGITIMATE,TOL-PAYMENT,2025-04-05T00:00:00Z,
rcn-00089,RUN-2025-04-05-01,SETTLEMENT_VS_PAYMENT,core.payments,PAY-0022,core.settlements,SET-0022,MATCHED,630.84,630.84,0.0,0,0,LEGITIMATE,TOL-SETTLEMENT,2025-04-05T00:00:00Z,
rcn-00090,RUN-2025-04-05-01,FEE_VS_RATE_CARD,core.payments,PAY-0022,core.gateway_fees,FEE-0022,MATCHED,12.92,12.92,0.0,0,0,LEGITIMATE,TOL-FEE,2025-04-05T00:00:00Z,
rcn-00091,RUN-2025-04-05-01,BANK_VS_SETTLEMENT,core.settlements,SET-0022,core.bank_transactions,BNK-0022,MATCHED,630.84,630.84,0.0,0,0,LEGITIMATE,TOL-BANK,2025-04-05T00:00:00Z,
rcn-00092,RUN-2025-04-05-01,PAYMENT_VS_ORDER,core.orders,ORD-23,core.payments,PAY-0023,MATCHED,2138.65,2138.65,0.0,0,0,LEGITIMATE,TOL-PAYMENT,2025-04-05T00:00:00Z,
rcn-00093,RUN-2025-04-05-01,SETTLEMENT_VS_PAYMENT,core.payments,PAY-0023,core.settlements,SET-0023,MATCHED,2128.56,2128.56,0.0,0,0,LEGITIMATE,TOL-SETTLEMENT,2025-04-05T00:00:00Z,
rcn-00094,RUN-2025-04-05-01,FEE_VS_RATE_CARD,core.payments,PAY-0023,core.gateway_fees,FEE-0023,MATCHED,8.55,8.55,0.0,0,0,LEGITIMATE,TOL-FEE,2025-04-05T00:00:00Z,
rcn-00095,RUN-2025-04-05-01,BANK_VS_SETTLEMENT,core.settlements,SET-0023,core.bank_transactions,BNK-0023,MATCHED,2128.56,2128.56,0.0,0,0,LEGITIMATE,TOL-BANK,2025-04-05T00:00:00Z,
rcn-00096,RUN-2025-04-05-01,PAYMENT_VS_ORDER,core.orders,ORD-24,core.payments,PAY-0024,MATCHED,20063.33,20063.33,0.0,0,0,LEGITIMATE,TOL-PAYMENT,2025-04-05T00:00:00Z,
rcn-00097,RUN-2025-04-05-01,SETTLEMENT_VS_PAYMENT,core.payments,PAY-0024,core.settlements,SET-0024,MATCHED,19589.83,19589.83,0.0,0,0,LEGITIMATE,TOL-SETTLEMENT,2025-04-05T00:00:00Z,
rcn-00098,RUN-2025-04-05-01,FEE_VS_RATE_CARD,core.payments,PAY-0024,core.gateway_fees,FEE-0024,MATCHED,401.27,401.27,0.0,0,0,LEGITIMATE,TOL-FEE,2025-04-05T00:00:00Z,
rcn-00099,RUN-2025-04-05-01,BANK_VS_SETTLEMENT,core.settlements,SET-0024,core.bank_transactions,BNK-0024,MATCHED,19589.83,19589.83,0.0,0,0,LEGITIMATE,TOL-BANK,2025-04-05T00:00:00Z,
rcn-00100,RUN-2025-04-05-01,PAYMENT_VS_ORDER,core.orders,ORD-25,core.payments,PAY-0025,MATCHED,2913.59,2913.59,0.0,0,0,LEGITIMATE,TOL-PAYMENT,2025-04-05T00:00:00Z,
rcn-00101,RUN-2025-04-05-01,SETTLEMENT_VS_PAYMENT,core.payments,PAY-0025,core.settlements,,UNMATCHED,1541.86,,,0,1541.86,LEAKAGE,TOL-SETTLEMENT,2025-04-05T00:00:00Z,LEAKAGE on SETTLEMENT_VS_PAYMENT
rcn-00102,RUN-2025-04-05-01,FEE_VS_RATE_CARD,core.payments,PAY-0025,core.gateway_fees,FEE-0025,MATCHED,58.27,58.27,0.0,0,0,LEGITIMATE,TOL-FEE,2025-04-05T00:00:00Z,
rcn-00103,RUN-2025-04-05-01,REFUND_VS_PAYMENT,core.payments,PAY-0025,core.refunds,REF-0025,MATCHED,1329.56,1329.56,0.0,0,0,LEGITIMATE,TOL-REFUND,2025-04-05T00:00:00Z,
rcn-00104,RUN-2025-04-05-01,PAYMENT_VS_ORDER,core.orders,ORD-26,core.payments,PAY-0026,MATCHED,609.38,609.38,0.0,0,0,LEGITIMATE,TOL-PAYMENT,2025-04-05T00:00:00Z,
rcn-00105,RUN-2025-04-05-01,SETTLEMENT_VS_PAYMENT,core.payments,PAY-0026,core.settlements,SET-0026,MATCHED,595.0,595.0,0.0,0,0,LEGITIMATE,TOL-SETTLEMENT,2025-04-05T00:00:00Z,
rcn-00106,RUN-2025-04-05-01,FEE_VS_RATE_CARD,core.payments,PAY-0026,core.gateway_fees,FEE-0026,MATCHED,12.19,12.19,0.0,0,0,LEGITIMATE,TOL-FEE,2025-04-05T00:00:00Z,
rcn-00107,RUN-2025-04-05-01,BANK_VS_SETTLEMENT,core.settlements,SET-0026,core.bank_transactions,BNK-0026,MATCHED,595.0,595.0,0.0,0,0,LEGITIMATE,TOL-BANK,2025-04-05T00:00:00Z,
rcn-00108,RUN-2025-04-05-01,PAYMENT_VS_ORDER,core.orders,ORD-27,core.payments,PAY-0027,MATCHED,918.18,918.18,0.0,0,0,LEGITIMATE,TOL-PAYMENT,2025-04-05T00:00:00Z,
rcn-00109,RUN-2025-04-05-01,SETTLEMENT_VS_PAYMENT,core.payments,PAY-0027,core.settlements,SET-0027,MATCHED,913.85,913.85,0.0,0,0,LEGITIMATE,TOL-SETTLEMENT,2025-04-05T00:00:00Z,
rcn-00110,RUN-2025-04-05-01,FEE_VS_RATE_CARD,core.payments,PAY-0027,core.gateway_fees,FEE-0027,MATCHED,3.67,3.67,0.0,0,0,LEGITIMATE,TOL-FEE,2025-04-05T00:00:00Z,
rcn-00111,RUN-2025-04-05-01,BANK_VS_SETTLEMENT,core.settlements,SET-0027,core.bank_transactions,,UNMATCHED,913.85,,,0,913.85,LEAKAGE,TOL-BANK,2025-04-05T00:00:00Z,LEAKAGE on BANK_VS_SETTLEMENT
rcn-00112,RUN-2025-04-05-01,PAYMENT_VS_ORDER,core.orders,ORD-28,core.payments,PAY-0028,MATCHED,4571.73,4571.73,0.0,0,0,LEGITIMATE,TOL-PAYMENT,2025-04-05T00:00:00Z,
rcn-00113,RUN-2025-04-05-01,SETTLEMENT_VS_PAYMENT,core.payments,PAY-0028,core.settlements,SET-0028,MATCHED,4463.84,4463.84,0.0,0,0,LEGITIMATE,TOL-SETTLEMENT,2025-04-05T00:00:00Z,
rcn-00114,RUN-2025-04-05-01,FEE_VS_RATE_CARD,core.payments,PAY-0028,core.gateway_fees,FEE-0028,MATCHED,91.43,91.43,0.0,0,0,LEGITIMATE,TOL-FEE,2025-04-05T00:00:00Z,
