identity_match_id,entity_type,left_system,left_entity,left_record_id,right_system,right_entity,right_record_id,match_method,confidence,status,conflict_detail,matched_at
idm-00018,INVOICE,SHOPIFY,core.orders,ORD-9,ACCOUNTING,core.invoices,INV-0009,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00019,ORDER,SHOPIFY,core.orders,ORD-10,RAZORPAY,core.payments,PAY-0010,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00020,INVOICE,SHOPIFY,core.orders,ORD-10,ACCOUNTING,core.invoices,INV-0010,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00021,ORDER,SHOPIFY,core.orders,ORD-11,RAZORPAY,core.payments,PAY-0011,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00022,INVOICE,SHOPIFY,core.orders,ORD-11,ACCOUNTING,core.invoices,INV-0011,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00023,ORDER,SHOPIFY,core.orders,ORD-12,RAZORPAY,core.payments,PAY-0012,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00024,INVOICE,SHOPIFY,core.orders,ORD-12,ACCOUNTING,core.invoices,INV-0012,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00025,ORDER,SHOPIFY,core.orders,ORD-13,RAZORPAY,core.payments,PAY-0013,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00026,INVOICE,SHOPIFY,core.orders,ORD-13,ACCOUNTING,core.invoices,INV-0013,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00027,ORDER,SHOPIFY,core.orders,ORD-14,RAZORPAY,core.payments,PAY-0014,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00028,INVOICE,SHOPIFY,core.orders,ORD-14,ACCOUNTING,core.invoices,INV-0014,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00029,ORDER,SHOPIFY,core.orders,ORD-15,RAZORPAY,core.payments,PAY-0015,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00030,INVOICE,SHOPIFY,core.orders,ORD-15,ACCOUNTING,core.invoices,INV-0015,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00031,ORDER,SHOPIFY,core.orders,ORD-16,RAZORPAY,core.payments,PAY-0016,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00032,INVOICE,SHOPIFY,core.orders,ORD-16,ACCOUNTING,core.invoices,INV-0016,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00033,ORDER,SHOPIFY,core.orders,ORD-17,RAZORPAY,core.payments,PAY-0017,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00034,INVOICE,SHOPIFY,core.orders,ORD-17,ACCOUNTING,core.invoices,INV-0017,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00035,ORDER,SHOPIFY,core.orders,ORD-18,RAZORPAY,core.payments,PAY-0018,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00036,INVOICE,SHOPIFY,core.orders,ORD-18,ACCOUNTING,core.invoices,INV-0018,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00037,ORDER,SHOPIFY,core.orders,ORD-19,RAZORPAY,core.payments,PAY-0019,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00038,INVOICE,SHOPIFY,core.orders,ORD-19,ACCOUNTING,core.invoices,INV-0019,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00039,ORDER,SHOPIFY,core.orders,ORD-20,RAZORPAY,core.payments,PAY-0020,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00040,INVOICE,SHOPIFY,core.orders,ORD-20,ACCOUNTING,core.invoices,INV-0020,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00041,ORDER,SHOPIFY,core.orders,ORD-21,RAZORPAY,core.payments,PAY-0021,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00042,INVOICE,SHOPIFY,core.orders,ORD-21,ACCOUNTING,core.invoices,INV-0021,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00043,ORDER,SHOPIFY,core.orders,ORD-22,RAZORPAY,core.payments,PAY-0022,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00044,INVOICE,SHOPIFY,core.orders,ORD-22,ACCOUNTING,core.invoices,INV-0022,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00045,ORDER,SHOPIFY,core.orders,ORD-23,RAZORPAY,core.payments,PAY-0023,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00046,INVOICE,SHOPIFY,core.orders,ORD-23,ACCOUNTING,core.invoices,INV-0023,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00047,ORDER,SHOPIFY,core.orders,ORD-24,RAZORPAY,core.payments,PAY-0024,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00048,INVOICE,SHOPIFY,core.orders,ORD-24,ACCOUNTING,core.invoices,INV-0024,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00049,ORDER,SHOPIFY,core.orders,ORD-25,RAZORPAY,core.payments,PAY-0025,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00050,INVOICE,SHOPIFY,core.orders,ORD-25,ACCOUNTING,core.invoices,INV-0025,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00051,ORDER,SHOPIFY,core.orders,ORD-26,RAZORPAY,core.payments,PAY-0026,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00052,INVOICE,SHOPIFY,core.orders,ORD-26,ACCOUNTING,core.invoices,INV-0026,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00053,ORDER,SHOPIFY,core.orders,ORD-27,RAZORPAY,core.payments,PAY-0027,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00054,INVOICE,SHOPIFY,core.orders,ORD-27,ACCOUNTING,core.invoices,INV-0027,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00055,ORDER,SHOPIFY,core.orders,ORD-28,RAZORPAY,core.payments,PAY-0028,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00056,INVOICE,SHOPIFY,core.orders,ORD-28,ACCOUNTING,core.invoices,INV-0028,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00057,ORDER,SHOPIFY,core.orders,ORD-29,RAZORPAY,core.payments,PAY-0029,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00058,INVOICE,SHOPIFY,core.orders,ORD-29,ACCOUNTING,core.invoices,INV-0029,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00059,ORDER,SHOPIFY,core.orders,ORD-30,RAZORPAY,core.payments,PAY-0030,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00060,INVOICE,SHOPIFY,core.orders,ORD-30,ACCOUNTING,core.invoices,INV-0030,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00061,ORDER,SHOPIFY,core.orders,ORD-31,RAZORPAY,core.payments,PAY-0031,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00062,INVOICE,SHOPIFY,core.orders,ORD-31,ACCOUNTING,core.invoices,INV-0031,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00063,ORDER,SHOPIFY,core.orders,ORD-32,RAZORPAY,core.payments,PAY-0032,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00064,INVOICE,SHOPIFY,core.orders,ORD-32,ACCOUNTING,core.invoices,INV-0032,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00065,ORDER,SHOPIFY,core.orders,ORD-33,RAZORPAY,core.payments,PAY-0033,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00066,INVOICE,SHOPIFY,core.orders,ORD-33,ACCOUNTING,core.invoices,INV-0033,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00067,ORDER,SHOPIFY,core.orders,ORD-34,RAZORPAY,core.payments,PAY-0034,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00068,INVOICE,SHOPIFY,core.orders,ORD-34,ACCOUNTING,core.invoices,INV-0034,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00069,ORDER,SHOPIFY,core.orders,ORD-35,RAZORPAY,core.payments,PAY-0035,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00070,INVOICE,SHOPIFY,core.orders,ORD-35,ACCOUNTING,core.invoices,INV-0035,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00071,ORDER,SHOPIFY,core.orders,ORD-36,RAZORPAY,core.payments,PAY-0036,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00072,INVOICE,SHOPIFY,core.orders,ORD-36,ACCOUNTING,core.invoices,INV-0036,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00073,ORDER,SHOPIFY,core.orders,ORD-37,RAZORPAY,core.payments,PAY-0037,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00074,INVOICE,SHOPIFY,core.orders,ORD-37,ACCOUNTING,core.invoices,INV-0037,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00075,ORDER,SHOPIFY,core.orders,ORD-38,RAZORPAY,core.payments,PAY-0038,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00076,INVOICE,SHOPIFY,core.orders,ORD-38,ACCOUNTING,core.invoices,INV-0038,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00077,ORDER,SHOPIFY,core.orders,ORD-39,RAZORPAY,core.payments,PAY-0039,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00078,INVOICE,SHOPIFY,core.orders,ORD-39,ACCOUNTING,core.invoices,INV-0039,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00079,ORDER,SHOPIFY,core.orders,ORD-40,RAZORPAY,core.payments,PAY-0040,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00080,INVOICE,SHOPIFY,core.orders,ORD-40,ACCOUNTING,core.invoices,INV-0040,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00081,ORDER,SHOPIFY,core.orders,ORD-41,RAZORPAY,core.payments,PAY-0041,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00082,INVOICE,SHOPIFY,core.orders,ORD-41,ACCOUNTING,core.invoices,INV-0041,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00083,ORDER,SHOPIFY,core.orders,ORD-42,RAZORPAY,core.payments,PAY-0042,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00084,INVOICE,SHOPIFY,core.orders,ORD-42,ACCOUNTING,core.invoices,INV-0042,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00085,ORDER,SHOPIFY,core.orders,ORD-43,RAZORPAY,core.payments,PAY-0043,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00086,INVOICE,SHOPIFY,core.orders,ORD-43,ACCOUNTING,core.invoices,INV-0043,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00087,ORDER,SHOPIFY,core.orders,ORD-44,RAZORPAY,core.payments,PAY-0044,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00088,INVOICE,SHOPIFY,core.orders,ORD-44,ACCOUNTING,core.invoices,INV-0044,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00089,ORDER,SHOPIFY,core.orders,ORD-45,RAZORPAY,core.payments,PAY-0045,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00090,INVOICE,SHOPIFY,core.orders,ORD-45,ACCOUNTING,core.invoices,INV-0045,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00091,ORDER,SHOPIFY,core.orders,ORD-46,RAZORPAY,core.payments,PAY-0046,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00092,INVOICE,SHOPIFY,core.orders,ORD-46,ACCOUNTING,core.invoices,INV-0046,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00093,ORDER,SHOPIFY,core.orders,ORD-47,RAZORPAY,core.payments,PAY-0047,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00094,INVOICE,SHOPIFY,core.orders,ORD-47,ACCOUNTING,core.invoices,INV-0047,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00095,ORDER,SHOPIFY,core.orders,ORD-48,RAZORPAY,core.payments,PAY-0048,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00096,INVOICE,SHOPIFY,core.orders,ORD-48,ACCOUNTING,core.invoices,INV-0048,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00097,ORDER,SHOPIFY,core.orders,ORD-49,RAZORPAY,core.payments,PAY-0049,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00098,INVOICE,SHOPIFY,core.orders,ORD-49,ACCOUNTING,core.invoices,INV-0049,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00099,ORDER,SHOPIFY,core.orders,ORD-50,RAZORPAY,core.payments,PAY-0050,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00100,INVOICE,SHOPIFY,core.orders,ORD-50,ACCOUNTING,core.invoices,INV-0050,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00101,ORDER,SHOPIFY,core.orders,ORD-51,RAZORPAY,core.payments,PAY-0051,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00102,INVOICE,SHOPIFY,core.orders,ORD-51,ACCOUNTING,core.invoices,INV-0051,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00103,ORDER,SHOPIFY,core.orders,ORD-52,RAZORPAY,core.payments,PAY-0052,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00104,INVOICE,SHOPIFY,core.orders,ORD-52,ACCOUNTING,core.invoices,INV-0052,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00105,ORDER,SHOPIFY,core.orders,ORD-53,RAZORPAY,core.payments,PAY-0053,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00106,INVOICE,SHOPIFY,core.orders,ORD-53,ACCOUNTING,core.invoices,INV-0053,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00107,ORDER,SHOPIFY,core.orders,ORD-54,RAZORPAY,core.payments,PAY-0054,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00108,INVOICE,SHOPIFY,core.orders,ORD-54,ACCOUNTING,core.invoices,INV-0054,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00109,ORDER,SHOPIFY,core.orders,ORD-55,RAZORPAY,core.payments,PAY-0055,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00110,INVOICE,SHOPIFY,core.orders,ORD-55,ACCOUNTING,core.invoices,INV-0055,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00111,ORDER,SHOPIFY,core.orders,ORD-56,RAZORPAY,core.payments,PAY-0056,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00112,INVOICE,SHOPIFY,core.orders,ORD-56,ACCOUNTING,core.invoices,INV-0056,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00113,ORDER,SHOPIFY,core.orders,ORD-57,RAZORPAY,core.payments,PAY-0057,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00114,INVOICE,SHOPIFY,core.orders,ORD-57,ACCOUNTING,core.invoices,INV-0057,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00115,ORDER,SHOPIFY,core.orders,ORD-58,RAZORPAY,core.payments,PAY-0058,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00116,INVOICE,SHOPIFY,core.orders,ORD-58,ACCOUNTING,core.invoices,INV-0058,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00117,ORDER,SHOPIFY,core.orders,ORD-59,RAZORPAY,core.payments,PAY-0059,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00118,INVOICE,SHOPIFY,core.orders,ORD-59,ACCOUNTING,core.invoices,INV-0059,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00119,ORDER,SHOPIFY,core.orders,ORD-60,RAZORPAY,core.payments,PAY-0060,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00120,INVOICE,SHOPIFY,core.orders,ORD-60,ACCOUNTING,core.invoices,INV-0060,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00121,ORDER,SHOPIFY,core.orders,ORD-61,RAZORPAY,core.payments,PAY-0061,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00122,INVOICE,SHOPIFY,core.orders,ORD-61,ACCOUNTING,core.invoices,INV-0061,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00123,ORDER,SHOPIFY,core.orders,ORD-62,RAZORPAY,core.payments,PAY-0062,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00124,INVOICE,SHOPIFY,core.orders,ORD-62,ACCOUNTING,core.invoices,INV-0062,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00125,ORDER,SHOPIFY,core.orders,ORD-63,RAZORPAY,core.payments,PAY-0063,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00126,INVOICE,SHOPIFY,core.orders,ORD-63,ACCOUNTING,core.invoices,INV-0063,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00127,ORDER,SHOPIFY,core.orders,ORD-64,RAZORPAY,core.payments,PAY-0064,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00128,INVOICE,SHOPIFY,core.orders,ORD-64,ACCOUNTING,core.invoices,INV-0064,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00129,ORDER,SHOPIFY,core.orders,ORD-65,RAZORPAY,core.payments,PAY-0065,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00130,INVOICE,SHOPIFY,core.orders,ORD-65,ACCOUNTING,core.invoices,INV-0065,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00131,ORDER,SHOPIFY,core.orders,ORD-66,RAZORPAY,core.payments,PAY-0066,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00132,INVOICE,SHOPIFY,core.orders,ORD-66,ACCOUNTING,core.invoices,INV-0066,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00133,ORDER,SHOPIFY,core.orders,ORD-67,RAZORPAY,core.payments,PAY-0067,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00134,INVOICE,SHOPIFY,core.orders,ORD-67,ACCOUNTING,core.invoices,INV-0067,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00135,ORDER,SHOPIFY,core.orders,ORD-68,RAZORPAY,core.payments,PAY-0068,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00136,INVOICE,SHOPIFY,core.orders,ORD-68,ACCOUNTING,core.invoices,INV-0068,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00137,ORDER,SHOPIFY,core.orders,ORD-69,RAZORPAY,core.payments,PAY-0069,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00138,INVOICE,SHOPIFY,core.orders,ORD-69,ACCOUNTING,core.invoices,INV-0069,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00139,ORDER,SHOPIFY,core.orders,ORD-70,RAZORPAY,core.payments,PAY-0070,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00140,INVOICE,SHOPIFY,core.orders,ORD-70,ACCOUNTING,core.invoices,INV-0070,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00141,ORDER,SHOPIFY,core.orders,ORD-71,RAZORPAY,core.payments,PAY-0071,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00142,INVOICE,SHOPIFY,core.orders,ORD-71,ACCOUNTING,core.invoices,INV-0071,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00143,ORDER,SHOPIFY,core.orders,ORD-72,RAZORPAY,core.payments,PAY-0072,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00144,INVOICE,SHOPIFY,core.orders,ORD-72,ACCOUNTING,core.invoices,INV-0072,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00145,ORDER,SHOPIFY,core.orders,ORD-73,RAZORPAY,core.payments,PAY-0073,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00146,INVOICE,SHOPIFY,core.orders,ORD-73,ACCOUNTING,core.invoices,INV-0073,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00147,ORDER,SHOPIFY,core.orders,ORD-74,RAZORPAY,core.payments,PAY-0074,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00148,INVOICE,SHOPIFY,core.orders,ORD-74,ACCOUNTING,core.invoices,INV-0074,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00149,ORDER,SHOPIFY,core.orders,ORD-75,RAZORPAY,core.payments,PAY-0075,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00150,INVOICE,SHOPIFY,core.orders,ORD-75,ACCOUNTING,core.invoices,INV-0075,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00151,ORDER,SHOPIFY,core.orders,ORD-76,RAZORPAY,core.payments,PAY-0076,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00152,INVOICE,SHOPIFY,core.orders,ORD-76,ACCOUNTING,core.invoices,INV-0076,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00153,ORDER,SHOPIFY,core.orders,ORD-77,RAZORPAY,core.payments,PAY-0077,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00154,INVOICE,SHOPIFY,core.orders,ORD-77,ACCOUNTING,core.invoices,INV-0077,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00155,ORDER,SHOPIFY,core.orders,ORD-78,RAZORPAY,core.payments,PAY-0078,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00156,INVOICE,SHOPIFY,core.orders,ORD-78,ACCOUNTING,core.invoices,INV-0078,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00157,ORDER,SHOPIFY,core.orders,ORD-79,RAZORPAY,core.payments,PAY-0079,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00158,INVOICE,SHOPIFY,core.orders,ORD-79,ACCOUNTING,core.invoices,INV-0079,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00159,ORDER,SHOPIFY,core.orders,ORD-80,RAZORPAY,core.payments,PAY-0080,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00160,INVOICE,SHOPIFY,core.orders,ORD-80,ACCOUNTING,core.invoices,INV-0080,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
