evidence_id,case_id,recon_result_id,evidence_kind,source_system,source_reference,description,payload_sha256,collected_at
EVID-00021,CASE-0006,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000017axkkkk,raw gateway payload for payment pay_000017axkkkk,b6855338731bb0b375a32d5ff7eea8118489333709fa4f6ef97c3ca26802c67f,2025-04-05T00:00:00Z
EVID-00022,CASE-0007,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00007,SETTLEMENT_MISMATCH detected 1541.86 by FR-SETTLE-TIMING-001,8eace7ad702c56af7dbe493924acfc6654dddf9905f14dc1407c3c9974a0c92f,2025-04-05T00:00:00Z
EVID-00023,CASE-0007,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-SETTLE-TIMING-001,rule FR-SETTLE-TIMING-001 evaluated to LEAKAGE,b79283de7eb4efad69416f338e689ba8b43387b257b2380aac57faaf97f63c92,2025-04-05T00:00:00Z
EVID-00024,CASE-0007,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000025axkkkkkkkk,raw gateway payload for payment pay_000025axkkkkkkkk,482e413bc22d2cc1053ece16e89bc6e380e6202281e335889ae6b0f16e9139f3,2025-04-05T00:00:00Z
EVID-00025,CASE-0008,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00008,FEE_DISCREPANCY detected 5.17 by FR-FEE-EXCESS-001,c36f25611250c55af463f22ded7751cbbc80044bd282f38f68d9d538f62fc126,2025-04-05T00:00:00Z
EVID-00026,CASE-0008,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-FEE-EXCESS-001,rule FR-FEE-EXCESS-001 evaluated to LEAKAGE,18e4922bc2fbccb34065841df19ecca8ad722ef5520b627395baea588966de17,2025-04-05T00:00:00Z
EVID-00027,CASE-0008,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000035axkkkkkkkkkk,raw gateway payload for payment pay_000035axkkkkkkkkkk,d4a50f917aa875d6cb44c31a95f12d275f483e171f2394f4f143231e724d5f5f,2025-04-05T00:00:00Z
EVID-00028,CASE-0008,,RATE_CARD,CFG,cfg.rate_cards:RC-UPI-2025,applicable rate card RC-UPI-2025,6c366592a22d55351ed96af92fc67fb55c824bdc45180501b49acb478d3fc036,2025-04-05T00:00:00Z
EVID-00029,CASE-0009,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00009,SETTLEMENT_MISMATCH detected 294.24 by FR-SETTLE-CALC-001,aba41800bed0803dc21b11367fc4f6c368329e69a8eee3980fd0dcd6ce094e9a,2025-04-05T00:00:00Z
EVID-00030,CASE-0009,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-SETTLE-CALC-001,rule FR-SETTLE-CALC-001 evaluated to LEAKAGE,92721a1d592e667cfec36d980c4968dd25d2353654d60ceb830b5efa79ba2985,2025-04-05T00:00:00Z
EVID-00031,CASE-0009,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000036axkkkkkk,raw gateway payload for payment pay_000036axkkkkkk,94b0b85e8871f0d50e439356b8e2ecae8d0759c23c21df66e7339ca74c13ffde,2025-04-05T00:00:00Z
EVID-00032,CASE-0010,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00010,FEE_DISCREPANCY detected 2.28 by FR-FEE-EXCESS-001,324e87c9dc8af82b754ac49f98c1fc52c4d71dabf6fd17f4d17ad3fac6af6d17,2025-04-05T00:00:00Z
EVID-00033,CASE-0010,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-FEE-EXCESS-001,rule FR-FEE-EXCESS-001 evaluated to LEAKAGE,18e4922bc2fbccb34065841df19ecca8ad722ef5520b627395baea588966de17,2025-04-05T00:00:00Z
EVID-00034,CASE-0010,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000041axkkkkkk,raw gateway payload for payment pay_000041axkkkkkk,f03ee23fc39d2941304ff4554b1c77df5c61d3a3b48918dbbe5fed3d4141cd6a,2025-04-05T00:00:00Z
EVID-00035,CASE-0010,,RATE_CARD,CFG,cfg.rate_cards:RC-UPI-2025,applicable rate card RC-UPI-2025,6c366592a22d55351ed96af92fc67fb55c824bdc45180501b49acb478d3fc036,2025-04-05T00:00:00Z
EVID-00036,CASE-0011,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00011,REFUND_ECONOMICS detected 9.94 by FR-REFUND-ECON-001,c4493a6c4b107b731c4939d345e2eea0920d10b82f26ad68e6a27f2e8e68e8e1,2025-04-05T00:00:00Z
EVID-00037,CASE-0011,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-REFUND-ECON-001,rule FR-REFUND-ECON-001 evaluated to LEAKAGE,072d2128cf5c3e963a54ce66aed510d191691f928efa61d5d53195f5ca83dd54,2025-04-05T00:00:00Z
EVID-00038,CASE-0011,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000048axkkkkkkkkkk,raw gateway payload for payment pay_000048axkkkkkkkkkk,550ea7a8eb4f318db97ee3e40c37f781e5d97c05483a924b54df2cd2ac9e0344,2025-04-05T00:00:00Z
EVID-00039,CASE-0012,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00012,FEE_DISCREPANCY detected 3.93 by FR-FEE-EXCESS-001,ded38bee4089bf7519a493dc2a307f90d34d4957ab1e7f39a7985eca3eb98a5b,2025-04-05T00:00:00Z
EVID-00040,CASE-0012,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-FEE-EXCESS-001,rule FR-FEE-EXCESS-001 evaluated to LEAKAGE,18e4922bc2fbccb34065841df19ecca8ad722ef5520b627395baea588966de17,2025-04-05T00:00:00Z
EVID-00041,CASE-0012,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000050axkkkkkkkk,raw gateway payload for payment pay_000050axkkkkkkkk,5a7b1658d76725ca58e56a1c4235fc588d8c4024e504aa55b724cd8a8e52bd42,2025-04-05T00:00:00Z
EVID-00042,CASE-0012,,RATE_CARD,CFG,cfg.rate_cards:RC-UPI-2025,applicable rate card RC-UPI-2025,6c366592a22d55351ed96af92fc67fb55c824bdc45180501b49acb478d3fc036,2025-04-05T00:00:00Z
EVID-00043,CASE-0013,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00013,FEE_DISCREPANCY detected 5.38 by FR-FEE-EXCESS-001,9d97f793fa4b7df08f9f9c5dad1b1d95281267591f96f68bcd3ab33bfa74a2d4,2025-04-05T00:00:00Z
EVID-00044,CASE-0013,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-FEE-EXCESS-001,rule FR-FEE-EXCESS-001 evaluated to LEAKAGE,18e4922bc2fbccb34065841df19ecca8ad722ef5520b627395baea588966de17,2025-04-05T00:00:00Z
EVID-00045,CASE-0013,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000051axkkkkkkk,raw gateway payload for payment pay_000051axkkkkkkk,aea1e276b78d4624a8287b939350dae353467826e4d1a1cbb8dd34c1b9e5661e,2025-04-05T00:00:00Z
EVID-00046,CASE-0013,,RATE_CARD,CFG,cfg.rate_cards:RC-EMI-2025,applicable rate card RC-EMI-2025,b8d32f48bd7ee27d6c2204bd6f5d555a39e87c22e29aecc73e00ccc767ac21f5,2025-04-05T00:00:00Z
EVID-00047,CASE-0014,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00014,REFUND_ECONOMICS detected 5.34 by FR-REFUND-ECON-001,a912fd63c5504362b914b1dceceea8fc17fdb6dd88faf351cf56b058b7587c41,2025-04-05T00:00:00Z
EVID-00048,CASE-0014,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-REFUND-ECON-001,rule FR-REFUND-ECON-001 evaluated to LEAKAGE,072d2128cf5c3e963a54ce66aed510d191691f928efa61d5d53195f5ca83dd54,2025-04-05T00:00:00Z
EVID-00049,CASE-0014,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000054axkkkkkkkk,raw gateway payload for payment pay_000054axkkkkkkkk,e3ace99c029939839be63fead846fa3afbc14588ecfd35885fb20b39c36a04d6,2025-04-05T00:00:00Z
EVID-00050,CASE-0015,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00015,REFUND_ECONOMICS detected 17.8 by FR-REFUND-ECON-001,f07b29a5a9a2d8892ebbb949a9341dc5126ff3d9506eab25d89b1929650e052c,2025-04-05T00:00:00Z
EVID-00051,CASE-0015,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-REFUND-ECON-001,rule FR-REFUND-ECON-001 evaluated to LEAKAGE,072d2128cf5c3e963a54ce66aed510d191691f928efa61d5d53195f5ca83dd54,2025-04-05T00:00:00Z
EVID-00052,CASE-0015,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000056axkkkkkkk,raw gateway payload for payment pay_000056axkkkkkkk,e21c575e6a783de691265cdf05ef5a83eaa619bca08d5f58ca126750516962cf,2025-04-05T00:00:00Z
EVID-00053,CASE-0016,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00016,FEE_DISCREPANCY detected 13.9 by FR-FEE-EXCESS-001,da08425b88328c12b3e3522bc77df32c3f5258201949e9867d64f3d7cc0743d3,2025-04-05T00:00:00Z
EVID-00054,CASE-0016,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-FEE-EXCESS-001,rule FR-FEE-EXCESS-001 evaluated to LEAKAGE,18e4922bc2fbccb34065841df19ecca8ad722ef5520b627395baea588966de17,2025-04-05T00:00:00Z
EVID-00055,CASE-0016,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000065axkkkkk,raw gateway payload for payment pay_000065axkkkkk,de0ae53d9449043fac53db9091bfb86650b271060d23d12ac4c293f6b56e59cd,2025-04-05T00:00:00Z
EVID-00056,CASE-0016,,RATE_CARD,CFG,cfg.rate_cards:RC-WALLET-2025,applicable rate card RC-WALLET-2025,db454a85728a7a4f21a9eca649bc6e418822fb35991d5e73c2f723f512f5ce83,2025-04-05T00:00:00Z
EVID-00057,CASE-0017,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00017,SETTLEMENT_MISMATCH detected 58.05 by FR-SETTLE-CALC-001,04a46b2184ebc12edc0fe45ba58e28f5574b5561c7d865b412fa7dfef7977aea,2025-04-05T00:00:00Z
EVID-00058,CASE-0017,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-SETTLE-CALC-001,rule FR-SETTLE-CALC-001 evaluated to LEAKAGE,92721a1d592e667cfec36d980c4968dd25d2353654d60ceb830b5efa79ba2985,2025-04-05T00:00:00Z
EVID-00059,CASE-0017,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000071axkkkkkkkk,raw gateway payload for payment pay_000071axkkkkkkkk,46922b15b51cc04d83d37ef30907b26bfd061a3f3256a8d7e81fa16e81b01c9e,2025-04-05T00:00:00Z
EVID-00060,CASE-0018,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00018,FEE_DISCREPANCY detected 2.65 by FR-FEE-EXCESS-001,52af58d476aae710e847bcc117926c29b7f52a326564b9fb065d6c256aaf8f27,2025-04-05T00:00:00Z
EVID-00061,CASE-0018,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-FEE-EXCESS-001,rule FR-FEE-EXCESS-001 evaluated to LEAKAGE,18e4922bc2fbccb34065841df19ecca8ad722ef5520b627395baea588966de17,2025-04-05T00:00:00Z
EVID-00062,CASE-0018,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000074axkkkkkkkk,raw gateway payload for payment pay_000074axkkkkkkkk,0e0f2396bd6cd700edfbaa200bbb327049415f56706ec9f8fe10eee65ff7a38d,2025-04-05T00:00:00Z
EVID-00063,CASE-0018,,RATE_CARD,CFG,cfg.rate_cards:RC-UPI-2025,applicable rate card RC-UPI-2025,6c366592a22d55351ed96af92fc67fb55c824bdc45180501b49acb478d3fc036,2025-04-05T00:00:00Z
EVID-00064,CASE-0019,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00019,SETTLEMENT_MISMATCH detected 36.8 by FR-SETTLE-CALC-001,b229ca1161e2dd58f88ab5815c20c16bd6f12a73b50f7da1d241b21c8976d449,2025-04-05T00:00:00Z
EVID-00065,CASE-0019,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-SETTLE-CALC-001,rule FR-SETTLE-CALC-001 evaluated to LEAKAGE,92721a1d592e667cfec36d980c4968dd25d2353654d60ceb830b5efa79ba2985,2025-04-05T00:00:00Z
EVID-00066,CASE-0019,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000076axkkkkkkkkk,raw gateway payload for payment pay_000076axkkkkkkkkk,cb63e13fd0b50ef67572bbefdcdbc3c75874709d99c21c0c5f0331882ff7da32,2025-04-05T00:00:00Z
EVID-00067,CASE-0020,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00020,SETTLEMENT_MISMATCH detected 114.35 by FR-SETTLE-CALC-001,53ddef7f3fff417f95034850f56d15396b0e1873d5dd5e2f349cd31d8dabe92f,2025-04-05T00:00:00Z
EVID-00068,CASE-0020,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-SETTLE-CALC-001,rule FR-SETTLE-CALC-001 evaluated to LEAKAGE,92721a1d592e667cfec36d980c4968dd25d2353654d60ceb830b5efa79ba2985,2025-04-05T00:00:00Z
EVID-00069,CASE-0020,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000077axkkkkkkk,raw gateway payload for payment pay_000077axkkkkkkk,e60ee6bb1be3a7de939e106586a18c72f6c4a0609d50e3cfc323490c752a4526,2025-04-05T00:00:00Z
EVID-00070,CASE-0021,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00021,SETTLEMENT_MISMATCH detected 136.39 by FR-SETTLE-CALC-001,397f59651ecace6a90fbd37077a0fbda7787e099592f3e18d29136493b74d939,2025-04-05T00:00:00Z
EVID-00071,CASE-0021,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-SETTLE-CALC-001,rule FR-SETTLE-CALC-001 evaluated to LEAKAGE,92721a1d592e667cfec36d980c4968dd25d2353654d60ceb830b5efa79ba2985,2025-04-05T00:00:00Z
EVID-00072,CASE-0021,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000080axkkkkkkkkk,raw gateway payload for payment pay_000080axkkkkkkkkk,e9607b2ea394a55fdec2a15d50811ec9acd3c018963e50a1549d42cc7f5c9ef9,2025-04-05T00:00:00Z
EVID-00073,CASE-0022,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00022,FEE_DISCREPANCY detected 7.48 by FR-FEE-EXCESS-001,11b9e247eedcea39e4cd90c8f73f560e2bbe6c597c4d3c3cdc7cd18f17911500,2025-04-05T00:00:00Z
EVID-00074,CASE-0022,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-FEE-EXCESS-001,rule FR-FEE-EXCESS-001 evaluated to LEAKAGE,18e4922bc2fbccb34065841df19ecca8ad722ef5520b627395baea588966de17,2025-04-05T00:00:00Z
EVID-00075,CASE-0022,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000082axkkkkkkkkk,raw gateway payload for payment pay_000082axkkkkkkkkk,164fde565b3dd619b94555f6361153855b609b00964f0baa0d0488bbc1a6e431,2025-04-05T00:00:00Z
EVID-00076,CASE-0022,,RATE_CARD,CFG,cfg.rate_cards:RC-NB-2025,applicable rate card RC-NB-2025,319c1843b37a6e78aa4b7e94785936a68fae6f51cbe7c340bdab41d62ea56c00,2025-04-05T00:00:00Z
EVID-00077,CASE-0023,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00023,FEE_DISCREPANCY detected 3.1 by FR-FEE-EXCESS-001,af5e347e9d16dacd538b2fe20074ab755d2f0e6579aea925d144b30625163d6b,2025-04-05T00:00:00Z
EVID-00078,CASE-0023,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-FEE-EXCESS-001,rule FR-FEE-EXCESS-001 evaluated to LEAKAGE,18e4922bc2fbccb34065841df19ecca8ad722ef5520b627395baea588966de17,2025-04-05T00:00:00Z
EVID-00079,CASE-0023,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000091axkkkkkkk,raw gateway payload for payment pay_000091axkkkkkkk,ac3ba7c4c1f274113d43b80c347dcc71c4fd69e1ec3998910a18b117cff3cfd9,2025-04-05T00:00:00Z
EVID-00080,CASE-0023,,RATE_CARD,CFG,cfg.rate_cards:RC-UPI-2025,applicable rate card RC-UPI-2025,6c366592a22d55351ed96af92fc67fb55c824bdc45180501b49acb478d3fc036,2025-04-05T00:00:00Z
EVID-00081,CASE-0024,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00024,FEE_DISCREPANCY detected 6.04 by FR-FEE-EXCESS-001,d5149c8e4e7edd1ad043cde0d233fadb9f51e8ad9c81c6f7a5470c580da9d0f7,2025-04-05T00:00:00Z
EVID-00082,CASE-0024,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-FEE-EXCESS-001,rule FR-FEE-EXCESS-001 evaluated to LEAKAGE,18e4922bc2fbccb34065841df19ecca8ad722ef5520b627395baea588966de17,2025-04-05T00:00:00Z
EVID-00083,CASE-0024,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00025,SETTLEMENT_MISMATCH detected 125.61 by FR-SETTLE-CALC-001,4ba23db084dc4146a5983624c2accd5f137282df636b7110fb84a5c39df29862,2025-04-05T00:00:00Z
EVID-00084,CASE-0024,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-SETTLE-CALC-001,rule FR-SETTLE-CALC-001 evaluated to LEAKAGE,92721a1d592e667cfec36d980c4968dd25d2353654d60ceb830b5efa79ba2985,2025-04-05T00:00:00Z
EVID-00085,CASE-0024,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000101axkkkkkk,raw gateway payload for payment pay_000101axkkkkkk,e25d73bb4618e50139b1a021ee84b50ef4a4561168cc7031255da3bd8f9c7af7,2025-04-05T00:00:00Z
EVID-00086,CASE-0025,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00026,FEE_DISCREPANCY detected 1.42 by FR-FEE-EXCESS-001,af853b9bc9cd75341250636d66084eb3cb6093bf9bf92259306cc71625e4ca0f,2025-04-05T00:00:00Z
EVID-00087,CASE-0025,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-FEE-EXCESS-001,rule FR-FEE-EXCESS-001 evaluated to LEAKAGE,18e4922bc2fbccb34065841df19ecca8ad722ef5520b627395baea588966de17,2025-04-05T00:00:00Z
EVID-00088,CASE-0025,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000118axkkkkkkkk,raw gateway payload for payment pay_000118axkkkkkkkk,923b4ab3e9a81fd74af80cda3b3f69f02dd09f9a6d3d89aae6218a39c546f3b0,2025-04-05T00:00:00Z
EVID-00089,CASE-0025,,RATE_CARD,CFG,cfg.rate_cards:RC-UPI-2025,applicable rate card RC-UPI-2025,6c366592a22d55351ed96af92fc67fb55c824bdc45180501b49acb478d3fc036,2025-04-05T00:00:00Z
EVID-00090,CASE-0026,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00027,SETTLEMENT_MISMATCH detected 792.3 by FR-SETTLE-TIMING-001,541b4c364ea3bbbea76db6260261f1b54c2b275cdc7e7385201c2c8ab7c0668b,2025-04-05T00:00:00Z
EVID-00091,CASE-0026,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-SETTLE-TIMING-001,rule FR-SETTLE-TIMING-001 evaluated to LEAKAGE,b79283de7eb4efad69416f338e689ba8b43387b257b2380aac57faaf97f63c92,2025-04-05T00:00:00Z
EVID-00092,CASE-0026,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000126axkkkkkkkkk,raw gateway payload for payment pay_000126axkkkkkkkkk,c4d3cbbf6c3bfc070bbb2d56afb08ded55bb768c493acc9c48344fe83466d917,2025-04-05T00:00:00Z
EVID-00093,CASE-0027,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00028,SETTLEMENT_MISMATCH detected 101.73 by FR-SETTLE-CALC-001,0cf1f517697d2ee2ac0be44b21ca5c0e4cce82058146e49fdd4ea69caf02661c,2025-04-05T00:00:00Z
EVID-00094,CASE-0027,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-SETTLE-CALC-001,rule FR-SETTLE-CALC-001 evaluated to LEAKAGE,92721a1d592e667cfec36d980c4968dd25d2353654d60ceb830b5efa79ba2985,2025-04-05T00:00:00Z
EVID-00095,CASE-0027,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000129axkkkkk,raw gateway payload for payment pay_000129axkkkkk,d6ff9687e456b570085276362d0d73e3a23b2bcdac33e5d6b792dae926279c10,2025-04-05T00:00:00Z
EVID-00096,CASE-0028,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00029,REFUND_ECONOMICS detected 2.08 by FR-REFUND-ECON-001,b1b58c919fdbc7da2727e6d3239e8c8af97966ecc99498c42c43bcdc68bc809e,2025-04-05T00:00:00Z
EVID-00097,CASE-0028,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-REFUND-ECON-001,rule FR-REFUND-ECON-001 evaluated to LEAKAGE,072d2128cf5c3e963a54ce66aed510d191691f928efa61d5d53195f5ca83dd54,2025-04-05T00:00:00Z
EVID-00098,CASE-0028,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000137axkkkkk,raw gateway payload for payment pay_000137axkkkkk,13b348fab60d78822948077b7d04d1cbeacd16b1661bd781fb04d3d593d778ec,2025-04-05T00:00:00Z
EVID-00099,CASE-0029,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00030,SETTLEMENT_MISMATCH detected 2092.88 by FR-SETTLE-TIMING-001,5ce111a7736f5c8730f9271a0ac712d7299e008e43d8e2449510521a9e941489,2025-04-05T00:00:00Z
EVID-00100,CASE-0029,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-SETTLE-TIMING-001,rule FR-SETTLE-TIMING-001 evaluated to LEAKAGE,b79283de7eb4efad69416f338e689ba8b43387b257b2380aac57faaf97f63c92,2025-04-05T00:00:00Z
