action_id,case_id,tool_id,action_type,actor,status,risk_level,input_payload,result_payload,external_ref,idempotency_key,approval_id,amount,executed_at
ACT-0017,CASE-0007,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0007"", ""evidence_ids"": [""EVID-00022"", ""EVID-00023"", ""EVID-00024""]}","{""draft"": {""draft_id"": ""DRF-CASE-0007"", ""case_id"": ""CASE-0007"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-25 \u2014 \u20b91541.86"", ""body"": ""Order ORD-25 (payment PAY-0025) was settled \u20b90 against a contractual expectation of \u20b92844.83 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b91541.86. Evidence attached: EVID-00022, EVID-00023, EVID-00024"", ""amount"": ""1541.86""}, ""draft_id"": ""DRF-CASE-0007""}",DRF-CASE-0007,CASE-0007:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0018,CASE-0007,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0007"", ""evidence_ids"": [""EVID-00022"", ""EVID-00023"", ""EVID-00024""]}","{""dispute_id"": ""DIS-CASE-0007"", ""status"": ""SUBMITTED""}",DIS-CASE-0007,CASE-0007:CREATE_DISPUTE,APR-0009,,2025-04-05T00:00:00Z
ACT-0019,CASE-0130,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0130"", ""evidence_ids"": [""EVID-00445"", ""EVID-00446"", ""EVID-00447""]}","{""draft"": {""draft_id"": ""DRF-CASE-0130"", ""case_id"": ""CASE-0130"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-844 \u2014 \u20b91291.07"", ""body"": ""Order ORD-844 (payment PAY-0844) was settled \u20b90 against a contractual expectation of \u20b91291.07 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b91291.07. Evidence attached: EVID-00445, EVID-00446, EVID-00447"", ""amount"": ""1291.07""}, ""draft_id"": ""DRF-CASE-0130""}",DRF-CASE-0130,CASE-0130:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0020,CASE-0130,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0130"", ""evidence_ids"": [""EVID-00445"", ""EVID-00446"", ""EVID-00447""]}","{""dispute_id"": ""DIS-CASE-0130"", ""status"": ""SUBMITTED""}",DIS-CASE-0130,CASE-0130:CREATE_DISPUTE,APR-0010,,2025-04-05T00:00:00Z
ACT-0021,CASE-0046,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0046"", ""evidence_ids"": [""EVID-00157"", ""EVID-00158"", ""EVID-00159""]}","{""draft"": {""draft_id"": ""DRF-CASE-0046"", ""case_id"": ""CASE-0046"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-231 \u2014 \u20b91253.0"", ""body"": ""Order ORD-231 (payment PAY-0231) was settled \u20b90 against a contractual expectation of \u20b91253.0 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b91253.0. Evidence attached: EVID-00157, EVID-00158, EVID-00159"", ""amount"": ""1253.0""}, ""draft_id"": ""DRF-CASE-0046""}",DRF-CASE-0046,CASE-0046:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0022,CASE-0046,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0046"", ""evidence_ids"": [""EVID-00157"", ""EVID-00158"", ""EVID-00159""]}","{""dispute_id"": ""DIS-CASE-0046"", ""status"": ""SUBMITTED""}",DIS-CASE-0046,CASE-0046:CREATE_DISPUTE,APR-0011,,2025-04-05T00:00:00Z
ACT-0023,CASE-0047,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0047"", ""evidence_ids"": [""EVID-00160"", ""EVID-00161"", ""EVID-00162""]}","{""draft"": {""draft_id"": ""DRF-CASE-0047"", ""case_id"": ""CASE-0047"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-238 \u2014 \u20b91237.65"", ""body"": ""Order ORD-238 (payment PAY-0238) was settled \u20b90 against a contractual expectation of \u20b91555.29 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b91237.65. Evidence attached: EVID-00160, EVID-00161, EVID-00162"", ""amount"": ""1237.65""}, ""draft_id"": ""DRF-CASE-0047""}",DRF-CASE-0047,CASE-0047:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0024,CASE-0047,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0047"", ""evidence_ids"": [""EVID-00160"", ""EVID-00161"", ""EVID-00162""]}","{""dispute_id"": ""DIS-CASE-0047"", ""status"": ""SUBMITTED""}",DIS-CASE-0047,CASE-0047:CREATE_DISPUTE,APR-0012,,2025-04-05T00:00:00Z
ACT-0025,CASE-0081,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0081"", ""evidence_ids"": [""EVID-00278"", ""EVID-00279"", ""EVID-00280""]}","{""draft"": {""draft_id"": ""DRF-CASE-0081"", ""case_id"": ""CASE-0081"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-490 \u2014 \u20b91183.71"", ""body"": ""Order ORD-490 (payment PAY-0490) was settled \u20b90 against a contractual expectation of \u20b91183.71 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b91183.71. Evidence attached: EVID-00278, EVID-00279, EVID-00280"", ""amount"": ""1183.71""}, ""draft_id"": ""DRF-CASE-0081""}",DRF-CASE-0081,CASE-0081:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0026,CASE-0081,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0081"", ""evidence_ids"": [""EVID-00278"", ""EVID-00279"", ""EVID-00280""]}","{""dispute_id"": ""DIS-CASE-0081"", ""status"": ""SUBMITTED""}",DIS-CASE-0081,CASE-0081:CREATE_DISPUTE,APR-0013,,2025-04-05T00:00:00Z
ACT-0027,CASE-0101,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0101"", ""evidence_ids"": [""EVID-00346"", ""EVID-00347"", ""EVID-00348""]}","{""draft"": {""draft_id"": ""DRF-CASE-0101"", ""case_id"": ""CASE-0101"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-668 \u2014 \u20b9958.15"", ""body"": ""Order ORD-668 (payment PAY-0668) was settled \u20b90 against a contractual expectation of \u20b9958.15 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b9958.15. Evidence attached: EVID-00346, EVID-00347, EVID-00348"", ""amount"": ""958.15""}, ""draft_id"": ""DRF-CASE-0101""}",DRF-CASE-0101,CASE-0101:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0028,CASE-0101,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0101"", ""evidence_ids"": [""EVID-00346"", ""EVID-00347"", ""EVID-00348""]}","{""dispute_id"": ""DIS-CASE-0101"", ""status"": ""SUBMITTED""}",DIS-CASE-0101,CASE-0101:CREATE_DISPUTE,APR-0014,,2025-04-05T00:00:00Z
ACT-0029,CASE-0145,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0145"", ""evidence_ids"": [""EVID-00496"", ""EVID-00497"", ""EVID-00498""]}","{""draft"": {""draft_id"": ""DRF-CASE-0145"", ""case_id"": ""CASE-0145"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-971 \u2014 \u20b9953.0"", ""body"": ""Order ORD-971 (payment PAY-0971) was settled \u20b90 against a contractual expectation of \u20b91328.14 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b9953.0. Evidence attached: EVID-00496, EVID-00497, EVID-00498"", ""amount"": ""953.0""}, ""draft_id"": ""DRF-CASE-0145""}",DRF-CASE-0145,CASE-0145:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0030,CASE-0145,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0145"", ""evidence_ids"": [""EVID-00496"", ""EVID-00497"", ""EVID-00498""]}","{""dispute_id"": ""DIS-CASE-0145"", ""status"": ""SUBMITTED""}",DIS-CASE-0145,CASE-0145:CREATE_DISPUTE,APR-0015,,2025-04-05T00:00:00Z
ACT-0031,CASE-0093,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0093"", ""evidence_ids"": [""EVID-00316"", ""EVID-00317"", ""EVID-00318""]}","{""draft"": {""draft_id"": ""DRF-CASE-0093"", ""case_id"": ""CASE-0093"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-623 \u2014 \u20b9876.8"", ""body"": ""Order ORD-623 (payment PAY-0623) was settled \u20b90 against a contractual expectation of \u20b9876.8 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b9876.8. Evidence attached: EVID-00316, EVID-00317, EVID-00318"", ""amount"": ""876.8""}, ""draft_id"": ""DRF-CASE-0093""}",DRF-CASE-0093,CASE-0093:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0032,CASE-0093,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0093"", ""evidence_ids"": [""EVID-00316"", ""EVID-00317"", ""EVID-00318""]}","{""dispute_id"": ""DIS-CASE-0093"", ""status"": ""SUBMITTED""}",DIS-CASE-0093,CASE-0093:CREATE_DISPUTE,APR-0016,,2025-04-05T00:00:00Z
ACT-0033,CASE-0092,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0092"", ""evidence_ids"": [""EVID-00313"", ""EVID-00314"", ""EVID-00315""]}","{""draft"": {""draft_id"": ""DRF-CASE-0092"", ""case_id"": ""CASE-0092"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-614 \u2014 \u20b9822.81"", ""body"": ""Order ORD-614 (payment PAY-0614) was settled \u20b90 against a contractual expectation of \u20b91120.72 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b9822.81. Evidence attached: EVID-00313, EVID-00314, EVID-00315"", ""amount"": ""822.81""}, ""draft_id"": ""DRF-CASE-0092""}",DRF-CASE-0092,CASE-0092:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0034,CASE-0092,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0092"", ""evidence_ids"": [""EVID-00313"", ""EVID-00314"", ""EVID-00315""]}","{""dispute_id"": ""DIS-CASE-0092"", ""status"": ""SUBMITTED""}",DIS-CASE-0092,CASE-0092:CREATE_DISPUTE,APR-0017,,2025-04-05T00:00:00Z
ACT-0035,CASE-0032,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0032"", ""evidence_ids"": [""EVID-00109"", ""EVID-00110"", ""EVID-00111""]}","{""draft"": {""draft_id"": ""DRF-CASE-0032"", ""case_id"": ""CASE-0032"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-157 \u2014 \u20b9814.95"", ""body"": ""Order ORD-157 (payment PAY-0157) was settled \u20b90 against a contractual expectation of \u20b9814.95 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b9814.95. Evidence attached: EVID-00109, EVID-00110, EVID-00111"", ""amount"": ""814.95""}, ""draft_id"": ""DRF-CASE-0032""}",DRF-CASE-0032,CASE-0032:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0036,CASE-0032,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0032"", ""evidence_ids"": [""EVID-00109"", ""EVID-00110"", ""EVID-00111""]}","{""dispute_id"": ""DIS-CASE-0032"", ""status"": ""SUBMITTED""}",DIS-CASE-0032,CASE-0032:CREATE_DISPUTE,APR-0018,,2025-04-05T00:00:00Z
ACT-0037,CASE-0026,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0026"", ""evidence_ids"": [""EVID-00090"", ""EVID-00091"", ""EVID-00092""]}","{""draft"": {""draft_id"": ""DRF-CASE-0026"", ""case_id"": ""CASE-0026"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-126 \u2014 \u20b9792.3"", ""body"": ""Order ORD-126 (payment PAY-0126) was settled \u20b90 against a contractual expectation of \u20b91283.49 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b9792.3. Evidence attached: EVID-00090, EVID-00091, EVID-00092"", ""amount"": ""792.3""}, ""draft_id"": ""DRF-CASE-0026""}",DRF-CASE-0026,CASE-0026:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0038,CASE-0026,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0026"", ""evidence_ids"": [""EVID-00090"", ""EVID-00091"", ""EVID-00092""]}","{""dispute_id"": ""DIS-CASE-0026"", ""status"": ""SUBMITTED""}",DIS-CASE-0026,CASE-0026:CREATE_DISPUTE,APR-0019,,2025-04-05T00:00:00Z
ACT-0039,CASE-0086,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0086"", ""evidence_ids"": [""EVID-00294"", ""EVID-00295"", ""EVID-00296""]}","{""draft"": {""draft_id"": ""DRF-CASE-0086"", ""case_id"": ""CASE-0086"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-568 \u2014 \u20b9788.94"", ""body"": ""Order ORD-568 (payment PAY-0568) was settled \u20b90 against a contractual expectation of \u20b91188.26 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b9788.94. Evidence attached: EVID-00294, EVID-00295, EVID-00296"", ""amount"": ""788.94""}, ""draft_id"": ""DRF-CASE-0086""}",DRF-CASE-0086,CASE-0086:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0040,CASE-0086,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0086"", ""evidence_ids"": [""EVID-00294"", ""EVID-00295"", ""EVID-00296""]}","{""dispute_id"": ""DIS-CASE-0086"", ""status"": ""SUBMITTED""}",DIS-CASE-0086,CASE-0086:CREATE_DISPUTE,APR-0020,,2025-04-05T00:00:00Z
ACT-0041,CASE-0083,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0083"", ""evidence_ids"": [""EVID-00284"", ""EVID-00285"", ""EVID-00286""]}","{""draft"": {""draft_id"": ""DRF-CASE-0083"", ""case_id"": ""CASE-0083"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-498 \u2014 \u20b9751.74"", ""body"": ""Order ORD-498 (payment PAY-0498) was settled \u20b90 against a contractual expectation of \u20b9751.74 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b9751.74. Evidence attached: EVID-00284, EVID-00285, EVID-00286"", ""amount"": ""751.74""}, ""draft_id"": ""DRF-CASE-0083""}",DRF-CASE-0083,CASE-0083:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0042,CASE-0083,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0083"", ""evidence_ids"": [""EVID-00284"", ""EVID-00285"", ""EVID-00286""]}","{""dispute_id"": ""DIS-CASE-0083"", ""status"": ""SUBMITTED""}",DIS-CASE-0083,CASE-0083:CREATE_DISPUTE,APR-0021,,2025-04-05T00:00:00Z
ACT-0043,CASE-0107,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0107"", ""evidence_ids"": [""EVID-00364"", ""EVID-00365"", ""EVID-00366""]}","{""draft"": {""draft_id"": ""DRF-CASE-0107"", ""case_id"": ""CASE-0107"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-702 \u2014 \u20b9675.77"", ""body"": ""Order ORD-702 (payment PAY-0702) was settled \u20b90 against a contractual expectation of \u20b91129.65 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b9675.77. Evidence attached: EVID-00364, EVID-00365, EVID-00366"", ""amount"": ""675.77""}, ""draft_id"": ""DRF-CASE-0107""}",DRF-CASE-0107,CASE-0107:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0044,CASE-0107,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0107"", ""evidence_ids"": [""EVID-00364"", ""EVID-00365"", ""EVID-00366""]}","{""dispute_id"": ""DIS-CASE-0107"", ""status"": ""SUBMITTED""}",DIS-CASE-0107,CASE-0107:CREATE_DISPUTE,APR-0022,,2025-04-05T00:00:00Z
