approval_id,case_id,action_id,risk_level,amount,requested_by,status,requested_at,decided_by,decided_at,decision_note
APR-0001,CASE-0091,ACT-0002,L3_FINANCIAL,5755.61,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0068,CASE-0102,ACT-0144,L3_FINANCIAL,28.8,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0069,CASE-0137,ACT-0146,L3_FINANCIAL,27.51,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0070,CASE-0069,ACT-0151,L3_FINANCIAL,22.2,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0071,CASE-0103,ACT-0155,L3_FINANCIAL,20.69,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0072,CASE-0084,ACT-0157,L3_FINANCIAL,20.47,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0073,CASE-0082,ACT-0160,L3_FINANCIAL,19.35,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0074,CASE-0078,ACT-0162,L3_FINANCIAL,18.18,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0075,CASE-0015,ACT-0164,L3_FINANCIAL,17.8,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0076,CASE-0076,ACT-0166,L3_FINANCIAL,16.81,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0077,CASE-0124,ACT-0169,L3_FINANCIAL,14.34,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0078,CASE-0105,ACT-0172,L3_FINANCIAL,13.94,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0079,CASE-0066,ACT-0176,L3_FINANCIAL,13.19,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0080,CASE-0144,ACT-0180,L3_FINANCIAL,11.29,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0081,CASE-0034,ACT-0182,L3_FINANCIAL,10.56,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0082,CASE-0011,ACT-0184,L3_FINANCIAL,9.94,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0083,CASE-0110,ACT-0186,L3_FINANCIAL,8.86,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0084,CASE-0005,ACT-0188,L3_FINANCIAL,8.83,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0085,CASE-0068,ACT-0190,L3_FINANCIAL,8.41,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0086,CASE-0113,ACT-0194,L3_FINANCIAL,8.08,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0087,CASE-0142,ACT-0200,L3_FINANCIAL,6.49,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0088,CASE-0036,ACT-0202,L3_FINANCIAL,6.39,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0089,CASE-0064,ACT-0205,L3_FINANCIAL,6.08,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0090,CASE-0035,ACT-0210,L3_FINANCIAL,5.45,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0091,CASE-0014,ACT-0214,L3_FINANCIAL,5.34,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0092,CASE-0135,ACT-0220,L3_FINANCIAL,4.47,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0093,CASE-0006,ACT-0225,L3_FINANCIAL,3.57,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0094,CASE-0133,ACT-0232,L3_FINANCIAL,2.43,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0095,CASE-0049,ACT-0237,L3_FINANCIAL,2.1,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0096,CASE-0028,ACT-0239,L3_FINANCIAL,2.08,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
