history_id,case_id,event_type,old_status,new_status,actor,message,payload,event_at
CH-00038,CASE-0038,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00039,CASE-0039,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00040,CASE-0040,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00041,CASE-0041,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00042,CASE-0042,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00043,CASE-0043,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00044,CASE-0044,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00045,CASE-0045,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00046,CASE-0046,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00047,CASE-0047,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00048,CASE-0048,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00049,CASE-0049,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00050,CASE-0050,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00051,CASE-0051,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00052,CASE-0052,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00053,CASE-0053,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00054,CASE-0054,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00055,CASE-0055,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00056,CASE-0056,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00057,CASE-0057,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00058,CASE-0058,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00059,CASE-0059,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00060,CASE-0060,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00061,CASE-0061,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00062,CASE-0062,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00063,CASE-0063,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00064,CASE-0064,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00065,CASE-0065,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00066,CASE-0066,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00067,CASE-0067,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00068,CASE-0068,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00069,CASE-0069,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00070,CASE-0070,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00071,CASE-0071,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00072,CASE-0072,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00073,CASE-0073,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00074,CASE-0074,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00075,CASE-0075,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00076,CASE-0076,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00077,CASE-0077,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00078,CASE-0078,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00079,CASE-0079,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00080,CASE-0080,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00081,CASE-0081,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00082,CASE-0082,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00083,CASE-0083,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00084,CASE-0084,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00085,CASE-0085,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00086,CASE-0086,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00087,CASE-0087,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00088,CASE-0088,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00089,CASE-0089,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00090,CASE-0090,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00091,CASE-0091,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00092,CASE-0092,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00093,CASE-0093,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00094,CASE-0094,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00095,CASE-0095,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00096,CASE-0096,CREATED,,NEW,ENGINE,case opened from 2 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00097,CASE-0097,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00098,CASE-0098,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00099,CASE-0099,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00100,CASE-0100,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00101,CASE-0101,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00102,CASE-0102,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00103,CASE-0103,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00104,CASE-0104,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00105,CASE-0105,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00106,CASE-0106,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00107,CASE-0107,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00108,CASE-0108,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00109,CASE-0109,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00110,CASE-0110,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00111,CASE-0111,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00112,CASE-0112,CREATED,,NEW,ENGINE,case opened from 2 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00113,CASE-0113,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00114,CASE-0114,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00115,CASE-0115,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00116,CASE-0116,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00117,CASE-0117,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00118,CASE-0118,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00119,CASE-0119,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00120,CASE-0120,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00121,CASE-0121,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00122,CASE-0122,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00123,CASE-0123,CREATED,,NEW,ENGINE,case opened from 2 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00124,CASE-0124,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00125,CASE-0125,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00126,CASE-0126,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00127,CASE-0127,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00128,CASE-0128,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00129,CASE-0129,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00130,CASE-0130,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00131,CASE-0131,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00132,CASE-0132,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00133,CASE-0133,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00134,CASE-0134,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00135,CASE-0135,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00136,CASE-0136,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00137,CASE-0137,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00138,CASE-0138,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00139,CASE-0139,CREATED,,NEW,ENGINE,case opened from 2 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00140,CASE-0140,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00141,CASE-0141,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00142,CASE-0142,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00143,CASE-0143,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00144,CASE-0144,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00145,CASE-0145,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00146,CASE-0146,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00147,CASE-0147,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00148,CASE-0148,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00149,CASE-0149,CREATED,,NEW,ENGINE,case opened from 2 anomaly finding(s),,2025-04-05T00:00:00Z
CH-A00001,CASE-0091,STATUS_CHANGE,NEW,INVESTIGATING,AGENT,agent began investigation,,2025-04-05T00:00:00Z
CH-A00002,CASE-0091,APPROVAL_REQUEST,INVESTIGATING,PENDING_APPROVAL,AGENT,approval APR-0001 requested for CREATE_DISPUTE,,2025-04-05T00:00:00Z
CH-A00003,CASE-0029,STATUS_CHANGE,NEW,INVESTIGATING,AGENT,agent began investigation,,2025-04-05T00:00:00Z
CH-A00004,CASE-0029,APPROVAL_REQUEST,INVESTIGATING,PENDING_APPROVAL,AGENT,approval APR-0002 requested for CREATE_DISPUTE,,2025-04-05T00:00:00Z
CH-A00005,CASE-0061,STATUS_CHANGE,NEW,INVESTIGATING,AGENT,agent began investigation,,2025-04-05T00:00:00Z
CH-A00006,CASE-0061,APPROVAL_REQUEST,INVESTIGATING,PENDING_APPROVAL,AGENT,approval APR-0003 requested for CREATE_DISPUTE,,2025-04-05T00:00:00Z
CH-A00007,CASE-0117,STATUS_CHANGE,NEW,INVESTIGATING,AGENT,agent began investigation,,2025-04-05T00:00:00Z
CH-A00008,CASE-0117,APPROVAL_REQUEST,INVESTIGATING,PENDING_APPROVAL,AGENT,approval APR-0004 requested for CREATE_DISPUTE,,2025-04-05T00:00:00Z
CH-A00009,CASE-0143,STATUS_CHANGE,NEW,INVESTIGATING,AGENT,agent began investigation,,2025-04-05T00:00:00Z
CH-A00010,CASE-0143,APPROVAL_REQUEST,INVESTIGATING,PENDING_APPROVAL,AGENT,approval APR-0005 requested for CREATE_DISPUTE,,2025-04-05T00:00:00Z
CH-A00011,CASE-0004,STATUS_CHANGE,NEW,INVESTIGATING,AGENT,agent began investigation,,2025-04-05T00:00:00Z
CH-A00012,CASE-0004,APPROVAL_REQUEST,INVESTIGATING,PENDING_APPROVAL,AGENT,approval APR-0006 requested for CREATE_DISPUTE,,2025-04-05T00:00:00Z
CH-A00013,CASE-0108,STATUS_CHANGE,NEW,INVESTIGATING,AGENT,agent began investigation,,2025-04-05T00:00:00Z
CH-A00014,CASE-0108,APPROVAL_REQUEST,INVESTIGATING,PENDING_APPROVAL,AGENT,approval APR-0007 requested for CREATE_DISPUTE,,2025-04-05T00:00:00Z
CH-A00015,CASE-0121,STATUS_CHANGE,NEW,INVESTIGATING,AGENT,agent began investigation,,2025-04-05T00:00:00Z
CH-A00016,CASE-0121,APPROVAL_REQUEST,INVESTIGATING,PENDING_APPROVAL,AGENT,approval APR-0008 requested for CREATE_DISPUTE,,2025-04-05T00:00:00Z
CH-A00017,CASE-0007,STATUS_CHANGE,NEW,INVESTIGATING,AGENT,agent began investigation,,2025-04-05T00:00:00Z
CH-A00018,CASE-0007,APPROVAL_REQUEST,INVESTIGATING,PENDING_APPROVAL,AGENT,approval APR-0009 requested for CREATE_DISPUTE,,2025-04-05T00:00:00Z
CH-A00019,CASE-0130,STATUS_CHANGE,NEW,INVESTIGATING,AGENT,agent began investigation,,2025-04-05T00:00:00Z
CH-A00020,CASE-0130,APPROVAL_REQUEST,INVESTIGATING,PENDING_APPROVAL,AGENT,approval APR-0010 requested for CREATE_DISPUTE,,2025-04-05T00:00:00Z
CH-A00021,CASE-0046,STATUS_CHANGE,NEW,INVESTIGATING,AGENT,agent began investigation,,2025-04-05T00:00:00Z
CH-A00022,CASE-0046,APPROVAL_REQUEST,INVESTIGATING,PENDING_APPROVAL,AGENT,approval APR-0011 requested for CREATE_DISPUTE,,2025-04-05T00:00:00Z
CH-A00023,CASE-0047,STATUS_CHANGE,NEW,INVESTIGATING,AGENT,agent began investigation,,2025-04-05T00:00:00Z
CH-A00024,CASE-0047,APPROVAL_REQUEST,INVESTIGATING,PENDING_APPROVAL,AGENT,approval APR-0012 requested for CREATE_DISPUTE,,2025-04-05T00:00:00Z
CH-A00025,CASE-0081,STATUS_CHANGE,NEW,INVESTIGATING,AGENT,agent began investigation,,2025-04-05T00:00:00Z
CH-A00026,CASE-0081,APPROVAL_REQUEST,INVESTIGATING,PENDING_APPROVAL,AGENT,approval APR-0013 requested for CREATE_DISPUTE,,2025-04-05T00:00:00Z
CH-A00027,CASE-0101,STATUS_CHANGE,NEW,INVESTIGATING,AGENT,agent began investigation,,2025-04-05T00:00:00Z
CH-A00028,CASE-0101,APPROVAL_REQUEST,INVESTIGATING,PENDING_APPROVAL,AGENT,approval APR-0014 requested for CREATE_DISPUTE,,2025-04-05T00:00:00Z
CH-A00029,CASE-0145,STATUS_CHANGE,NEW,INVESTIGATING,AGENT,agent began investigation,,2025-04-05T00:00:00Z
CH-A00030,CASE-0145,APPROVAL_REQUEST,INVESTIGATING,PENDING_APPROVAL,AGENT,approval APR-0015 requested for CREATE_DISPUTE,,2025-04-05T00:00:00Z
CH-A00031,CASE-0093,STATUS_CHANGE,NEW,INVESTIGATING,AGENT,agent began investigation,,2025-04-05T00:00:00Z
CH-A00032,CASE-0093,APPROVAL_REQUEST,INVESTIGATING,PENDING_APPROVAL,AGENT,approval APR-0016 requested for CREATE_DISPUTE,,2025-04-05T00:00:00Z
CH-A00033,CASE-0092,STATUS_CHANGE,NEW,INVESTIGATING,AGENT,agent began investigation,,2025-04-05T00:00:00Z
CH-A00034,CASE-0092,APPROVAL_REQUEST,INVESTIGATING,PENDING_APPROVAL,AGENT,approval APR-0017 requested for CREATE_DISPUTE,,2025-04-05T00:00:00Z
CH-A00035,CASE-0032,STATUS_CHANGE,NEW,INVESTIGATING,AGENT,agent began investigation,,2025-04-05T00:00:00Z
CH-A00036,CASE-0032,APPROVAL_REQUEST,INVESTIGATING,PENDING_APPROVAL,AGENT,approval APR-0018 requested for CREATE_DISPUTE,,2025-04-05T00:00:00Z
CH-A00037,CASE-0026,STATUS_CHANGE,NEW,INVESTIGATING,AGENT,agent began investigation,,2025-04-05T00:00:00Z
CH-A00038,CASE-0026,APPROVAL_REQUEST,INVESTIGATING,PENDING_APPROVAL,AGENT,approval APR-0019 requested for CREATE_DISPUTE,,2025-04-05T00:00:00Z
CH-A00039,CASE-0086,STATUS_CHANGE,NEW,INVESTIGATING,AGENT,agent began investigation,,2025-04-05T00:00:00Z
CH-A00040,CASE-0086,APPROVAL_REQUEST,INVESTIGATING,PENDING_APPROVAL,AGENT,approval APR-0020 requested for CREATE_DISPUTE,,2025-04-05T00:00:00Z
CH-A00041,CASE-0083,STATUS_CHANGE,NEW,INVESTIGATING,AGENT,agent began investigation,,2025-04-05T00:00:00Z
CH-A00042,CASE-0083,APPROVAL_REQUEST,INVESTIGATING,PENDING_APPROVAL,AGENT,approval APR-0021 requested for CREATE_DISPUTE,,2025-04-05T00:00:00Z
CH-A00043,CASE-0107,STATUS_CHANGE,NEW,INVESTIGATING,AGENT,agent began investigation,,2025-04-05T00:00:00Z
CH-A00044,CASE-0107,APPROVAL_REQUEST,INVESTIGATING,PENDING_APPROVAL,AGENT,approval APR-0022 requested for CREATE_DISPUTE,,2025-04-05T00:00:00Z
CH-A00045,CASE-0088,STATUS_CHANGE,NEW,INVESTIGATING,AGENT,agent began investigation,,2025-04-05T00:00:00Z
CH-A00046,CASE-0088,APPROVAL_REQUEST,INVESTIGATING,PENDING_APPROVAL,AGENT,approval APR-0023 requested for CREATE_DISPUTE,,2025-04-05T00:00:00Z
CH-A00047,CASE-0030,STATUS_CHANGE,NEW,INVESTIGATING,AGENT,agent began investigation,,2025-04-05T00:00:00Z
CH-A00048,CASE-0030,APPROVAL_REQUEST,INVESTIGATING,PENDING_APPROVAL,AGENT,approval APR-0024 requested for CREATE_DISPUTE,,2025-04-05T00:00:00Z
CH-A00049,CASE-0042,STATUS_CHANGE,NEW,INVESTIGATING,AGENT,agent began investigation,,2025-04-05T00:00:00Z
CH-A00050,CASE-0042,APPROVAL_REQUEST,INVESTIGATING,PENDING_APPROVAL,AGENT,approval APR-0025 requested for CREATE_DISPUTE,,2025-04-05T00:00:00Z
CH-A00051,CASE-0122,STATUS_CHANGE,NEW,INVESTIGATING,AGENT,agent began investigation,,2025-04-05T00:00:00Z
CH-A00052,CASE-0122,APPROVAL_REQUEST,INVESTIGATING,PENDING_APPROVAL,AGENT,approval APR-0026 requested for CREATE_DISPUTE,,2025-04-05T00:00:00Z
CH-A00053,CASE-0147,STATUS_CHANGE,NEW,INVESTIGATING,AGENT,agent began investigation,,2025-04-05T00:00:00Z
CH-A00054,CASE-0147,APPROVAL_REQUEST,INVESTIGATING,PENDING_APPROVAL,AGENT,approval APR-0027 requested for CREATE_DISPUTE,,2025-04-05T00:00:00Z
CH-A00055,CASE-0125,STATUS_CHANGE,NEW,INVESTIGATING,AGENT,agent began investigation,,2025-04-05T00:00:00Z
CH-A00056,CASE-0125,APPROVAL_REQUEST,INVESTIGATING,PENDING_APPROVAL,AGENT,approval APR-0028 requested for CREATE_DISPUTE,,2025-04-05T00:00:00Z
CH-A00057,CASE-0140,STATUS_CHANGE,NEW,INVESTIGATING,AGENT,agent began investigation,,2025-04-05T00:00:00Z
CH-A00058,CASE-0140,APPROVAL_REQUEST,INVESTIGATING,PENDING_APPROVAL,AGENT,approval APR-0029 requested for CREATE_DISPUTE,,2025-04-05T00:00:00Z
CH-A00059,CASE-0062,STATUS_CHANGE,NEW,INVESTIGATING,AGENT,agent began investigation,,2025-04-05T00:00:00Z
CH-A00060,CASE-0062,APPROVAL_REQUEST,INVESTIGATING,PENDING_APPROVAL,AGENT,approval APR-0030 requested for CREATE_DISPUTE,,2025-04-05T00:00:00Z
CH-A00061,CASE-0098,STATUS_CHANGE,NEW,INVESTIGATING,AGENT,agent began investigation,,2025-04-05T00:00:00Z
